title,date,url,player
Lil Baby: Rapper and bodyguard fined for cannabis use,9 July 2021,https://www.bbc.co.uk/news/newsbeat-57778265,James Harden
NBA play-offs: Kevin Durant stars as the Brooklyn Nets beat the Milwaukee Bucks,6 June 2021,https://www.bbc.co.uk/sport/basketball/57374287,James Harden
NBA plays of the week: Stephen Curry stars as Warriors beat Pacers,19 January 2021,https://www.bbc.co.uk/sport/av/basketball/55709371,James Harden
NBA: Houston Rockets beat San Antonio Spurs,15 January 2021,https://www.bbc.co.uk/sport/basketball/55673146,James Harden
Cleveland Cavaliers 147-135 Brooklyn Nets: Nets' 'Big Three' outshone by Cavs' Collin Sexton,21 January 2021,https://www.bbc.co.uk/sport/basketball/55745990,James Harden
NBA: Utah Jazz thrash depleted Brooklyn Nets 118-88,25 March 2021,https://www.bbc.co.uk/sport/basketball/56521016,James Harden
Houston Rockets: NBA rejects protest against San Antonio Spurs defeat after referee blunder,9 December 2019,https://www.bbc.co.uk/sport/basketball/50722749,James Harden
NBA: Watch the top 10 plays of the week,27 December 2018,https://www.bbc.co.uk/sport/av/basketball/46686762,James Harden
LeBron James interview after Los Angeles Lakers win NBA title,12 October 2020,https://www.bbc.co.uk/sport/av/basketball/54506712,James Harden
LeBron James inspires Miami Heat to win NBA title,22 June 2012,http://www.bbc.co.uk/sport/0/basketball/18549482,James Harden
LeBron stars as Cavs stun Celtics in NBA,8 May 2010,http://news.bbc.co.uk/sport1/hi/other_sports/basketball/8669669.stm,James Harden
NBA: Joel Embiid shines as Philadelphia 76ers beat Boston Celtics,5 April,https://www.bbc.co.uk/sport/basketball/65185606,James Harden
'I have a lot to think about' - LeBron James considers LA Lakers future,4 days ago,https://www.bbc.co.uk/sport/basketball/65681180,James Harden
Giannis Antetokounmpo: Milwaukee Bucks star wins MVP award for 2019-20,18 September 2020,https://www.bbc.co.uk/sport/basketball/54213521,James Harden
NBA: Los Angeles Lakers continue losing start with defeat by LA Clippers,21 October 2022,https://www.bbc.co.uk/sport/basketball/63341374,James Harden
2020 NBA play-offs: All you need to know about the first-round match-ups,16 August 2020,https://www.bbc.co.uk/sport/basketball/53777259,James Harden
"NBA: Joel Embiid named MVP, Los Angeles Lakers win Western Conference semi-final opener",3 May,https://www.bbc.co.uk/sport/basketball/65466385,James Harden
NBA play-offs: 'It's like a movie' as Brooklyn Nets enter post-season as favourites,22 May 2021,https://www.bbc.co.uk/sport/basketball/57190628,James Harden
NBA: Kevin Durant leads Brooklyn Nets to victory with 20 points against Golden State Warriors,14 February 2021,https://www.bbc.co.uk/sport/basketball/56060272,James Harden
NBA play-offs: LA Lakers victory levels series with Portland Trail Blazers,21 August 2020,https://www.bbc.co.uk/sport/basketball/53859393,James Harden
"NBA round-up: Kawhi Leonard faces former club Toronto Raptors for first time, Steph Curry back in spring",12 November 2019,https://www.bbc.co.uk/sport/basketball/50386091,James Harden
NBA: Kevin Durant traded to Phoenix Suns as Russell Westbrook joins Utah Jazz,10 February,https://www.bbc.co.uk/sport/basketball/64593463,James Harden
NBA: Giannis Antetokounmpo stars as the Bucks beat the Lakers,18 November 2021,https://www.bbc.co.uk/sport/basketball/59316347,James Harden
NBA All-Star: Giannis scores game-high 38 points in defeat to Team LeBron,18 February 2019,https://www.bbc.co.uk/sport/basketball/47276052,James Harden
Giannis Antetokounmpo named NBA's most valuable player,25 June 2019,https://www.bbc.co.uk/sport/basketball/48754882,James Harden
NBA: LeBron James helps LA Lakers beat Golden State Warriors,16 March 2021,https://www.bbc.co.uk/sport/basketball/56411872,James Harden
Concerts Inside,9 May 2019,https://www.bbc.co.uk/programmes/m0004sc8,James Harden
NBA play-offs: Jamal Murray stars as Denver Nuggets beat LA Lakers to go 2-0 up in series,19 May,https://www.bbc.co.uk/sport/basketball/65643750,James Harden
Golden State Warriors on brink of NBA elimination with loss to Houston Rockets,25 May 2018,https://www.bbc.co.uk/sport/basketball/44249687,James Harden
NBA: Los Angeles Lakers beaten by Philadelphia 76ers to end away streak,28 January 2021,https://www.bbc.co.uk/sport/basketball/55838170,James Harden
LeBron James breaks NBA all-time scoring record,8 February,https://www.bbc.co.uk/sport/basketball/64563131,James Harden
NBA: LeBron James' comeback spoiled as Boston Celtics beat Los Angeles Lakers,20 November 2021,https://www.bbc.co.uk/sport/basketball/59358572,James Harden
Giannis Antetokounmpo: Milwaukee Bucks star signs '$228.2m' deal - the richest in league history,15 December 2020,https://www.bbc.co.uk/sport/basketball/55325552,James Harden
50 worldwide contenders for 2012: LeBron James,21 July 2011,https://www.bbc.co.uk/sport/olympics/14242035,James Harden
NBA Finals: Golden State Warriors title win is Stephen Curry's 'crowning achievement',17 June 2022,https://www.bbc.co.uk/sport/basketball/61837767,James Harden
NBA Awards: OKC Thunder point guard Russell Westbrook named MVP,27 June 2017,https://www.bbc.co.uk/sport/basketball/40414719,James Harden
