,Unnamed: 0,title,time,url
0,0,Warriors’ Stephen Curry To Begin Practicing Next Week,2018-19,http://global.nba.com/news/warriors-stephen-curry-to-begin-practicing-next-week/
1,1,Pelicans’ Anthony Davis (Hip Strain) Out vs. Wizards,2018-19,http://global.nba.com/news/pelicans-anthony-davis-hip-strain-out-vs-wizards/
2,2,Rockets To Rest Chris Paul Against Cavaliers,2018-19,http://global.nba.com/news/rockets-to-rest-chris-paul-against-cavaliers/
3,3,Warriors Looking To Stay On Track As They Host Kings,2018-19,http://global.nba.com/news/warriors-looking-to-stay-on-track-as-they-host-kings/
4,4,Bucks End Homestand Against Spurs,2018-19,http://global.nba.com/news/bucks-end-homestand-against-spurs/
5,5,Mavericks Aim To Continue Home-Winning Streak vs. Celtics,2018-19,http://global.nba.com/news/mavericks-aim-to-continue-home-winning-streak-vs-celtics/
6,6,Thunder-Nuggets: 12-Win Teams Meet In Oklahoma City,2018-19,http://global.nba.com/news/thunder-nuggets-12-win-teams-meet-in-oklahoma-city/
7,7,Rockets Look To Start New Winning Streak Against Cavaliers,2018-19,http://global.nba.com/news/rockets-look-to-start-new-winning-streak-against-cavaliers/
8,8,"LeBron Pushes Lakers Past Jazz For 7th Win In 8 Games, 90-83",2018-19,http://global.nba.com/news/lebron-pushes-lakers-past-jazz-for-7th-win-in-8-games-90-83/
9,9,"Durant, Thompson Help Warriors Beat Blazers, End 4-Game Skid",2018-19,http://global.nba.com/news/durant-thompson-help-warriors-beat-blazers-end-4-game-skid/
10,10,"Lyles Scores Season-High 22 As Nuggets Beat Magic, 112-87",2018-19,http://global.nba.com/news/lyles-scores-season-high-22-as-nuggets-beat-magic-112-87/
11,11,"Crawford’s Last-Second Shot Lifts Suns Past Bucks, 116-114",2018-19,http://global.nba.com/news/crawfords-last-second-shot-lifts-suns-past-bucks-116-114/
12,12,Aldridge Scores 33 To Lead Spurs Over Pacers 111-100,2018-19,http://global.nba.com/news/aldridge-scores-33-to-lead-spurs-over-pacers-111-100/
