,W,L
LOS ANGELES LAKERS,73,32
ORLANDO MAGIC,69,27
CLEVELAND CAVALIERS,67,26
BOSTON CELTICS,65,41
PHOENIX SUNS,64,34
UTAH JAZZ,57,35
DALLAS MAVERICKS,57,31
ATLANTA HAWKS,57,36
DENVER NUGGETS,55,33
SAN ANTONIO SPURS,54,38
PORTLAND TRAIL BLAZERS,52,36
OKLAHOMA CITY THUNDER,52,36
MILWAUKEE BUCKS,49,40
MIAMI HEAT,48,39
CHARLOTTE BOBCATS,44,42
CHICAGO BULLS,42,45
HOUSTON ROCKETS,42,40
MEMPHIS GRIZZLIES,40,42
TORONTO RAPTORS,40,42
NEW ORLEANS HORNETS,37,45
INDIANA PACERS,32,50
LOS ANGELES CLIPPERS,29,53
NEW YORK KNICKS,29,53
DETROIT PISTONS,27,55
PHILADELPHIA 76ERS,27,55
GOLDEN STATE WARRIORS,26,56
WASHINGTON WIZARDS,26,56
SACRAMENTO KINGS,25,57
MINNESOTA TIMBERWOLVES,15,67
NEW JERSEY NETS,12,70
