,W,L
SAN ANTONIO SPURS,78,27
OKLAHOMA CITY THUNDER,69,32
MIAMI HEAT,67,35
INDIANA PACERS,66,35
LOS ANGELES CLIPPERS,63,32
PORTLAND TRAIL BLAZERS,59,34
HOUSTON ROCKETS,56,32
GOLDEN STATE WARRIORS,54,35
MEMPHIS GRIZZLIES,53,36
DALLAS MAVERICKS,52,37
TORONTO RAPTORS,51,38
WASHINGTON WIZARDS,50,43
CHICAGO BULLS,49,38
BROOKLYN NETS,49,45
PHOENIX SUNS,48,34
CHARLOTTE BOBCATS,43,43
ATLANTA HAWKS,41,48
MINNESOTA TIMBERWOLVES,40,42
NEW YORK KNICKS,37,45
DENVER NUGGETS,36,46
NEW ORLEANS PELICANS,34,48
CLEVELAND CAVALIERS,33,49
DETROIT PISTONS,29,53
SACRAMENTO KINGS,28,54
LOS ANGELES LAKERS,27,55
BOSTON CELTICS,25,57
UTAH JAZZ,25,57
ORLANDO MAGIC,23,59
PHILADELPHIA 76ERS,19,63
MILWAUKEE BUCKS,15,67
