,W,L
PHOENIX SUNS,71,24
GOLDEN STATE WARRIORS,69,35
BOSTON CELTICS,65,41
MIAMI HEAT,64,36
MEMPHIS GRIZZLIES,62,32
DALLAS MAVERICKS,61,39
MILWAUKEE BUCKS,58,36
PHILADELPHIA 76ERS,57,37
UTAH JAZZ,51,37
TORONTO RAPTORS,50,38
DENVER NUGGETS,49,38
MINNESOTA TIMBERWOLVES,49,40
CHICAGO BULLS,47,40
ATLANTA HAWKS,46,43
BROOKLYN NETS,45,42
CLEVELAND CAVALIERS,44,40
CHARLOTTE HORNETS,43,40
LOS ANGELES CLIPPERS,42,42
NEW ORLEANS PELICANS,40,50
NEW YORK KNICKS,37,45
WASHINGTON WIZARDS,35,47
SAN ANTONIO SPURS,34,49
LOS ANGELES LAKERS,33,49
SACRAMENTO KINGS,30,52
PORTLAND TRAIL BLAZERS,27,55
INDIANA PACERS,25,57
OKLAHOMA CITY THUNDER,24,58
DETROIT PISTONS,23,59
ORLANDO MAGIC,22,60
HOUSTON ROCKETS,20,62
