,W,L
MIAMI HEAT,62,27
OKLAHOMA CITY THUNDER,60,26
SAN ANTONIO SPURS,60,20
CHICAGO BULLS,52,20
BOSTON CELTICS,50,36
INDIANA PACERS,48,29
LOS ANGELES LAKERS,46,32
LOS ANGELES CLIPPERS,44,33
MEMPHIS GRIZZLIES,44,29
ATLANTA HAWKS,42,30
PHILADELPHIA 76ERS,42,37
DENVER NUGGETS,41,32
ORLANDO MAGIC,38,33
NEW YORK KNICKS,37,34
DALLAS MAVERICKS,36,34
UTAH JAZZ,36,34
HOUSTON ROCKETS,34,32
PHOENIX SUNS,33,33
MILWAUKEE BUCKS,31,35
PORTLAND TRAIL BLAZERS,28,38
MINNESOTA TIMBERWOLVES,26,40
DETROIT PISTONS,25,41
TORONTO RAPTORS,23,43
GOLDEN STATE WARRIORS,23,43
NEW JERSEY NETS,22,44
SACRAMENTO KINGS,22,44
CLEVELAND CAVALIERS,21,45
NEW ORLEANS HORNETS,21,45
WASHINGTON WIZARDS,20,46
CHARLOTTE BOBCATS,7,59
