,W,L
MIAMI HEAT,82,23
SAN ANTONIO SPURS,73,30
OKLAHOMA CITY THUNDER,65,28
MEMPHIS GRIZZLIES,64,33
NEW YORK KNICKS,60,34
INDIANA PACERS,60,40
DENVER NUGGETS,59,29
LOS ANGELES CLIPPERS,58,30
GOLDEN STATE WARRIORS,53,41
BROOKLYN NETS,52,37
CHICAGO BULLS,50,44
HOUSTON ROCKETS,47,41
ATLANTA HAWKS,46,42
LOS ANGELES LAKERS,45,41
UTAH JAZZ,43,39
BOSTON CELTICS,43,44
DALLAS MAVERICKS,41,41
MILWAUKEE BUCKS,38,48
TORONTO RAPTORS,34,48
PHILADELPHIA 76ERS,34,48
PORTLAND TRAIL BLAZERS,33,49
MINNESOTA TIMBERWOLVES,31,51
DETROIT PISTONS,29,53
WASHINGTON WIZARDS,29,53
SACRAMENTO KINGS,28,54
NEW ORLEANS HORNETS,27,55
PHOENIX SUNS,25,57
CLEVELAND CAVALIERS,24,58
CHARLOTTE BOBCATS,21,61
ORLANDO MAGIC,20,62
