,W,L
GOLDEN STATE WARRIORS,88,18
SAN ANTONIO SPURS,73,19
CLEVELAND CAVALIERS,73,30
OKLAHOMA CITY THUNDER,66,34
TORONTO RAPTORS,66,36
LOS ANGELES CLIPPERS,55,33
MIAMI HEAT,55,41
ATLANTA HAWKS,52,40
CHARLOTTE HORNETS,51,38
BOSTON CELTICS,50,38
PORTLAND TRAIL BLAZERS,49,44
INDIANA PACERS,48,41
DETROIT PISTONS,44,42
DALLAS MAVERICKS,43,44
HOUSTON ROCKETS,42,45
MEMPHIS GRIZZLIES,42,44
CHICAGO BULLS,42,40
WASHINGTON WIZARDS,41,41
UTAH JAZZ,40,42
ORLANDO MAGIC,35,47
MILWAUKEE BUCKS,33,49
DENVER NUGGETS,33,49
SACRAMENTO KINGS,33,49
NEW YORK KNICKS,32,50
NEW ORLEANS PELICANS,30,52
MINNESOTA TIMBERWOLVES,29,53
PHOENIX SUNS,23,59
BROOKLYN NETS,21,61
LOS ANGELES LAKERS,17,65
PHILADELPHIA 76ERS,10,72
