,W,L
PHOENIX SUNS,65,29
MILWAUKEE BUCKS,62,33
UTAH JAZZ,58,25
LOS ANGELES CLIPPERS,57,34
PHILADELPHIA 76ERS,56,28
BROOKLYN NETS,55,29
DENVER NUGGETS,51,31
ATLANTA HAWKS,51,39
DALLAS MAVERICKS,45,34
LOS ANGELES LAKERS,45,34
PORTLAND TRAIL BLAZERS,44,34
NEW YORK KNICKS,42,35
MEMPHIS GRIZZLIES,41,38
MIAMI HEAT,40,36
GOLDEN STATE WARRIORS,39,35
BOSTON CELTICS,38,40
WASHINGTON WIZARDS,36,43
INDIANA PACERS,35,39
SAN ANTONIO SPURS,33,40
CHARLOTTE HORNETS,33,40
CHICAGO BULLS,31,41
SACRAMENTO KINGS,31,41
NEW ORLEANS PELICANS,31,41
TORONTO RAPTORS,27,45
MINNESOTA TIMBERWOLVES,23,49
CLEVELAND CAVALIERS,22,50
OKLAHOMA CITY THUNDER,22,50
ORLANDO MAGIC,21,51
DETROIT PISTONS,20,52
HOUSTON ROCKETS,17,55
