,W,L
GOLDEN STATE WARRIORS,83,16
SAN ANTONIO SPURS,69,29
CLEVELAND CAVALIERS,64,36
BOSTON CELTICS,62,38
HOUSTON ROCKETS,61,32
WASHINGTON WIZARDS,56,39
TORONTO RAPTORS,55,37
UTAH JAZZ,55,38
LOS ANGELES CLIPPERS,54,35
OKLAHOMA CITY THUNDER,48,39
MEMPHIS GRIZZLIES,45,43
ATLANTA HAWKS,45,43
MILWAUKEE BUCKS,44,44
CHICAGO BULLS,43,45
INDIANA PACERS,42,44
PORTLAND TRAIL BLAZERS,41,45
MIAMI HEAT,41,41
DENVER NUGGETS,40,42
DETROIT PISTONS,37,45
CHARLOTTE HORNETS,36,46
NEW ORLEANS PELICANS,34,48
DALLAS MAVERICKS,33,49
SACRAMENTO KINGS,32,50
MINNESOTA TIMBERWOLVES,31,51
NEW YORK KNICKS,31,51
ORLANDO MAGIC,29,53
PHILADELPHIA 76ERS,28,54
LOS ANGELES LAKERS,26,56
PHOENIX SUNS,24,58
BROOKLYN NETS,20,62
