<<<<<<< Updated upstream
Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score
5198,Heat Victory Over Wizards Not Enough To Make Playoffs,2017,http://global.nba.com/news/heat-victory-wizards-not-enough-make-playoffs/,NBA News,Default,Default,Default,0.2,0.2,John Wall,0.203546452316276
5199,"Pacers Down Hawks, Clinch No. 7 Seed In East",2017,http://global.nba.com/news/pacers-hawks-clinch-no-7-seed-east/,NBA News,Default,Default,Default,0.0864341085271318,0.0864341085271318,Paul George,0.1344869879239471
5200,Celtics Clinch No. 1 Seed With Win Over Bucks,2017,http://global.nba.com/news/celtics-clinch-no-1-seed-win-bucks/,NBA News,Default,Default,Default,0.0106261022927689,0.0106261022927689,Isaiah Thomas,0.19634476550452276
5201,"Bulls Take Care Of Business, Clinch Playoff Berth",2017,http://global.nba.com/news/bulls-take-care-business-clinch-playoff-berth/,NBA News,Default,Default,Default,-0.11875,-0.11875,Jimmy Butler,0.2880769429863583
5202,Guerschon Yabusele continues journey to Boston Celtics,2017,http://global.nba.com/news/guerschon-yabusele-continues-journey-celtics/,NBA News,Default,Default,Default,0.1668397979797979,0.1668397979797979,Evan Fournier,0.011592272458269935
5203,Houston Rockets enter NBA playoffs with nothing to lose,2017,http://global.nba.com/news/houston-rockets-enter-nba-playoffs-nothing-lose/,NBA News,Default,Default,Default,0.1520230150367136,0.1520230150367136,James Harden,0.26398617090471443
5204,Blogtable: What criteria matters most in making your MVP decision?,2017,http://global.nba.com/news/blogtable-criteria-matters-making-mvp-decision/,NBA News,Default,Default,Default,0.2047916666666666,0.2047916666666666,Russell Westbrook,0.2838946337451826
5205,Blogtable: Historical significance of Russell Westbrook’s 2016-17 season?,2017,http://global.nba.com/news/blogtable-historical-significance-russell-westbrooks-2016-17-season/,NBA News,Default,Default,Default,0.1657621710300281,0.1657621710300281,Russell Westbrook,0.33237373045237345
5206,"Kia Rookie Ladder: In end, Malcolm Brogdon’s impact was undeniable",2017,http://global.nba.com/news/kia-rookie-ladder-end-malcolm-brogdons-impact-undeniable/,NBA News,Default,Default,Default,0.1242541682351465,0.1242541682351465,Isaiah Thomas,0.021547060722118417
5207,Just two playoff spots remaining entering final night of regular season,2017,http://global.nba.com/news/just-two-playoff-spots-remaining-entering-final-night-regular-season/,NBA News,Default,Default,Default,0.140688775510204,0.140688775510204,LeBron James,0.07881981460295288
5208,LeBron James will sit out Cleveland Cavaliers’ season finale,2017,http://global.nba.com/news/lebron-james-will-sit-cleveland-cavaliers-season-finale/,NBA News,Default,Default,Default,0.0321428571428571,0.0321428571428571,LeBron James,0.5742544130616616
5209,Shootaround (April 12) — Celtics have clear goal in mind heading into season finale,2017,http://global.nba.com/news/shootaround-april-12-celtics-clear-goal-mind-heading-season-finale/,NBA News,Default,Default,Default,0.1879914154259132,0.1879914154259132,Isaiah Thomas,0.013989264252902717
5210,"Hield, Lawson set personal milestones while leading Kings past Suns",2017,http://global.nba.com/news/hield-lawson-set-personal-milestones-leading-kings-past-suns/,NBA News,Default,Default,Default,-0.0129261363636363,-0.0129261363636363,Devin Booker,0.07787178884673648
