Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment
0,Warriors’ Stephen Curry To Begin Practicing Next Week,2018-19,http://global.nba.com/news/warriors-stephen-curry-to-begin-practicing-next-week/,NBA News,Default,Default,Default,0.1031818181818181,0.10318181818181817
1,Pelicans’ Anthony Davis (Hip Strain) Out vs. Wizards,2018-19,http://global.nba.com/news/pelicans-anthony-davis-hip-strain-out-vs-wizards/,NBA News,Default,Default,Default,0.0073051948051948,0.007305194805194801
2,Rockets To Rest Chris Paul Against Cavaliers,2018-19,http://global.nba.com/news/rockets-to-rest-chris-paul-against-cavaliers/,NBA News,Default,Default,Default,0.1785714285714285,0.17857142857142858
3,Warriors Looking To Stay On Track As They Host Kings,2018-19,http://global.nba.com/news/warriors-looking-to-stay-on-track-as-they-host-kings/,NBA News,Default,Default,Default,0.108196324951644,0.10819632495164408
4,Bucks End Homestand Against Spurs,2018-19,http://global.nba.com/news/bucks-end-homestand-against-spurs/,NBA News,Default,Default,Default,0.0866272095959596,0.0866272095959596
5,Mavericks Aim To Continue Home-Winning Streak vs. Celtics,2018-19,http://global.nba.com/news/mavericks-aim-to-continue-home-winning-streak-vs-celtics/,NBA News,Default,Default,Default,0.0991027491027491,0.0991027491027491
6,Thunder-Nuggets: 12-Win Teams Meet In Oklahoma City,2018-19,http://global.nba.com/news/thunder-nuggets-12-win-teams-meet-in-oklahoma-city/,NBA News,Default,Default,Default,0.2677170868347339,0.26771708683473394
7,Rockets Look To Start New Winning Streak Against Cavaliers,2018-19,http://global.nba.com/news/rockets-look-to-start-new-winning-streak-against-cavaliers/,NBA News,Default,Default,Default,0.1761126503126502,0.17611265031265028
8,"LeBron Pushes Lakers Past Jazz For 7th Win In 8 Games, 90-83",2018-19,http://global.nba.com/news/lebron-pushes-lakers-past-jazz-for-7th-win-in-8-games-90-83/,NBA News,Default,Default,Default,0.0411616161616161,0.04116161616161616
9,"Durant, Thompson Help Warriors Beat Blazers, End 4-Game Skid",2018-19,http://global.nba.com/news/durant-thompson-help-warriors-beat-blazers-end-4-game-skid/,NBA News,Default,Default,Default,0.0917795566502463,0.0917795566502463
10,"Lyles Scores Season-High 22 As Nuggets Beat Magic, 112-87",2018-19,http://global.nba.com/news/lyles-scores-season-high-22-as-nuggets-beat-magic-112-87/,NBA News,Default,Default,Default,0.1649292149292149,0.16492921492921495
11,"Crawford’s Last-Second Shot Lifts Suns Past Bucks, 116-114",2018-19,http://global.nba.com/news/crawfords-last-second-shot-lifts-suns-past-bucks-116-114/,NBA News,Default,Default,Default,0.0497165532879818,0.04971655328798185
12,Aldridge Scores 33 To Lead Spurs Over Pacers 111-100,2018-19,http://global.nba.com/news/aldridge-scores-33-to-lead-spurs-over-pacers-111-100/,NBA News,Default,Default,Default,0.0473886328725038,0.04738863287250384
13,Westbrook Scores 30 As Thunder Hold Off Hornets,2018-19,http://global.nba.com/news/westbrook-scores-30-as-thunder-hold-off-hornets/,NBA News,Default,Default,Default,0.0966463166463166,0.09664631664631666
14,Leonard Scores 27 Points As Raptors Rout Wizards 125-107,2018-19,http://global.nba.com/news/leonard-scores-27-points-as-raptors-rout-wizards-125-107/,NBA News,Default,Default,Default,0.0108174178762414,0.010817417876241405
15,"Clarkson, Hood Help Cavaliers Hand 76ers First Home Loss",2018-19,http://global.nba.com/news/clarkson-hood-help-cavaliers-hand-76ers-first-home-loss/,NBA News,Default,Default,Default,-0.0019678932178932,-0.0019678932178932213
16,"Balanced Detroit Attack Outlasts Houston In Overtime, 116-111",2018-19,http://global.nba.com/news/balanced-detroit-attack-outlasts-houston-in-overtime-116-111/,NBA News,Default,Default,Default,0.0709054834054834,0.07090548340548344
17,Clippers Win In OT To Snap Grizzlies’ 5-Game Winning Streak,2018-19,http://global.nba.com/news/clippers-win-in-ot-to-snap-grizzlies-5-game-winning-streak/,NBA News,Default,Default,Default,0.2190771349862259,0.2190771349862259
18,Steph Curry Not Hurt In Multi-Car Accident,2018-19,http://global.nba.com/news/steph-curry-not-hurt-in-multi-car-accident/,NBA News,Default,Default,Default,0.0677871148459384,0.0677871148459384
19,Irving Says He Wants To Retire In His Early To Mid-30s,2018-19,http://global.nba.com/news/irving-says-he-wants-to-retire-in-his-early-to-mid-30s/,NBA News,Default,Default,Default,0.1990433673469387,0.19904336734693878
20,Derrick Rose Scores 25 As Timberwolves Beat Nets 112-102,2018-19,http://global.nba.com/news/derrick-rose-scores-25-as-timberwolves-beat-nets-112-102/,NBA News,Default,Default,Default,0.2920454545454545,0.29204545454545455
21,What You May Have Missed: Options For Antetokounmpo And More,2018-19,http://global.nba.com/news/what-you-may-have-missed-options-for-antetokounmpo-and-more/,NBA News,Default,Default,Default,0.0949384236453201,0.09493842364532017
22,Kia MVP Ladder: Walker Making Case As Top 5 Point Guard,2018-19,http://global.nba.com/news/kia-mvp-ladder-walker-making-case-as-top-5-point-guard/,NBA News,Default,Default,Default,0.1875540817207484,0.1875540817207484
23,Bucks Continue Set Of Home Games vs. Suns,2018-19,http://global.nba.com/news/bucks-continue-set-of-home-games-vs-suns/,NBA News,Default,Default,Default,0.0781424281424281,0.07814242814242814
24,"Warriors, Trail Blazers Aim To Rebound From Losses",2018-19,http://global.nba.com/news/warriors-trail-blazers-aim-to-rebound-from-losses/,NBA News,Default,Default,Default,0.0418229918229918,0.041822991822991824
25,Jazz Seek To Defend Better Versus Lakers,2018-19,http://global.nba.com/news/jazz-seek-to-defend-better-versus-lakers/,NBA News,Default,Default,Default,0.1673085016835016,0.16730850168350167
26,"Banged Up Thunder Host Kemba Walker, Hornets",2018-19,http://global.nba.com/news/banged-up-thunder-host-kemba-walker-hornets/,NBA News,Default,Default,Default,0.1405962823725981,0.14059628237259814
27,76ers To Close Out Homestead vs. Cavaliers,2018-19,http://global.nba.com/news/76ers-to-close-out-homestead-vs-cavaliers/,NBA News,Default,Default,Default,0.1842044567454403,0.1842044567454403
28,"Spurs, Pacers Meet Looking To Rebound From Tough Losses",2018-19,http://global.nba.com/news/spurs-pacers-meet-looking-to-rebound-from-tough-losses/,NBA News,Default,Default,Default,0.063668430335097,0.06366843033509702
29,"Hawks, Celtics Both Look To Get Back On Track",2018-19,http://global.nba.com/news/hawks-celtics-both-look-to-get-back-on-track/,NBA News,Default,Default,Default,0.1133402477152477,0.1133402477152477
30,Rockets Look To Add On Another Win vs. Pistons,2018-19,http://global.nba.com/news/rockets-look-to-add-on-another-win-vs-pistons/,NBA News,Default,Default,Default,0.074681855500821,0.07468185550082101
31,Surging Grizzlies Set To Visit Clippers,2018-19,http://global.nba.com/news/surging-grizzlies-set-to-visit-clippers/,NBA News,Default,Default,Default,0.2028571428571428,0.20285714285714285
32,Nets Hope Allen Crabbe Stays Hot vs. Timberwolves,2018-19,http://global.nba.com/news/nets-hope-allen-crabbe-stays-hot-vs-timberwolves/,NBA News,Default,Default,Default,0.1135521885521885,0.11355218855218857
33,"Diallo Suffers Scary Fall vs. Warriors, But Avoids Serious Leg Injury",2018-19,http://global.nba.com/news/diallo-suffers-scary-fall-vs-warriors-but-avoids-serious-leg-injury/,NBA News,Default,Default,Default,0.0403125,0.04031250000000001
34,"Kia Rookie Ladder: Ayton, Others Starting To Make Their Move",2018-19,http://global.nba.com/news/kia-rookie-ladder-ayton-others-starting-to-make-their-move/,NBA News,Default,Default,Default,0.128837042996335,0.128837042996335
35,"Westbrook Stars, Diallo Hurt In Thunder’s Win Over Warriors",2018-19,http://global.nba.com/news/westbrook-stars-diallo-hurt-in-thunders-win-over-warriors/,NBA News,Default,Default,Default,0.0006681839402427,0.0006681839402427589
36,Cauley-Stein Scores 23 As Kings Outlast Jazz 119-110,2018-19,http://global.nba.com/news/cauley-stein-scores-23-as-kings-outlast-jazz-119-110/,NBA News,Default,Default,Default,0.0226833108412055,0.02268331084120558
37,"Grizzlies Fend Off Spurs 104-103 Behind Conley, Gasol",2018-19,http://global.nba.com/news/grizzlies-fend-off-spurs-104-103-behind-conley-gasol/,NBA News,Default,Default,Default,0.1096109175377468,0.1096109175377468
38,Barnes Scores Season-High 28 As Mavericks Beat Nets,2018-19,http://global.nba.com/news/barnes-scores-season-high-28-as-mavericks-beat-nets/,NBA News,Default,Default,Default,0.0617794486215538,0.061779448621553885
39,"Millsap, Murray Lead Nuggets Past Timberwolves",2018-19,http://global.nba.com/news/millsap-murray-lead-nuggets-past-timberwolves/,NBA News,Default,Default,Default,0.0691441441441441,0.06914414414414413
40,Harden’s 43 Points Leads Rockets Over Pistons,2018-19,http://global.nba.com/news/hardens-43-points-leads-rockets-over-pistons/,NBA News,Default,Default,Default,0.0797142857142857,0.07971428571428572
41,Parker Shines As Bulls Beat Suns 124-116,2018-19,http://global.nba.com/news/parker-shines-as-bulls-beat-suns-124-116/,NBA News,Default,Default,Default,0.159453781512605,0.15945378151260506
42,"Lowry’s Triple-Double Leads Raptors, Carter Gets Milestone",2018-19,http://global.nba.com/news/lowrys-triple-double-leads-raptors-carter-gets-milestone/,NBA News,Default,Default,Default,0.1158055712403538,0.11580557124035387
