Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name
4084,On the Beat: Okafor Stands Out in “Surreal” Setting,2015-16,http://global.nba.com/news/on-the-beat-okafor-stands-out-in-surreal-setting/,Brian Seltzer,780,None,None,0.1060626102292768,0.1060626102292768,LaMarcus Aldridge
4085,"Warriors Win in Overtime, Move to 11-0",2015-16,http://global.nba.com/news/warriors-win-in-overtime-move-to-11-0/,NBA News,Default,Default,Default,0.1318181818181818,0.1318181818181818,Stephen Curry
4086,"Duncan, Parker Reach Milestones In Win Over Sixers",2015-16,http://global.nba.com/news/game-recap-spurs-92-76ers-83/,Brian Seltzer,780,None,None,0.0779581529581529,0.0779581529581529,LaMarcus Aldridge
4087,Bledsoe’s Big Game Carries Suns Past Nuggets,2015-16,http://global.nba.com/news/nuggets-at-suns-recap/,NBA News,Default,Default,Default,0.0295925925925925,0.0295925925925925,Eric Bledsoe
4088,Fournier Using Basketball as Therapy After Tragedy in Paris,2015-16,http://global.nba.com/news/fournier-using-basketball-as-therapy-after-tragedy-in-paris/,NBA News,Default,Default,Default,0.0670114924757781,0.0670114924757781,James Harden
4089,Strong Finish Pulls Clippers Past Pistons,2015-16,http://global.nba.com/news/strong-finish-pulls-clippers-past-pistons/,NBA News,Default,Default,Default,-0.023758320532514,-0.023758320532514,Blake Griffin
4090,Ian Mahinmi’s Statement on Paris Tragedy,2015-16,http://global.nba.com/news/ian-mahinmis-statement-on-paris-tragedy/,NBA News,Default,Default,Default,-0.1838541666666666,-0.1838541666666666,James Harden
4091,Pelicans’ Ajinca Contacted Family and Friends in France Shortly After Friday Game,2015-16,http://global.nba.com/news/pelicans-center-alexis-ajinca-learned-family-and-friends-in-france-were-unharmed-shortly-after-friday-game/,Jim Eichenhofer,2565,21361,44563,0.0231135762385762,0.0231135762385762,James Harden
4092,French NBA Stars Play With Heavy Hearts After Paris Attacks,2015-16,http://global.nba.com/news/french-nba-stars-play-with-heavy-hearts-after-paris-shootings/,DANIEL GIRARD | Associated Press,865,None,None,0.0165660056789088,0.0165660056789088,LeBron James
4093,Lakers’ Bryant Shows Dallas Flashes of Former Self,2015-16,http://global.nba.com/news/lakers-bryant-shows-dallas-flashes-of-former-self/,Fran Blinebury,201,None,None,0.0904293735979782,0.0904293735979782,Kobe Bryant
4094,Boogie & Rondo Lead Kings to Victory,2015-16,http://global.nba.com/news/boogie-rondo-lead-kings-to-victory/,Shahbaz Khan,258,None,None,0.094753086419753,0.094753086419753,DeMarcus Cousins
4095,Lakers Sputter in Final Minute Against Dallas,2015-16,http://global.nba.com/news/rally-sputters-in-final-minute-against-dallas/,Joey Ramirez,996,None,None,0.0514111136878994,0.0514111136878994,Kobe Bryant
4096,"ZBo Lifts Grizzlies Over Blazers in Nail-Biter, 101-100",2015-16,http://global.nba.com/news/grizzlies-defeat-blazers-in-nail-biter-101-100/,NBA News,Default,Default,Default,0.0463700882450882,0.0463700882450882,Damian Lillard
4097,Barton’s Career High Pushes Nuggets Past Rockets,2015-16,http://global.nba.com/news/nuggets-vs-rockets-recap/,NBA News,Default,Default,Default,0.1516666666666666,0.1516666666666666,James Harden
4098,Westbrook Triple-Double Leads Thunder Past Sixers,2015-16,http://global.nba.com/news/thunder-vs-philadelphia-76ers-game-recap-nov-13-2015/,NBA News,Default,Default,Default,0.0103743000294724,0.0103743000294724,Russell Westbrook
4099,Celtics Hot Outside Shooting Hand Hawks First Road Loss,2015-16,http://global.nba.com/news/keys-to-the-game-celtics-106-hawks-93/,NBA News,Default,Default,Default,0.1968606701940035,0.1968606701940035,Paul Millsap
4100,"Bulls take down Hornets, 102-97",2015-16,http://global.nba.com/news/bulls-take-down-hornets-102-97/,NBA News,Default,Default,Default,0.0862599206349206,0.0862599206349206,Pau Gasol
