,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
384,Naz Mitrou-Long,24,0.0,0.0,242.2,42.7,0.0,0.0,0.0,1,False,1,199.4,0.0,0.1,133.8,['SHOOTING GUARD'],mitrona01,0.0,UTAH JAZZ,1.0,0.0,1.5,0.0,45.0,0.0,0.1,2.712
437,Georgios Papagiannis,20,0.0,0.0,39.9,19.7,0.0,0.0,0.0,1,False,4,20.2,27.5,0.0,58.1,['CENTER'],papagge01,24.9,PORTLAND TRAIL BLAZERS,0.0,13.6,1.0,0.0,11.0,0.0,0.1,0.675
75,Anthony Brown,25,41.7,0.0,30.5,4.3,0.0,0.0,0.0,1,False,4,26.2,0.0,0.0,41.9,['SMALL FORWARD'],brownan02,0.0,MINNESOTA TIMBERWOLVES,1.0,0.0,1.5,0.0,11.1,0.0,0.0,0.571
522,Edmond Sumner,22,0.0,0.0,6.9,9.3,56.1,0.0,0.0,1,False,2,-2.4,0.0,0.0,39.8,['POINT GUARD'],sumneed01,0.0,INDIANA PACERS,0.0,28.2,1.0,0.0,22.3,0.0,0.0,0.425
259,Vince Hunter,23,0.0,13.4,9.7,-0.7,16.9,0.0,0.0,4,False,7,10.4,32.3,0.0,35.8,['POWER FORWARD'],huntevi01,0.0,MEMPHIS GRIZZLIES,0.0,24.8,0.6,16.7,38.5,0.0,0.0,0.097
229,Nigel Hayes,23,0.0,0.0,18.2,0.8,0.0,0.0,0.0,2,False,6,17.4,0.0,0.0,34.9,['SMALL FORWARD'],hayesni01,0.0,TORONTO RAPTORS,1.0,0.0,1.5,33.3,21.9,0.0,0.0,0.018
520,David Stockton,26,0.0,0.0,7.9,1.1,0.0,0.0,1.333,3,False,9,6.7,0.0,0.1,33.9,['POINT GUARD'],stockda01,0.0,UTAH JAZZ,1.0,0.0,1.05,17.4,28.8,0.0,0.1,0.459
402,Shabazz Muhammad,25,11.8,0.7,6.0,-1.0,23.0,0.1,0.284,11,False,117,7.0,8.0,0.6,31.0,['SHOOTING GUARD'],muhamsh01,1.7,MILWAUKEE BUCKS,0.119,15.5,0.624,1.3,29.5,0.2,0.7,0.271
351,Boban Marjanović,29,7.9,2.5,4.2,-0.8,35.2,0.3,0.754,20,False,166,5.0,22.1,0.7,30.6,['CENTER'],marjabo01,1.8,LOS ANGELES CLIPPERS,0.0,28.8,0.637,13.2,27.5,0.3,1.0,0.293
214,James Harden,28,45.1,1.7,9.9,1.4,15.2,3.8,0.502,72,False,2551,8.5,1.8,11.6,29.8,['SHOOTING GUARD'],hardeja01,2.4,HOUSTON ROCKETS,0.498,8.6,0.619,15.1,36.1,7.7,15.4,0.289
135,Anthony Davis,24,10.8,5.6,6.7,1.4,24.8,4.9,0.409,75,False,2727,5.3,7.7,8.8,28.9,['POWER FORWARD'],davisan02,2.0,NEW ORLEANS PELICANS,0.111,16.5,0.612,8.6,30.0,5.9,13.7,0.241
277,LeBron James,33,44.4,2.0,8.7,1.4,22.3,3.0,0.336,82,False,3026,7.3,3.7,11.0,28.6,['POWER FORWARD'],jamesle01,1.9,CLEVELAND CAVALIERS,0.257,13.1,0.621,16.1,31.6,8.2,14.0,0.221
133,Stephen Curry,29,30.3,0.4,7.7,0.0,14.4,1.9,0.35,51,False,1631,7.8,2.7,7.2,28.2,['POINT GUARD'],curryst01,2.4,GOLDEN STATE WARRIORS,0.58,9.0,0.675,13.3,31.0,4.0,9.1,0.267
15,Giannis Antetokounmpo,23,23.7,3.3,6.2,0.9,25.3,3.6,0.457,75,False,2756,5.3,6.7,8.3,27.3,['POWER FORWARD'],antetgi01,2.0,MILWAUKEE BUCKS,0.1,16.0,0.598,11.7,31.2,5.7,11.9,0.207
396,Monte Morris,22,41.2,0.0,9.4,5.0,9.0,0.0,0.333,3,False,25,4.3,0.0,0.1,27.1,['POINT GUARD'],morrimo01,5.9,DENVER NUGGETS,0.167,4.5,0.727,12.7,13.7,0.1,0.2,0.312
74,MarShon Brooks,29,25.9,1.5,7.1,-0.4,8.0,0.2,0.225,7,False,193,7.5,4.7,0.6,26.1,['SHOOTING GUARD'],brookma01,2.9,MEMPHIS GRIZZLIES,0.314,6.3,0.629,12.5,29.8,0.4,0.7,0.179
157,Kevin Durant,29,25.5,4.0,7.3,0.6,19.5,2.9,0.331,68,False,2325,6.7,1.6,7.5,26.0,['SMALL FORWARD'],duranke01,1.0,GOLDEN STATE WARRIORS,0.338,11.2,0.64,12.9,30.4,5.5,10.4,0.215
329,Kawhi Leonard,26,17.7,3.6,10.1,4.9,19.1,0.5,0.342,9,False,210,5.2,3.1,0.3,26.0,['SMALL FORWARD'],leonaka01,4.3,SAN ANTONIO SPURS,0.315,11.1,0.572,11.1,30.6,0.6,0.9,0.196
194,Jonathan Gibson,30,22.6,0.0,4.1,-0.8,8.1,0.0,0.0,4,False,40,4.9,0.0,0.1,25.4,['POINT GUARD'],gibsojo01,0.0,BOSTON CELTICS,0.522,4.1,0.739,11.5,29.0,0.1,0.2,0.195
335,Damian Lillard,27,30.9,0.8,7.2,0.3,10.6,2.7,0.38,73,False,2670,7.0,2.6,9.9,25.2,['POINT GUARD'],lillada01,1.4,PORTLAND TRAIL BLAZERS,0.445,6.6,0.594,11.1,30.6,6.3,12.6,0.227
267,Kyrie Irving,25,30.7,0.7,7.3,0.9,10.8,2.7,0.24,60,False,1931,6.4,1.9,6.3,25.0,['POINT GUARD'],irvinky01,1.7,BOSTON CELTICS,0.374,6.4,0.61,10.4,31.0,4.5,8.9,0.222
237,Willy Hernangómez,23,7.1,2.9,2.8,0.1,32.4,0.4,0.747,22,False,262,2.7,15.8,1.0,25.0,['CENTER'],hernawi01,1.9,CHARLOTTE HORNETS,0.084,24.0,0.612,7.5,19.7,0.3,1.5,0.266
6,LaMarcus Aldridge,32,11.3,3.0,3.9,-0.4,17.3,3.5,0.296,75,False,2509,4.3,10.8,7.4,25.0,['CENTER'],aldrila01,0.9,SAN ANTONIO SPURS,0.068,14.0,0.57,6.8,29.1,3.7,10.9,0.209
540,Karl-Anthony Towns,22,10.8,3.5,5.1,0.2,30.9,3.4,0.343,82,False,2918,4.9,9.3,10.6,24.9,['CENTER'],townska01,1.1,MINNESOTA TIMBERWOLVES,0.243,20.0,0.646,10.5,22.9,5.2,14.0,0.23
216,Montrezl Harrell,24,10.1,3.4,3.3,0.2,17.0,1.3,0.405,76,False,1293,3.1,8.9,4.3,24.7,['CENTER'],harremo01,1.4,LOS ANGELES CLIPPERS,0.013,13.0,0.647,9.5,23.8,1.7,5.5,0.205
569,Russell Westbrook,29,49.8,0.6,6.3,1.5,25.7,4.5,0.336,80,False,2914,4.8,5.6,5.5,24.7,['POINT GUARD'],westbru01,2.5,OKLAHOMA CITY THUNDER,0.193,15.3,0.524,16.4,34.1,6.1,10.1,0.166
273,Demetrius Jackson,23,35.1,0.0,7.3,2.1,0.0,0.0,0.5,3,False,17,5.3,6.6,0.1,24.5,['POINT GUARD'],jacksde01,2.8,PHILADELPHIA 76ERS,0.25,3.2,0.82,17.0,14.8,0.0,0.1,0.298
94,Clint Capela,23,5.7,5.7,3.4,1.0,30.8,4.1,0.38,74,False,2034,2.4,13.5,6.2,24.5,['CENTER'],capelca01,1.4,HOUSTON ROCKETS,0.001,22.2,0.65,11.5,19.4,2.8,10.2,0.242
295,Nikola Jokić,22,29.6,2.1,6.9,1.6,27.9,2.9,0.31,75,False,2443,5.3,9.0,7.8,24.4,['CENTER'],jokicni01,1.8,DENVER NUGGETS,0.277,18.5,0.603,15.5,24.2,5.5,10.7,0.211
444,Chris Paul,32,40.9,0.6,7.1,1.8,16.7,2.7,0.277,58,False,1847,5.2,2.3,7.5,24.4,['POINT GUARD'],paulch01,2.6,HOUSTON ROCKETS,0.475,9.5,0.604,12.5,24.5,4.2,10.2,0.265
603,Ante Žižić,21,3.8,5.2,1.0,-0.9,18.6,0.2,0.433,32,False,214,1.9,12.8,0.9,24.2,['CENTER'],zizican01,0.5,CLEVELAND CAVALIERS,0.0,15.7,0.746,12.1,18.8,0.2,1.0,0.231
574,Hassan Whiteside,28,6.9,5.9,2.6,1.1,36.6,3.0,0.315,54,False,1364,1.5,14.3,2.3,24.1,['CENTER'],whiteha01,1.4,MIAMI HEAT,0.003,25.4,0.573,12.3,24.7,1.6,5.3,0.187
183,Enes Freedom,25,9.4,1.7,2.2,-1.1,30.6,2.1,0.258,71,False,1830,3.3,16.6,5.5,24.0,['CENTER'],kanteen01,1.0,NEW YORK KNICKS,0.003,23.6,0.63,13.3,21.8,1.9,7.6,0.198
86,Jimmy Butler,28,20.6,1.0,5.8,0.7,12.7,1.8,0.461,59,False,2164,5.0,4.2,7.1,23.7,['SHOOTING GUARD'],butleji01,2.7,MINNESOTA TIMBERWOLVES,0.217,8.4,0.59,8.9,24.9,4.2,8.9,0.198
429,Victor Oladipo,25,21.2,2.0,5.8,1.7,15.1,4.0,0.274,75,False,2552,4.1,2.1,4.3,23.1,['SHOOTING GUARD'],oladivi01,3.5,INDIANA PACERS,0.323,8.6,0.577,12.7,30.1,5.0,8.2,0.155
388,Greg Monroe,27,20.5,2.9,3.6,2.4,24.4,1.1,0.348,26,False,496,1.2,11.9,0.8,23.0,['CENTER'],monrogr01,2.8,BOSTON CELTICS,0.0,18.2,0.58,17.4,24.9,0.7,2.0,0.193
162,Joel Embiid,23,18.0,4.8,3.3,1.3,29.7,3.8,0.442,63,False,1912,2.0,8.4,2.3,22.9,['CENTER'],embiijo01,1.0,PHILADELPHIA 76ERS,0.203,19.4,0.573,15.6,33.4,2.6,6.2,0.155
154,Andre Drummond,24,14.3,4.3,3.2,1.7,36.4,5.7,0.448,78,False,2625,1.5,16.4,4.6,22.9,['CENTER'],drumman01,2.2,DETROIT PISTONS,0.012,26.2,0.555,15.9,21.2,3.4,10.3,0.189
123,DeMarcus Cousins,27,23.0,3.5,4.7,2.2,30.9,3.2,0.456,48,False,1737,2.5,6.8,1.5,22.6,['CENTER'],couside01,2.2,NEW ORLEANS PELICANS,0.34,19.2,0.583,18.9,31.9,2.9,4.7,0.13
546,Jonas Valančiūnas,25,7.5,3.2,2.4,0.0,30.3,3.0,0.307,77,False,1727,2.4,12.1,4.6,22.5,['CENTER'],valanjo01,0.8,TORONTO RAPTORS,0.108,21.4,0.628,12.9,22.7,1.9,7.6,0.21
562,Jameel Warney,24,0.0,0.0,-0.2,-2.7,21.3,0.0,0.417,3,False,27,2.5,15.9,0.1,22.5,['POWER FORWARD'],warneja01,0.0,DALLAS MAVERICKS,0.0,18.5,0.599,6.6,25.6,0.0,0.1,0.157
341,Kevin Love,29,9.8,1.2,3.3,-1.3,29.8,1.6,0.365,59,False,1651,4.5,7.0,4.7,22.4,['CENTER'],loveke01,1.3,CLEVELAND CAVALIERS,0.453,18.6,0.614,9.6,25.1,2.2,6.4,0.185
366,JaVale McGee,30,8.0,7.3,1.5,1.2,18.7,1.1,0.237,65,False,615,0.3,11.5,1.7,22.3,['CENTER'],mcgeeja01,1.6,GOLDEN STATE WARRIORS,0.027,15.4,0.641,10.0,19.2,0.5,2.7,0.212
381,Nikola Mirotić,26,11.0,1.9,4.6,-0.3,25.3,0.6,0.262,25,False,622,4.9,3.0,1.5,22.0,['POWER FORWARD'],mirotni01,1.2,CHICAGO BULLS,0.533,13.7,0.624,8.4,25.7,1.0,2.0,0.158
350,Boban Marjanović,29,14.4,3.1,0.8,1.2,27.7,0.3,0.57,19,False,171,-0.4,9.5,0.2,21.6,['CENTER'],marjabo01,1.2,DETROIT PISTONS,0.0,18.4,0.597,18.2,31.3,0.1,0.5,0.138
14,Ike Anigbogu,19,0.0,8.9,1.9,0.1,15.0,0.0,0.667,11,False,30,1.8,19.0,0.1,21.6,['CENTER'],anigbik01,1.7,INDIANA PACERS,0.0,16.9,0.558,14.7,20.3,0.0,0.1,0.165
