,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
45,Malik Beasley,25,8.5,0.6,-0.7,-1.5,11.2,1.2,0.071,79,False,1976,0.7,1.4,1.7,11.9,['SHOOTING GUARD'],beaslma01,1.0,MINNESOTA TIMBERWOLVES,0.749,6.2,0.544,4.7,19.4,0.7,2.9,0.069
228,Brandon Goodwin,26,26.0,0.2,-1.6,1.1,11.4,0.7,0.247,36,False,502,-2.6,3.1,0.1,11.8,['POINT GUARD'],goodwbr01,2.5,CLEVELAND CAVALIERS,0.357,7.4,0.501,17.4,18.2,0.1,0.7,0.069
209,Wenyen Gabriel,24,0.0,0.0,-1.6,0.3,100.0,0.0,0.0,1,False,1,-1.9,0.0,0.0,11.8,['POWER FORWARD'],gabriwe01,0.0,BROOKLYN NETS,0.0,54.5,0.0,0.0,0.0,0.0,0.0,0.167
487,Nerlens Noel,27,5.7,5.4,0.3,3.3,18.1,1.0,0.5,25,False,562,-3.1,9.0,0.4,11.8,['CENTER'],noelne01,2.7,NEW YORK KNICKS,0.05,13.5,0.581,21.5,7.3,0.3,1.5,0.128
197,Malachi Flynn,23,18.5,0.7,-1.5,0.4,11.3,0.5,0.131,44,False,537,-1.8,1.9,0.5,11.7,['POINT GUARD'],flynnma01,1.9,TORONTO RAPTORS,0.492,6.4,0.488,6.3,16.5,0.1,1.0,0.092
631,Cam Thomas,20,9.7,0.6,-3.4,-1.4,13.1,0.8,0.209,67,False,1176,-2.0,1.5,0.0,11.7,['SHOOTING GUARD'],thomaca02,1.4,BROOKLYN NETS,0.346,7.5,0.519,9.1,22.1,-0.4,0.8,0.033
441,Ben McLemore,28,7.3,0.8,-3.2,-2.5,8.1,0.2,0.163,64,False,1285,-0.7,1.0,0.7,11.7,['SHOOTING GUARD'],mclembe01,1.4,PORTLAND TRAIL BLAZERS,0.774,4.4,0.567,8.7,21.3,-0.4,0.8,0.031
425,Skylar Mays,24,10.8,0.0,-2.0,-0.8,9.9,0.1,0.141,28,False,220,-1.2,2.5,0.2,11.7,['SHOOTING GUARD'],mayssk01,1.6,ATLANTA HAWKS,0.391,6.2,0.589,12.8,15.5,0.0,0.3,0.061
562,Jeremiah Robinson-Earl,21,6.7,1.3,-2.2,-0.4,19.1,1.0,0.167,49,False,1087,-1.9,7.0,0.4,11.7,['CENTER'],robinje02,1.3,OKLAHOMA CITY THUNDER,0.509,13.0,0.526,10.1,15.4,-0.1,1.5,0.065
108,Alex Caruso,27,18.5,1.1,0.2,2.3,11.2,1.2,0.285,41,False,1147,-2.2,3.3,0.7,11.7,['SHOOTING GUARD'],carusal01,3.0,CHICAGO BULLS,0.492,7.3,0.528,16.5,13.3,0.6,2.0,0.082
595,Jericho Sims,23,5.3,3.9,-1.7,1.1,21.3,0.8,0.537,41,False,555,-2.8,11.6,0.7,11.6,['POWER FORWARD'],simsje01,1.0,NEW YORK KNICKS,0.0,16.4,0.674,23.1,6.9,0.0,1.5,0.128
22,Deni Avdija,21,11.8,1.9,-1.7,0.4,20.5,1.8,0.235,82,False,1984,-2.1,3.0,0.6,11.6,['SMALL FORWARD'],avdijde01,1.5,WASHINGTON WIZARDS,0.447,11.9,0.536,12.0,16.3,0.1,2.4,0.058
437,Rodney McGruder,30,9.6,0.8,-1.4,-0.7,12.1,0.4,0.116,51,False,754,-0.7,4.2,0.7,11.6,['SHOOTING GUARD'],mcgruro01,1.4,DETROIT PISTONS,0.649,8.0,0.577,9.2,14.8,0.1,1.2,0.075
151,Mamadi Diakite,25,1.6,4.5,-5.0,0.9,23.3,0.3,0.234,13,False,188,-5.9,9.2,0.1,11.6,['POWER FORWARD'],diakima01,1.3,OKLAHOMA CITY THUNDER,0.106,16.1,0.54,11.9,13.5,-0.1,0.3,0.08
369,Kevin Knox,22,4.2,0.9,-1.4,-1.9,13.8,0.1,0.25,13,False,111,0.5,7.6,0.0,11.6,['SMALL FORWARD'],knoxke01,0.9,NEW YORK KNICKS,0.7,10.7,0.529,10.1,19.5,0.0,0.1,0.062
