,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
234,LeBron James,28,36.4,1.9,11.7,2.4,20.8,4.7,0.395,76,False,2877,9.3,4.4,14.6,31.6,['POWER FORWARD'],jamesle01,2.4,MIAMI HEAT,0.188,13.1,0.64,12.4,30.2,9.9,19.3,0.322
423,Henry Sims,22,0.0,0.0,-1.2,-6.4,0.0,0.0,0.0,2,False,5,5.2,46.8,0.0,29.2,['CENTER'],simshe01,0.0,NEW ORLEANS HORNETS,0.0,23.8,0.667,25.0,37.2,0.0,0.0,0.061
493,Hakim Warrick,30,0.0,0.0,14.0,7.3,0.0,0.0,1.0,1,False,7,6.7,0.0,0.0,28.8,['POWER FORWARD'],warriha01,7.7,NEW ORLEANS HORNETS,0.0,0.0,0.694,0.0,19.1,0.0,0.1,0.353
134,Kevin Durant,24,21.7,2.6,9.3,1.7,20.3,5.3,0.523,81,False,3119,7.6,1.8,13.6,28.3,['SMALL FORWARD'],duranke01,1.9,OKLAHOMA CITY THUNDER,0.233,11.8,0.647,13.7,29.8,8.9,18.9,0.291
373,Chris Paul,27,46.5,0.4,8.8,2.4,10.5,3.4,0.377,70,False,2335,6.4,2.8,10.6,26.4,['POINT GUARD'],paulch01,3.8,LOS ANGELES CLIPPERS,0.271,6.7,0.594,13.7,22.6,6.4,13.9,0.287
19,Carmelo Anthony,28,14.1,1.1,4.3,-1.7,15.9,2.0,0.344,67,False,2482,6.0,6.1,7.5,24.8,['POWER FORWARD'],anthoca01,1.1,NEW YORK KNICKS,0.278,10.8,0.56,9.3,35.6,3.9,9.5,0.184
294,Brook Lopez,24,6.4,5.2,3.2,-0.2,16.1,2.6,0.358,74,False,2253,3.4,10.8,6.4,24.7,['CENTER'],lopezbr01,0.8,BROOKLYN NETS,0.001,13.4,0.567,9.4,28.6,3.0,9.0,0.191
132,Tim Duncan,36,15.5,6.4,5.3,2.9,29.6,4.9,0.307,69,False,2078,2.4,7.3,3.4,24.4,['CENTER'],duncati01,1.2,SAN ANTONIO SPURS,0.007,19.1,0.554,11.7,27.8,3.8,8.3,0.191
486,Dwyane Wade,31,26.6,1.9,4.4,0.7,12.6,3.5,0.389,69,False,2391,3.7,4.7,6.1,24.0,['SHOOTING GUARD'],wadedw01,2.8,MIAMI HEAT,0.06,8.9,0.571,13.2,29.5,3.8,9.6,0.192
501,Russell Westbrook,24,38.4,0.6,4.4,-0.2,11.8,3.9,0.375,82,False,2861,4.6,4.8,7.7,23.9,['POINT GUARD'],westbru01,2.6,OKLAHOMA CITY THUNDER,0.195,8.6,0.532,13.2,32.8,4.6,11.6,0.195
71,Kobe Bryant,34,29.7,0.6,4.6,-0.1,13.1,2.6,0.392,78,False,3013,4.7,2.5,8.4,23.0,['SHOOTING GUARD'],bryanko01,1.8,LOS ANGELES LAKERS,0.255,7.9,0.57,13.3,31.9,5.0,10.9,0.174
369,Tony Parker,30,40.4,0.2,3.6,-0.5,9.1,2.3,0.332,66,False,2174,4.1,1.0,7.1,23.0,['POINT GUARD'],parketo01,1.3,SAN ANTONIO SPURS,0.068,5.3,0.588,13.0,27.7,3.1,9.3,0.206
189,James Harden,23,25.7,1.0,5.6,0.5,11.9,3.0,0.592,78,False,2985,5.2,2.4,9.8,22.9,['SHOOTING GUARD'],hardeja01,2.4,HOUSTON ROCKETS,0.364,7.2,0.6,14.9,29.0,5.8,12.8,0.206
182,Blake Griffin,23,19.9,1.6,4.1,0.8,21.5,3.9,0.397,80,False,2598,3.2,8.7,6.8,22.4,['POWER FORWARD'],griffbl01,2.0,LOS ANGELES CLIPPERS,0.026,15.2,0.572,12.8,25.4,4.0,10.6,0.196
443,Amar'e Stoudemire,30,3.6,2.7,0.7,-0.9,15.1,0.6,0.487,29,False,682,1.6,10.0,2.1,22.1,['POWER FORWARD'],stoudam01,0.8,NEW YORK KNICKS,0.0,12.4,0.637,13.4,25.7,0.5,2.7,0.191
53,Andray Blatche,26,10.5,2.7,2.2,0.9,19.6,2.5,0.32,82,False,1555,1.3,12.2,2.4,21.9,['CENTER'],blatcan01,3.0,BROOKLYN NETS,0.033,15.8,0.547,13.8,26.5,1.6,4.9,0.153
111,Anthony Davis,19,6.1,5.1,2.5,0.7,23.5,2.4,0.333,64,False,1846,1.8,10.5,3.7,21.7,['POWER FORWARD'],davisan02,2.2,NEW ORLEANS HORNETS,0.009,16.8,0.559,10.3,21.8,2.1,6.1,0.159
