,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
456,Peja Stojaković,33,9.5,0.0,15.5,0.1,16.6,0.0,0.2,2,False,22,15.3,0.0,0.1,34.0,['SMALL FORWARD'],stojape01,0.0,TORONTO RAPTORS,0.6,8.1,0.919,15.5,26.2,0.1,0.1,0.242
220,Orien Greene,28,37.8,0.0,15.1,9.1,0.0,0.0,1.0,3,False,5,6.0,0.0,0.0,33.0,['SHOOTING GUARD'],greenor01,10.7,NEW JERSEY NETS,0.0,0.0,0.521,0.0,26.7,0.0,0.0,0.293
270,LeBron James,26,34.9,1.3,8.1,1.8,18.7,5.3,0.446,79,False,3063,6.3,3.3,10.3,27.3,['SMALL FORWARD'],jamesle01,2.1,MIAMI HEAT,0.188,11.4,0.594,13.8,31.5,7.8,15.6,0.244
254,Dwight Howard,25,6.8,4.9,5.3,2.4,30.6,7.7,0.877,78,False,2935,2.9,12.6,6.7,26.1,['CENTER'],howardw01,1.9,ORLANDO MAGIC,0.007,21.8,0.616,16.2,27.2,5.4,14.4,0.235
494,Dwyane Wade,29,23.5,2.4,6.6,1.1,14.4,4.7,0.471,76,False,2823,5.5,5.5,8.1,25.6,['SHOOTING GUARD'],wadedw01,2.1,MIAMI HEAT,0.149,10.2,0.581,12.4,31.6,6.1,12.8,0.218
320,Kevin Love,22,11.8,0.8,4.4,-1.3,34.2,2.5,0.486,73,False,2611,5.7,13.7,8.9,24.3,['POWER FORWARD'],loveke01,0.9,MINNESOTA TIMBERWOLVES,0.206,23.6,0.593,11.1,22.9,4.2,11.4,0.21
84,Kobe Bryant,32,26.7,0.3,5.2,-0.2,13.3,3.5,0.356,82,False,2779,5.4,3.5,6.8,23.9,['SHOOTING GUARD'],bryanko01,1.9,LOS ANGELES LAKERS,0.217,8.5,0.548,11.4,35.1,5.0,10.3,0.178
386,Chris Paul,25,45.8,0.1,7.1,2.8,12.3,4.4,0.414,80,False,2880,4.4,1.6,9.5,23.7,['POINT GUARD'],paulch01,3.5,NEW ORLEANS HORNETS,0.197,6.9,0.578,13.9,21.1,6.7,13.9,0.232
156,Kevin Durant,22,13.2,1.8,4.9,-0.3,17.7,3.3,0.439,78,False,3038,5.2,2.3,8.6,23.6,['SMALL FORWARD'],duranke01,1.5,OKLAHOMA CITY THUNDER,0.269,10.3,0.589,10.6,30.6,5.3,12.0,0.189
512,Russell Westbrook,22,42.7,0.8,4.2,-0.1,10.3,3.1,0.454,82,False,2847,4.3,5.2,6.3,23.6,['POINT GUARD'],westbru01,2.8,OKLAHOMA CITY THUNDER,0.074,7.8,0.538,15.9,31.6,4.4,9.4,0.159
425,Derrick Rose,22,38.7,1.3,6.8,0.5,9.4,4.8,0.348,81,False,3026,6.3,3.2,8.3,23.5,['POINT GUARD'],rosede01,1.5,CHICAGO BULLS,0.241,6.4,0.55,13.1,32.2,6.7,13.1,0.208
