,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
116,Paul Davis,25,73.8,9.5,18.2,6.3,0.0,0.0,0.5,2,False,8,11.9,0.0,0.0,33.3,['POWER FORWARD'],davispa01,0.0,WASHINGTON WIZARDS,0.0,0.0,0.512,0.0,27.6,0.0,0.0,0.295
59,Ryan Bowen,34,0.0,0.0,11.8,7.7,14.0,0.0,2.0,1,False,8,4.1,14.7,0.1,31.3,['SMALL FORWARD'],bowenry01,6.4,OKLAHOMA CITY THUNDER,0.0,14.3,1.064,0.0,10.5,0.0,0.1,0.509
254,LeBron James,25,41.8,2.0,11.8,2.8,18.5,5.2,0.506,76,False,2966,9.1,3.0,13.3,31.1,['SMALL FORWARD'],jamesle01,2.2,CLEVELAND CAVALIERS,0.253,11.1,0.604,12.3,33.5,10.3,18.5,0.299
171,Trey Gilder,25,0.0,0.0,21.2,13.6,23.4,0.0,0.0,2,False,5,7.6,0.0,0.0,30.9,['SMALL FORWARD'],gildetr01,10.3,MEMPHIS GRIZZLIES,0.0,11.7,1.0,0.0,8.8,0.0,0.0,0.336
472,Dwyane Wade,28,36.4,2.4,9.2,2.1,11.1,4.6,0.465,77,False,2792,7.1,4.5,8.5,28.0,['SHOOTING GUARD'],wadedw01,2.7,MIAMI HEAT,0.161,7.8,0.562,12.2,34.9,7.9,13.0,0.224
137,Kevin Durant,21,13.5,1.9,7.1,0.8,17.9,5.0,0.504,82,False,3239,6.3,3.8,11.1,26.2,['SMALL FORWARD'],duranke01,1.8,OKLAHOMA CITY THUNDER,0.21,11.0,0.607,11.7,32.0,7.5,16.1,0.238
490,D.J. White,23,7.4,2.2,6.4,2.0,14.2,0.2,0.244,12,False,102,4.4,11.6,0.4,25.9,['POWER FORWARD'],whitedj01,2.5,OKLAHOMA CITY THUNDER,0.0,12.9,0.65,6.2,21.3,0.2,0.6,0.276
58,Chris Bosh,25,11.5,2.1,3.6,-1.2,25.2,1.7,0.509,70,False,2526,4.8,9.9,7.9,25.0,['CENTER'],boshch01,0.9,TORONTO RAPTORS,0.019,17.7,0.592,10.7,28.7,3.6,9.6,0.182
135,Tim Duncan,33,17.8,3.5,6.1,1.8,26.8,4.5,0.346,78,False,2438,4.4,10.8,6.4,24.7,['CENTER'],duncati01,1.0,SAN ANTONIO SPURS,0.01,18.9,0.56,10.1,26.0,5.0,10.9,0.215
223,Dwight Howard,24,8.7,6.0,4.4,2.8,31.3,7.1,0.978,82,False,2843,1.6,12.0,6.1,24.0,['CENTER'],howardw01,1.4,ORLANDO MAGIC,0.008,22.0,0.63,18.7,23.9,4.6,13.2,0.223
375,Chris Paul,24,45.4,0.4,6.2,1.6,11.9,1.5,0.298,45,False,1712,4.6,1.3,5.7,23.7,['POINT GUARD'],paulch01,2.9,NEW ORLEANS HORNETS,0.199,6.5,0.584,13.5,22.2,3.5,7.3,0.204
364,Greg Oden,22,6.7,7.7,3.5,2.6,28.3,1.0,0.421,21,False,502,0.9,15.6,1.3,23.1,['CENTER'],odengr01,0.9,PORTLAND TRAIL BLAZERS,0.0,21.9,0.647,17.8,20.7,0.7,2.2,0.214
359,Dirk Nowitzki,31,13.0,2.0,4.2,0.5,20.1,3.9,0.392,81,False,3039,3.7,3.1,8.4,22.9,['POWER FORWARD'],nowitdi01,1.2,DALLAS MAVERICKS,0.081,11.7,0.578,7.8,28.8,4.7,12.3,0.194
163,Pau Gasol,29,15.0,3.5,4.9,1.3,22.7,4.2,0.429,65,False,2403,3.7,11.4,6.8,22.9,['CENTER'],gasolpa01,0.8,LOS ANGELES LAKERS,0.006,17.1,0.593,12.5,21.4,4.2,11.0,0.22
437,Amar'e Stoudemire,27,4.8,2.1,1.0,-1.1,18.9,2.5,0.5,82,False,2838,2.1,9.7,8.2,22.6,['POWER FORWARD'],stoudam01,0.9,PHOENIX SUNS,0.005,14.5,0.615,12.1,27.3,2.2,10.7,0.181
