,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
485,Zhou Qi,23,0.0,0.0,52.0,11.9,0.0,0.0,0.0,1,False,1,40.1,0.0,0.0,80.4,['POWER FORWARD'],qizh01,0.0,HOUSTON ROCKETS,0.0,0.0,1.0,0.0,43.4,0.0,0.0,1.261
417,Greg Monroe,28,73.4,0.0,25.2,-2.8,0.0,0.0,0.0,2,False,5,28.0,63.9,0.1,60.2,['CENTER'],monrogr01,0.0,BOSTON CELTICS,0.0,32.0,0.6,0.0,43.1,0.0,0.1,0.534
172,Trevon Duval,20,59.0,0.0,24.4,5.3,16.0,0.0,0.0,3,False,6,19.1,0.0,0.1,38.3,['POINT GUARD'],duvaltr01,0.0,MILWAUKEE BUCKS,0.333,8.5,0.833,0.0,20.9,0.0,0.1,0.537
471,Gary Payton II,26,45.1,5.3,18.9,10.6,6.9,0.0,0.0,3,False,16,8.3,6.7,0.1,36.9,['POINT GUARD'],paytoga02,8.9,WASHINGTON WIZARDS,0.25,6.8,0.688,11.1,23.8,0.1,0.1,0.358
598,Alan Williams,26,22.3,0.0,11.8,4.2,60.3,0.1,0.308,5,False,26,7.6,16.2,0.1,32.9,['POWER FORWARD'],willial03,1.8,BROOKLYN NETS,0.077,38.4,0.61,6.3,25.5,0.1,0.2,0.312
418,Greg Monroe,28,23.5,0.0,8.2,0.4,17.8,0.0,0.478,3,False,52,7.8,8.4,0.4,31.7,['CENTER'],monrogr01,0.9,PHILADELPHIA 76ERS,0.043,13.2,0.736,3.5,23.2,0.1,0.4,0.37
18,Giannis Antetokounmpo,24,30.3,3.9,10.4,4.1,30.0,5.5,0.55,72,False,2358,6.3,7.3,8.9,30.9,['POWER FORWARD'],antetgi01,1.8,MILWAUKEE BUCKS,0.163,19.3,0.644,14.8,32.3,7.4,14.4,0.292
111,Troy Caupain,23,42.5,0.0,13.3,3.7,13.6,0.0,0.0,4,False,16,9.6,6.6,0.1,30.7,['POINT GUARD'],caupatr01,3.1,ORLANDO MAGIC,0.375,10.0,0.625,0.0,21.8,0.1,0.1,0.347
239,James Harden,29,39.5,1.7,11.0,1.6,17.8,3.8,0.449,78,False,2867,9.4,2.5,11.4,30.6,['POINT GUARD'],hardeja01,2.7,HOUSTON ROCKETS,0.539,10.0,0.616,14.5,40.5,9.3,15.2,0.254
144,Anthony Davis,25,19.0,6.0,9.4,2.3,27.5,3.1,0.422,56,False,1850,7.1,9.9,6.4,30.3,['CENTER'],davisan02,2.2,NEW ORLEANS PELICANS,0.141,18.8,0.597,8.4,29.5,5.3,9.5,0.247
525,Jordan Sibert,26,0.0,0.0,16.0,2.2,0.0,0.0,0.0,1,False,4,13.7,0.0,0.0,29.7,['SHOOTING GUARD'],siberjo01,0.0,ATLANTA HAWKS,1.0,0.0,1.5,0.0,10.2,0.0,0.0,0.183
567,Karl-Anthony Towns,23,17.2,4.2,6.0,0.6,29.3,3.2,0.342,77,False,2545,5.4,10.9,7.2,26.3,['CENTER'],townska01,1.3,MINNESOTA TIMBERWOLVES,0.27,20.0,0.622,13.7,28.9,5.1,10.4,0.197
314,Nikola Jokić,23,37.0,1.9,9.1,2.9,27.6,4.3,0.292,80,False,2504,6.2,9.8,7.5,26.3,['CENTER'],jokicni01,2.1,DENVER NUGGETS,0.224,18.7,0.589,15.4,27.4,7.0,11.8,0.226
178,Joel Embiid,24,18.4,4.4,4.9,0.9,34.0,3.8,0.541,64,False,2154,4.0,8.1,4.9,26.1,['CENTER'],embiijo01,1.0,PHILADELPHIA 76ERS,0.219,21.4,0.593,13.2,33.3,3.8,8.7,0.194
350,Kawhi Leonard,27,16.4,1.0,7.2,1.1,18.6,3.4,0.377,60,False,2040,6.1,4.2,6.1,25.8,['SMALL FORWARD'],leonaka01,2.5,TORONTO RAPTORS,0.267,11.6,0.606,8.4,30.3,4.7,9.5,0.224
298,LeBron James,34,39.4,1.4,8.0,1.7,21.3,2.6,0.382,55,False,1937,6.4,3.1,4.7,25.6,['SMALL FORWARD'],jamesle01,1.7,LOS ANGELES LAKERS,0.299,12.4,0.588,13.3,31.6,4.9,7.2,0.179
580,Nikola Vučević,28,21.9,3.0,6.6,1.7,31.9,4.7,0.168,80,False,2510,5.0,9.4,5.4,25.5,['CENTER'],vucevni01,1.6,ORLANDO MAGIC,0.171,20.5,0.573,9.9,28.0,5.5,10.1,0.193
378,Boban Marjanović,30,9.3,3.6,3.1,0.4,26.5,0.5,0.679,36,False,376,2.6,16.0,1.2,24.9,['CENTER'],marjabo01,1.4,LOS ANGELES CLIPPERS,0.014,21.4,0.666,16.9,24.6,0.5,1.7,0.217
218,Rudy Gobert,26,9.6,5.8,5.4,2.5,30.2,5.7,0.733,81,False,2577,3.0,13.2,8.7,24.6,['CENTER'],goberru01,1.2,UTAH JAZZ,0.0,21.9,0.682,12.1,17.8,4.8,14.4,0.268
576,Jonas Valančiūnas,26,15.7,5.4,2.1,0.0,32.7,0.9,0.326,19,False,527,2.1,10.9,0.7,24.4,['CENTER'],valanjo01,0.6,MEMPHIS GRIZZLIES,0.065,21.6,0.594,13.8,31.4,0.5,1.5,0.14
575,Jonas Valančiūnas,26,8.5,3.4,3.2,0.8,30.2,1.1,0.363,30,False,564,2.3,10.6,1.6,24.4,['CENTER'],valanjo01,1.1,TORONTO RAPTORS,0.116,20.6,0.639,11.5,25.9,0.7,2.6,0.224
142,Stephen Curry,30,24.2,0.9,6.6,-0.5,14.2,2.5,0.214,69,False,2331,7.1,2.2,7.2,24.4,['POINT GUARD'],curryst01,1.9,GOLDEN STATE WARRIORS,0.604,8.4,0.641,11.6,30.4,5.1,9.7,0.199
288,Kyrie Irving,26,35.0,1.4,7.2,1.1,12.7,2.9,0.197,67,False,2214,6.0,3.4,6.2,24.3,['POINT GUARD'],irvinky01,2.2,BOSTON CELTICS,0.35,8.1,0.592,11.3,29.6,5.1,9.1,0.197
171,Kevin Durant,30,26.2,2.6,5.5,0.1,17.5,2.9,0.366,78,False,2702,5.4,1.4,8.6,24.2,['SMALL FORWARD'],duranke01,1.0,GOLDEN STATE WARRIORS,0.281,9.8,0.631,12.3,29.0,5.1,11.5,0.204
101,Clint Capela,24,7.1,3.9,3.0,-0.3,27.6,3.0,0.357,67,False,2249,3.3,14.4,7.8,23.8,['CENTER'],capelca01,1.0,HOUSTON ROCKETS,0.0,20.8,0.658,10.0,18.2,2.8,10.8,0.23
354,Damian Lillard,28,30.6,1.0,6.4,-0.3,11.1,2.4,0.335,80,False,2838,6.6,2.6,9.7,23.7,['POINT GUARD'],lillada01,1.5,PORTLAND TRAIL BLAZERS,0.419,7.0,0.588,10.8,29.3,6.0,12.1,0.205
203,Enes Freedom,26,9.9,1.4,1.3,-1.3,22.8,0.6,0.316,23,False,512,2.6,18.3,1.5,23.5,['CENTER'],kanteen01,1.3,PORTLAND TRAIL BLAZERS,0.056,20.6,0.614,13.7,23.4,0.4,2.1,0.196
596,Hassan Whiteside,29,5.6,7.3,2.3,1.2,35.6,4.0,0.357,72,False,1674,1.1,16.3,2.3,23.5,['CENTER'],whiteha01,1.3,MIAMI HEAT,0.024,25.9,0.564,11.0,22.6,1.8,6.3,0.18
241,Montrezl Harrell,25,12.5,4.0,3.3,0.7,16.7,2.6,0.466,82,False,2158,2.6,9.3,6.1,23.4,['CENTER'],harremo01,1.6,LOS ANGELES CLIPPERS,0.019,13.1,0.636,11.0,23.5,2.9,8.7,0.193
609,Christian Wood,23,4.9,4.3,0.9,-0.8,27.0,0.3,0.446,8,False,189,1.7,7.2,0.3,23.4,['POWER FORWARD'],woodch01,1.7,NEW ORLEANS PELICANS,0.228,17.3,0.613,11.3,26.9,0.1,0.6,0.152
