,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
246,Udonis Haslem,40,0.0,0.0,31.1,7.0,37.5,0.0,0.0,1,False,3,24.1,0.0,0.0,54.6,['CENTER'],hasleud01,0.0,MIAMI HEAT,0.0,19.1,1.0,0.0,30.1,0.0,0.0,0.475
304,Nikola Jokić,25,40.4,1.9,12.1,3.0,26.1,3.4,0.305,72,False,2488,9.1,9.4,12.2,31.3,['CENTER'],jokicni01,1.9,DENVER NUGGETS,0.183,17.8,0.647,13.1,29.6,8.8,15.6,0.301
168,Joel Embiid,26,16.2,3.9,7.5,1.2,29.1,3.2,0.61,51,False,1585,6.3,8.0,5.6,30.3,['CENTER'],embiijo01,1.5,PHILADELPHIA 76ERS,0.171,18.7,0.636,12.2,35.3,3.8,8.8,0.266
460,Norvel Pelle,27,28.2,0.0,3.2,-2.9,0.0,0.0,4.0,1,False,4,6.1,27.4,0.0,30.1,['CENTER'],pelleno01,0.0,SACRAMENTO KINGS,0.0,13.9,0.543,0.0,29.7,0.0,0.0,0.374
14,Giannis Antetokounmpo,26,28.7,3.2,9.0,2.8,28.9,3.3,0.528,61,False,2013,6.2,5.3,6.9,29.2,['POWER FORWARD'],antetgi01,1.7,MILWAUKEE BUCKS,0.201,17.5,0.633,13.2,32.5,5.6,10.2,0.244
458,Gary Payton II,28,4.1,2.2,9.2,8.2,23.6,0.1,0.308,10,False,40,1.0,5.4,0.2,29.2,['POINT GUARD'],paytoga02,7.0,GOLDEN STATE WARRIORS,0.308,14.6,0.847,6.3,16.8,0.1,0.3,0.331
611,Zion Williamson,20,19.7,1.8,5.8,-0.3,14.7,1.6,0.51,61,False,2026,6.1,8.9,7.1,27.1,['POWER FORWARD'],willizi01,1.3,NEW ORLEANS PELICANS,0.033,11.8,0.649,11.6,29.8,4.0,8.7,0.205
95,Jimmy Butler,31,35.1,1.1,7.7,2.3,17.1,2.7,0.565,52,False,1745,5.4,6.3,6.6,26.5,['SMALL FORWARD'],butleji01,3.1,MIAMI HEAT,0.139,11.8,0.607,10.6,26.6,4.3,9.3,0.255
162,Kevin Durant,32,27.5,3.4,7.2,0.8,21.3,1.2,0.395,35,False,1157,6.4,1.3,3.7,26.4,['POWER FORWARD'],duranke01,1.0,BROOKLYN NETS,0.313,11.8,0.666,14.5,31.2,2.7,5.0,0.206
134,Stephen Curry,32,30.5,0.3,8.7,0.4,15.4,2.5,0.289,63,False,2152,8.3,1.5,6.5,26.3,['POINT GUARD'],curryst01,1.7,GOLDEN STATE WARRIORS,0.587,8.5,0.655,12.2,34.8,5.8,9.0,0.201
343,Kawhi Leonard,29,24.9,1.1,7.3,1.3,17.4,2.4,0.325,52,False,1773,6.0,3.6,6.4,26.0,['SMALL FORWARD'],leonaka01,2.3,LOS ANGELES CLIPPERS,0.28,10.7,0.622,9.2,28.6,4.2,8.8,0.238
610,Robert Williams,23,14.2,8.6,6.0,3.1,25.6,1.9,0.283,52,False,985,2.9,14.9,3.4,25.7,['CENTER'],williro04,2.1,BOSTON CELTICS,0.008,20.2,0.719,15.2,15.0,2.0,5.3,0.258
348,Damian Lillard,30,34.6,0.6,6.3,-1.3,11.5,0.8,0.363,67,False,2398,7.5,1.4,9.6,25.6,['POINT GUARD'],lillada01,1.3,PORTLAND TRAIL BLAZERS,0.528,6.3,0.623,11.6,31.4,5.0,10.4,0.209
193,Daniel Gafford,22,4.4,8.4,4.0,1.6,20.2,0.7,0.486,23,False,408,2.5,13.0,1.3,25.4,['CENTER'],gaffoda01,1.7,WASHINGTON WIZARDS,0.0,16.6,0.696,10.2,18.9,0.6,2.0,0.235
151,Luka Dončić,21,44.1,1.5,6.8,0.7,22.9,2.6,0.349,66,False,2262,6.1,2.7,5.1,25.3,['POINT GUARD'],doncilu01,1.4,DALLAS MAVERICKS,0.406,12.8,0.587,15.3,36.0,5.1,7.7,0.163
231,James Harden,31,43.8,1.8,7.7,1.3,22.1,1.5,0.439,36,False,1319,6.4,2.6,4.5,25.0,['POINT GUARD'],hardeja01,1.7,BROOKLYN NETS,0.437,12.9,0.619,16.7,28.4,3.2,6.0,0.219
141,Dewayne Dedmon,31,9.6,3.0,1.7,0.5,31.0,0.4,0.415,16,False,210,1.2,15.5,0.7,24.5,['CENTER'],dedmode01,2.1,MIAMI HEAT,0.077,23.4,0.735,14.5,19.3,0.2,1.1,0.256
281,Kyrie Irving,28,28.6,1.7,5.5,-0.2,11.4,1.6,0.201,54,False,1886,5.7,3.2,5.8,24.4,['POINT GUARD'],irvinky01,1.9,BROOKLYN NETS,0.348,7.5,0.614,9.9,30.4,3.6,7.4,0.189
