,season,name,textblob_sentiment,sentiment_bert_average_score,sentiment_xlnet_average_score,bert_relevance,relevance_score,frequency
0,2010,Al Harrington,0.0322815091754486,0.615266012210472,0.6102737764907039,0.527045488357544,0.0006413033165588,3
1,2010,Al Horford,0.0484222637631729,0.5975073248732323,0.5481711783829857,0.5281317830085754,0.0009619549748382,2
2,2010,Al Jefferson,0.0731523758973791,0.5887928250568365,0.5850761841714772,0.5273613929748535,0.0024765477868528,3
3,2010,Allen Iverson,0.0,0.5296669602394104,0.5502549409866333,0.5240400433540344,0.0,1
4,2010,Amar'e Stoudemire,0.0,0.5280919075012207,0.7067809700965881,0.543718695640564,0.0,1
5,2010,Andre Miller,0.0926882663407053,0.5760467797517776,0.5812797513273027,0.5220761895179749,0.0616113221589233,6
6,2010,Andrea Bargnani,0.2366198865733748,0.5677419097527213,0.5666976000951685,0.5314929485321045,0.0018285459338642,1
7,2010,Andrew Bogut,0.2156756438006437,0.6016583310233221,0.6088237563769022,0.5138013958930969,0.0917836355580646,3
8,2010,Andrew Bynum,0.2522723803973803,0.5723225937949286,0.5465111633141836,0.5252323746681213,0.0187347143342237,3
9,2010,Anthony Tolliver,0.1074376885740522,0.5975322212491717,0.6016859837940761,0.519020676612854,0.0,1
10,2010,Baron Davis,0.1959271968070072,0.5841270925677847,0.6077141946243917,0.5028625726699829,0.0025527278081401,10
11,2010,Brandon Jennings,0.1635111941930125,0.5854365159483517,0.5630141952458549,0.509989857673645,0.0019239099496764,1
12,2010,Brandon Roy,0.0599749661113297,0.5817097173017614,0.5696644853143131,0.5197175741195679,0.0003847819899352,5
13,2010,Brandon Rush,0.1354744413835323,0.5867385331760435,0.5760815099758261,0.5221421122550964,0.0019440484794027,2
14,2010,Brook Lopez,0.0265412748171368,0.6042667410590432,0.5606619787938667,0.5107244253158569,0.0038706676895087,1
15,2010,Carmelo Anthony,0.0659319821592549,0.5807402985436576,0.576524725982121,0.531563937664032,0.0585006792499055,5
16,2010,Chauncey Billups,0.0,0.6897717118263245,0.6465855836868286,0.5368766784667969,0.2304206444871469,1
17,2010,Chris Bosh,0.0327022388386025,0.5807796225828283,0.5424343431697173,0.5248888731002808,0.1168356561255564,5
18,2010,Chris Duhon,0.1635111941930125,0.5644183123812956,0.5769725652302012,0.5221039056777954,0.0019239099496764,1
19,2010,Chris Kaman,0.1635111941930125,0.5527362157316769,0.5760461021872127,0.5262837409973145,0.0019239099496764,1
20,2010,Chris Paul,0.0512436741880787,0.6215340599417687,0.5677250191569329,0.528622031211853,0.0712340294447961,10
21,2010,Courtney Lee,0.1459026613406373,0.5926814779779009,0.5845080464078493,0.5307422876358032,0.014313206075202,12
22,2010,Danilo Gallinari,0.0,0.6915561556816101,0.6374415755271912,0.531773030757904,0.0,1
23,2010,Danny Granger,0.1,0.6676145792007446,0.5825732350349426,0.5294076204299927,0.0,1
24,2010,David Lee,-0.0065398886827458,0.5966468964304242,0.5842707242284503,0.5298064351081848,0.0056066072857122,7
25,2010,Deron Williams,0.2167103602554624,0.5781180278826045,0.5486352741972361,0.5351227521896362,0.0008444092925178,3
26,2010,Derrick Rose,0.3511008403361344,0.6032645726203919,0.6103647518157959,0.5255123972892761,0.1226576333008063,5
27,2010,Devin Harris,0.1157152197193953,0.5803097930651355,0.572124341259832,0.524380624294281,0.0023977310738217,9
28,2010,Dirk Nowitzki,0.125,0.5691917687654495,0.699401468038559,0.536741316318512,0.0404390759155564,4
29,2010,Drew Gooden,0.1273748757555575,0.6036149188876152,0.5519538415329797,0.5365318655967712,0.0125645129186557,2
30,2010,Dwight Howard,0.3692309731172045,0.5943507164732147,0.6190288015959426,0.5102360844612122,0.1196586866881481,8
31,2010,Dwyane Wade,0.0,0.5068711042404175,0.5466958284378052,0.5202259421348572,0.0,1
32,2010,Earl Barron,0.2366198865733748,0.5935538048329561,0.5683303993681202,0.513433039188385,0.0018285459338642,1
33,2010,Elton Brand,0.1198615544777777,0.575675743928662,0.5907728614630523,0.5154513120651245,0.0047546282405363,9
34,2010,Eric Gordon,0.0113013740967495,0.5962551447356782,0.6048436250840249,0.5266140103340149,0.0050855127760958,14
35,2010,Gerald Wallace,0.1486669524311509,0.5635565271857893,0.5977402440126688,0.5259253978729248,0.0006135741019257,4
36,2010,Gilbert Arenas,0.132288557912325,0.6023474167263697,0.5754024456890803,0.523616373538971,0.0043846670048157,6
37,2010,Grant Hill,0.240489230540701,0.6017465628683567,0.5997204259037971,0.5032147765159607,0.0592475991836156,8
38,2010,Jamal Crawford,0.0,0.5624095797538757,0.5344771146774292,0.53203284740448,0.0,2
39,2010,Jason Kidd,0.1635111941930125,0.6051376461982727,0.5845245157971102,0.52412348985672,0.0038495835214652,1
40,2010,Jason Richardson,0.1274885912051986,0.5931767952111032,0.5830512223144372,0.528002142906189,0.0163196925092502,12
41,2010,Jason Terry,0.1677700609364742,0.5544813640912374,0.5958592442671458,0.518584668636322,0.0180799040325454,5
42,2010,Jason Thompson,0.3247294372294372,0.5843594439682507,0.5618800921809105,0.514467716217041,0.0226491925913974,3
43,2010,Jeff Green,0.0378312957686061,0.5772260303298632,0.6037217204769453,0.5198794603347778,0.0096595561587692,6
44,2010,Joe Johnson,0.1618280157342657,0.5752243176102638,0.6256682127714157,0.5286239981651306,0.0052299977716932,4
45,2010,John Salmons,0.0530548230150523,0.5779956721390287,0.5797056455165147,0.5285564064979553,0.0117437420019763,24
46,2010,Josh Smith,0.0270725900570862,0.6300335711903041,0.6218685030937194,0.528082013130188,0.0257299759809636,3
