,title,date,url,player
0,Kevin Durant: Phoenix Suns forward out for three weeks after missing home debut with warm-up injury,2022-23,https://www.bbc.co.uk/sport/basketball/64912266,Kevin Durant
1,NBA: Kevin Durant scores 23 points on Phoenix Suns debut in win at Charlotte Hornets,2022-23,https://www.bbc.co.uk/sport/basketball/64820742,Kevin Durant
2,NBA: Kevin Durant traded to Phoenix Suns as Russell Westbrook joins Utah Jazz,2022-23,https://www.bbc.co.uk/sport/basketball/64593463,Kevin Durant
3,NBA All-Star Game: Giannis Antetokounmpo MVP as Team LeBron beat Team Durant 170-150,2020-21,https://www.bbc.co.uk/sport/basketball/56318297,Kevin Durant
4,"NBA: Brooklyn Nets find 'solace' in wins after tumultuous week, says Kevin Durant",2022-23,https://www.bbc.co.uk/sport/basketball/63532635,Kevin Durant
5,Kevin Durant found out about Brooklyn Nets sacking Steve Nash on TV,2022-23,https://www.bbc.co.uk/sport/basketball/63482350,Kevin Durant
6,NBA: Kyrie Irving and Kevin Durant score high in Brooklyn Nets defeat at Memphis Grizzlies,2022-23,https://www.bbc.co.uk/sport/basketball/63383489,Kevin Durant
7,NBA: Kevin Durant questions New York's Covid-19 rules,2021-22,https://www.bbc.co.uk/sport/basketball/60731636,Kevin Durant
8,Kevin Durant and Kyrie Irving of Brooklyn Nets sidelined for Covid reasons,2021-22,https://www.bbc.co.uk/sport/basketball/59714261,Kevin Durant
9,NBA: Brooklyn Nets must manage Kevin Durant game time - Steve Nash,2021-22,https://www.bbc.co.uk/sport/basketball/59694810,Kevin Durant
10,"NBA: Giannis Antetokounmpo, LeBron James and Kevin Durant star in plays of the week",2021-22,https://www.bbc.co.uk/sport/av/basketball/59175977,Kevin Durant
11,NBA: James Harden and Kevin Durant shine in latest Brooklyn Nets win,2021-22,https://www.bbc.co.uk/sport/basketball/59244927,Kevin Durant
12,NBA: Kevin Durant ejected as Nets beat Pistons while Carmelo Anthony inspires the Lakers,2021-22,https://www.bbc.co.uk/sport/basketball/59116897,Kevin Durant
18,NBA: Kevin Durant leads Brooklyn Nets to victory with 20 points against Golden State Warriors,2020-21,https://www.bbc.co.uk/sport/basketball/56060272,Kevin Durant
19,Kevin Durant: Brooklyn Nets star fined and 'sorry' for Michael Rapaport exchange,2020-21,https://www.bbc.co.uk/sport/basketball/56620897,Kevin Durant
20,NBA: Kevin Durant scores 17 points off bench as Brooklyn hammer New Orleans,2020-21,https://www.bbc.co.uk/sport/basketball/56672804,Kevin Durant
21,Kevin Durant: Brooklyn Nets forward taken off because of coronavirus protocols,2020-21,https://www.bbc.co.uk/sport/basketball/55961257,Kevin Durant
22,NBA: Kevin Durant wins on Brooklyn Nets debut against Golden State Warriors,2020-21,https://www.bbc.co.uk/sport/av/basketball/55428000,Kevin Durant
23,NBA: Kevin Durant and debutant James Harden star in Brooklyn Nets win,2020-21,https://www.bbc.co.uk/sport/basketball/55694101,Kevin Durant
24,NBA: Phoenix Suns secure 16th win in a row against Brooklyn Nets despite Kevin Durant heroics,2021-22,https://www.bbc.co.uk/sport/basketball/59449866,Kevin Durant
29,Kevin Durant gave a young Warriors fan a Christmas present to remember,2017-18,https://www.bbc.co.uk/sport/basketball/42330111,Kevin Durant
30,Golden State Warriors' Kevin Durant out 'indefinitely' with injured knee,2016-17,https://www.bbc.co.uk/sport/basketball/39125581,Kevin Durant
38,NBA: Brooklyn Nets beat New York Knicks 112-85 in Jacque Vaughn's first game as head coach,2022-23,https://www.bbc.co.uk/sport/basketball/63580568,Kevin Durant
39,Brooklyn Nets' Kyrie Irving adamant on vaccine refusal,2021-22,https://www.bbc.co.uk/sport/basketball/60035898,Kevin Durant
40,NBA: Brooklyn star James Harden joins Philadelphia 76ers as the Nets lose 10th straight game,2021-22,https://www.bbc.co.uk/sport/basketball/60337552,Kevin Durant
43,NBA: Bam Adebayo scores buzzer-beater to give Miami Heat win over Brooklyn Nets,2020-21,https://www.bbc.co.uk/sport/basketball/56798843,Kevin Durant
44,NBA: Utah Jazz thrash depleted Brooklyn Nets 118-88,2020-21,https://www.bbc.co.uk/sport/basketball/56521016,Kevin Durant
45,Cleveland Cavaliers 147-135 Brooklyn Nets: Nets' 'Big Three' outshone by Cavs' Collin Sexton,2020-21,https://www.bbc.co.uk/sport/basketball/55745990,Kevin Durant
46,NBA: Golden State Warriors trio fined for criticising officials,2018-19,https://www.bbc.co.uk/sport/basketball/47795575,Kevin Durant
51,Vrabel the unsung hero,2003-04,http://news.bbc.co.uk/sport1/hi/other_sports/us_sport/3453849.stm,Kevin Durant
52,NBA: Brooklyn Nets stun Boston Celtics 115-105 in biggest comeback win this season,2022-23,https://www.bbc.co.uk/sport/basketball/64846501,Kevin Durant
53,Watch: Stephen Curry lights up NBA All-Star weekend,2020-21,https://www.bbc.co.uk/sport/av/basketball/56320296,Kevin Durant
54,NBA All-Star: Giannis scores game-high 38 points in defeat to Team LeBron,2018-19,https://www.bbc.co.uk/sport/basketball/47276052,Kevin Durant
55,NBA: Ja Morant inspires Memphis Grizzlies win while Stephen Curry stars in Golden State Warriors loss,2022-23,https://www.bbc.co.uk/sport/basketball/63355733,Kevin Durant
58,NBA: Golden State Warriors v LA Lakers & other key talking points for new season,2022-23,https://www.bbc.co.uk/sport/basketball/63287260,Kevin Durant
59,NBA: Nikola Jokic sets career high for rebounds in Denver Nuggets win,2022-23,https://www.bbc.co.uk/sport/basketball/64023967,Kevin Durant
60,NBA: Minnesota Timberwolves take advantage of injury-hit Golden State Warriors,2021-22,https://www.bbc.co.uk/sport/basketball/60000308,Kevin Durant
61,Stephen Curry: Golden State Warriors star out for three months after hand surgery,2019-20,https://www.bbc.co.uk/sport/basketball/50270341,Kevin Durant
62,NBA: Dallas Mavericks stars Luka Doncic and Kyrie Irving combine for second win together,2022-23,https://www.bbc.co.uk/sport/basketball/64833608,Kevin Durant
65,NBA All-Star Game: Stephen Curry sets record as Team LeBron win 163-160 against Team Durant,2021-22,https://www.bbc.co.uk/sport/basketball/60459972,Kevin Durant
66,NBA on the BBC: The big questions as NBA returns after All-Star break,2022-23,https://www.bbc.co.uk/sport/basketball/64722489,Kevin Durant
67,Kyrie Irving: Dallas Mavericks guard scores 24 points in debut win,2022-23,https://www.bbc.co.uk/sport/basketball/64579610,Kevin Durant
68,"NBA: LA rivalry, Zion Williamson & China disputes - the big talking points before new season",2019-20,https://www.bbc.co.uk/sport/basketball/50132656,Kevin Durant
69,NBA: Los Angeles Lakers beaten by Philadelphia 76ers to end away streak,2020-21,https://www.bbc.co.uk/sport/basketball/55838170,Kevin Durant
70,NBA: Joel Embiid makes Philadelphia 76ers history in win over LA Clippers,2020-21,https://www.bbc.co.uk/sport/basketball/56783443,Kevin Durant
75,LeBron James breaks NBA all-time scoring record,2022-23,https://www.bbc.co.uk/sport/basketball/64563131,Kevin Durant
76,NBA: Stephen Curry inspires Golden State Warriors against Milwaukee Bucks,2022-23,https://www.bbc.co.uk/sport/basketball/64930824,Kevin Durant
77,The world's most famous basketball court gets a facelift,2021-22,https://www.bbc.co.uk/news/world-us-canada-58972262,Kevin Durant
78,NBA: Utah Jazz beat Philadelphia 76ers to enhance league's best record,2020-21,https://www.bbc.co.uk/sport/basketball/56061283,Kevin Durant
81,NBA: LeBron James' comeback spoiled as Boston Celtics beat Los Angeles Lakers,2021-22,https://www.bbc.co.uk/sport/basketball/59358572,Kevin Durant
84,LeBron James signs lifetime deal with Nike,2015-16,https://www.bbc.co.uk/news/business-35035743,Kevin Durant
85,Watch James Harden posts 32-point triple-double on Brooklyn Nets debut,2020-21,https://www.bbc.co.uk/sport/av/basketball/55695588,Kevin Durant
86,NBA: Devin Booker sets franchise record as Phoenix Suns beat Utah Jazz,2021-22,https://www.bbc.co.uk/sport/basketball/60151709,Kevin Durant
87,NBA: Golden State Warriors win fifth consecutive game as Toronto Raptors beat Miami Heat,2021-22,https://www.bbc.co.uk/sport/basketball/60180375,Kevin Durant
88,NBA round-up: Dennis Schroder leads LA Lakers to late victory over Memphis Grizzlies,2022-23,https://www.bbc.co.uk/sport/basketball/64357720,Kevin Durant
89,NBA: Zion Williamson scores 43 points as Pelicans beat Timberwolves,2022-23,https://www.bbc.co.uk/sport/basketball/64114841,Kevin Durant
90,NBA: James Harden shines as Brooklyn Nets beat Eastern Conference leaders Chicago Bulls,2021-22,https://www.bbc.co.uk/sport/basketball/59961498,Kevin Durant
91,Olympics basketball: USA beat Spain to win gold,2012-13,https://www.bbc.co.uk/sport/av/olympics/19237340,Kevin Durant
92,New Year Honours List: MBEs for Rio 2016 stars Steph Slater and Scott Durant,2016-17,https://www.bbc.co.uk/news/uk-england-lancashire-38461366,Kevin Durant
94,"NBA: LA Lakers defeated by LA Clippers, Brooklyn Nets beat Golden State Warriors",2020-21,https://www.bbc.co.uk/sport/basketball/55421669,Kevin Durant
95,NBA season preview: Who will challenge the Golden State Warriors?,2017-18,https://www.bbc.co.uk/sport/basketball/41626662,Kevin Durant
96,NBA: San Antonio Spurs beat Cleveland Cavaliers as Keldon Johnson blocks late shot,2022-23,https://www.bbc.co.uk/sport/basketball/63954218,Kevin Durant
97,Bergin signs new Panthers deal,2008-09,http://news.bbc.co.uk/sport1/hi/other_sports/ice_hockey/7991553.stm,Kevin Durant
102,"NBA: New York Knicks rally to beat Milwaukee Bucks, Brooklyn Nets win again",2021-22,https://www.bbc.co.uk/sport/basketball/59188748,Kevin Durant
103,NBA: Damien Lillard hits 42 points as Portland Trail Blazers beat Memphis Grizzlies,2022-23,https://www.bbc.co.uk/sport/basketball/64494837,Kevin Durant
107,NBA: James Harden inspires Brooklyn Nets to win against Phoenix Suns,2020-21,https://www.bbc.co.uk/sport/basketball/56095264,Kevin Durant
108,NBA: Everything you need to know about the 2016-17 season,2016-17,https://www.bbc.co.uk/sport/basketball/37717478,Kevin Durant
111,NBA: Golden State Warriors beaten by LA Clippers in new arena,2019-20,https://www.bbc.co.uk/sport/basketball/50179455,Kevin Durant
