,season,slug,name,team,age,%games_played,minutes_played,points,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,steals,turnovers,field_goal%,free_throw%,3pt,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares_per_48_minutes
1216,2023,adebaba01,Bam Adebayo,MIAMI HEAT,25,0.918918918918919,35.13235294117647,21.058823529411764,3.2794117647058822,15.25,5.588235294117647,0.17647058823529413,0.8676470588235294,6.926470588235294,1.0,8.279411764705882,4.485294117647059,0.014705882352941176,2.426470588235294,2.8676470588235294,1.1911764705882353,2.588235294117647,0.5429122468659595,0.8026315789473685,0.08333333333333333,16.4,2.5,1.8,0.9,23.9,0.366,0.9,7.8,20.4,1.7,0.012,15.5,0.595,12.8,25.5,2.3,0.142
1217,2023,allenja01,Jarrett Allen,CLEVELAND CAVALIERS,24,0.8378378378378378,33.03225806451613,14.35483870967742,1.6774193548387097,9.225806451612904,3.2580645161290325,0.14516129032258066,1.2096774193548387,6.693548387096774,1.0,5.983870967741935,2.370967741935484,0.016129032258064516,3.1129032258064515,2.2419354838709675,0.8225806451612904,1.403225806451613,0.6486013986013985,0.7277227722772277,0.1111111111111111,7.5,3.4,2.3,1.1,23.9,0.353,1.3,11.1,19.8,1.3,0.016,17.5,0.673,11.6,16.3,2.2,0.204
1218,2023,antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,28,0.7777777777777778,32.5,31.25,5.571428571428571,20.392857142857142,12.625,2.7857142857142856,0.8035714285714286,9.607142857142858,1.0,11.125,8.196428571428571,0.8035714285714286,2.25,3.1964285714285716,0.7321428571428571,3.9107142857142856,0.5455341506129597,0.6492220650636492,0.2884615384615385,32.3,2.0,8.2,2.6,29.5,0.619,5.6,7.5,28.6,1.1,0.137,18.9,0.602,13.1,38.7,4.7,0.204
1219,2023,anunoog01,OG Anunoby,TORONTO RAPTORS,25,0.7945205479452054,35.724137931034484,16.775862068965516,1.896551724137931,13.10344827586207,2.7413793103448274,5.258620689655173,0.7241379310344828,3.6551724137931036,1.0,6.224137931034483,2.293103448275862,2.0344827586206895,1.4137931034482758,3.0344827586206895,1.9655172413793103,2.1551724137931036,0.47500000000000003,0.8364779874213837,0.3868852459016393,7.7,2.0,0.1,0.7,12.5,0.209,-0.6,4.2,14.4,2.7,0.401,8.0,0.586,13.1,19.6,1.1,0.085
1220,2023,aytonde01,Deandre Ayton,PHOENIX SUNS,24,0.8472222222222222,30.442622950819672,18.311475409836067,1.819672131147541,13.557377049180328,2.9672131147540983,0.39344262295081966,0.7704918032786885,7.508196721311475,1.0,7.983606557377049,2.2295081967213113,0.11475409836065574,2.639344262295082,2.8360655737704916,0.5573770491803278,1.819672131147541,0.5888754534461911,0.7513812154696132,0.2916666666666667,9.8,2.3,1.1,-0.1,28.0,0.219,1.2,9.5,20.3,0.9,0.029,18.5,0.616,10.9,23.4,1.5,0.15
1221,2023,ballla01,LaMelo Ball,CHARLOTTE HORNETS,21,0.4931506849315068,35.22222222222222,23.27777777777778,8.444444444444445,20.02777777777778,3.388888888888889,10.63888888888889,0.3055555555555556,5.25,1.0,8.222222222222221,2.8333333333333335,4.0,1.1666666666666667,3.2777777777777777,1.2777777777777777,3.5833333333333335,0.41054091539528426,0.8360655737704918,0.37597911227154046,38.5,0.8,2.3,-0.9,16.3,0.169,3.2,3.4,18.0,1.7,0.531,9.7,0.541,14.3,29.9,1.4,0.07
1222,2023,banchpa01,Paolo Banchero,ORLANDO MAGIC,20,0.8904109589041096,33.84615384615385,19.984615384615385,3.6153846153846154,15.738461538461538,7.4,4.030769230769231,0.5076923076923077,5.507692307692308,1.0,6.676923076923077,5.492307692307692,1.1384615384615384,1.123076923076923,2.246153846153846,0.8615384615384616,2.7384615384615385,0.42424242424242425,0.7422037422037422,0.282442748091603,16.6,1.4,-1.8,-0.9,18.6,0.47,-0.9,3.7,14.7,1.2,0.256,11.1,0.526,12.6,27.6,0.1,0.041
1223,2023,banede01,Desmond Bane,MEMPHIS GRIZZLIES,24,0.6805555555555556,31.306122448979593,21.081632653061224,4.224489795918367,16.142857142857142,3.5510204081632653,6.959183673469388,0.3877551020408163,4.387755102040816,1.0,7.571428571428571,3.142857142857143,2.795918367346939,0.7142857142857143,2.489795918367347,0.9387755102040817,2.204081632653061,0.4690265486725664,0.8850574712643678,0.4017595307917889,20.5,1.1,3.2,0.2,14.8,0.22,3.0,2.4,18.7,1.4,0.431,8.6,0.595,11.1,26.3,2.0,0.145
1224,2023,barneha02,Harrison Barnes,SACRAMENTO KINGS,30,0.9861111111111112,32.816901408450704,14.985915492957746,1.591549295774648,9.661971830985916,5.0,4.422535211267606,0.14084507042253522,3.704225352112676,1.0,4.549295774647887,4.23943661971831,1.647887323943662,0.971830985915493,1.3380281690140845,0.676056338028169,1.0845070422535212,0.47084548104956264,0.847887323943662,0.37261146496815284,6.4,0.4,-1.0,-1.5,12.8,0.517,0.4,3.4,13.9,1.0,0.458,8.2,0.632,8.4,16.9,0.6,0.114
1225,2023,barnesc01,Scottie Barnes,TORONTO RAPTORS,21,0.9452054794520548,34.91304347826087,15.492753623188406,4.72463768115942,13.27536231884058,3.3333333333333335,2.971014492753623,0.8115942028985508,4.463768115942029,0.9855072463768116,6.0144927536231885,2.579710144927536,0.8840579710144928,2.391304347826087,2.2318840579710146,0.9855072463768116,2.028985507246377,0.45305676855895194,0.7739130434782608,0.29756097560975614,19.6,2.2,0.3,-0.3,15.7,0.251,0.6,7.2,15.5,1.4,0.224,11.1,0.525,12.1,20.5,1.4,0.087
