,season,slug,name,team,age,%games_played,minutes_played,points,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,steals,turnovers,field_goal%,free_throw%,3pt,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,free_throw_attempt_rate,is_combined_totals,offensive_box_plus_minus,offensive_rebound_percentage,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares_per_48_minutes,is_mvp
0,2010,aldrila01,LaMarcus Aldridge,PORTLAND TRAIL BLAZERS,24,0.9512195121951219,37.46153846153846,17.858974358974358,2.051282051282051,14.987179487179487,3.8974358974358974,0.20512820512820512,0.6153846153846154,5.576923076923077,1.0,7.423076923076923,2.948717948717949,0.0641025641025641,2.4615384615384617,2.9615384615384617,0.8589743589743589,1.3333333333333333,0.49529512403763903,0.7565789473684211,0.3125,9.9,1.3,1.2,-0.2,18.6,0.26,False,1.4,8.1,18.2,1.3,0.014,13.3,0.535,7.4,22.9,2.3,0.145,0
1,2010,allenra02,Ray Allen,BOSTON CELTICS,34,0.975609756097561,35.2375,16.3,2.625,12.1625,3.1625,4.9875,0.3125,2.6,1.0,5.8,2.8875,1.8125,0.5625,2.275,0.8,1.6125,0.47687564234326824,0.9130434782608696,0.3634085213032582,12.3,0.7,1.2,-0.3,8.8,0.26,False,1.5,2.0,15.2,1.2,0.41,5.5,0.601,10.6,20.2,2.3,0.135,0
2,2010,anthoca01,Carmelo Anthony,DENVER NUGGETS,25,0.8414634146341463,38.17391304347826,28.159420289855074,3.217391304347826,21.768115942028984,8.869565217391305,2.710144927536232,0.43478260869565216,4.3768115942028984,1.0,9.971014492753623,7.36231884057971,0.855072463768116,2.2028985507246377,3.260869565217391,1.2753623188405796,3.028985507246377,0.45805592543275636,0.8300653594771241,0.3155080213903743,15.9,0.9,2.3,-1.2,13.1,0.407,False,3.5,6.7,22.2,1.7,0.125,9.9,0.548,10.6,33.4,2.9,0.145,0
3,2010,arenagi01,Gilbert Arenas,WASHINGTON WIZARDS,28,0.3902439024390244,36.53125,22.5625,7.1875,19.25,6.46875,5.65625,0.28125,3.625,1.0,7.90625,4.78125,1.96875,0.53125,2.96875,1.28125,3.65625,0.4107142857142857,0.7391304347826086,0.34806629834254144,36.3,0.6,1.7,-1.2,11.6,0.336,False,2.9,1.6,18.7,1.8,0.294,6.5,0.511,14.2,31.9,1.1,0.072,0
4,2010,arizatr01,Trevor Ariza,HOUSTON ROCKETS,24,0.8780487804878049,36.513888888888886,14.88888888888889,3.8333333333333335,13.875,3.1666666666666665,5.652777777777778,0.5555555555555556,4.513888888888889,0.9861111111111112,5.472222222222222,2.0555555555555554,1.8888888888888888,1.0833333333333333,2.25,1.75,2.236111111111111,0.3943943943943944,0.6491228070175439,0.33415233415233414,16.7,1.1,0.5,0.9,14.7,0.228,False,-0.4,3.3,13.3,2.4,0.407,8.8,0.488,12.8,21.2,1.7,0.058,0
5,2010,artesro01,Metta World Peace,LOS ANGELES LAKERS,30,0.9390243902439024,33.83116883116883,10.974025974025974,3.038961038961039,9.61038961038961,2.4155844155844157,3.844155844155844,0.2727272727272727,3.012987012987013,1.0,3.9740259740259742,1.6623376623376624,1.3636363636363635,1.2857142857142858,2.142857142857143,1.3766233766233766,1.5714285714285714,0.4135135135135135,0.6881720430107527,0.3547297297297297,13.3,0.6,0.5,1.1,9.9,0.251,False,-0.6,4.3,12.1,2.1,0.4,7.1,0.514,12.8,16.2,1.6,0.098,0
6,2010,bargnan01,Andrea Bargnani,TORONTO RAPTORS,24,0.975609756097561,34.9875,17.2,1.1625,14.2875,2.925,4.0625,1.3875,4.85,1.0,6.7125,2.2625,1.5125,1.3125,2.6875,0.3125,1.5,0.4698162729658793,0.7735042735042736,0.3723076923076923,5.4,3.0,-0.8,-1.7,15.9,0.205,False,0.9,4.6,15.5,0.5,0.284,10.4,0.552,8.8,22.3,0.9,0.072,0
7,2010,barroea01,Earl Barron,NEW YORK KNICKS,28,0.08536585365853659,33.142857142857146,11.714285714285714,1.1428571428571428,9.714285714285714,4.142857142857143,0.0,0.5714285714285714,6.571428571428571,0.8571428571428571,4.285714285714286,3.142857142857143,0.0,4.428571428571429,3.4285714285714284,0.5714285714285714,1.5714285714285714,0.44117647058823534,0.7586206896551724,,5.2,1.3,-4.5,-2.9,22.9,0.426,False,-1.5,14.9,14.7,0.9,0.0,18.9,0.508,12.0,17.9,-0.1,0.091,0
8,2010,battish01,Shane Battier,HOUSTON ROCKETS,31,0.8170731707317073,32.35820895522388,7.970149253731344,2.4477611940298507,6.6716417910447765,1.5820895522388059,4.164179104477612,1.1343283582089552,3.5522388059701493,0.9253731343283582,2.656716417910448,1.1492537313432836,1.507462686567164,1.1044776119402986,2.074626865671642,0.7910447761194029,0.9552238805970149,0.3982102908277405,0.7264150943396227,0.36200716845878134,10.9,2.6,1.5,1.4,13.1,0.237,False,0.1,3.8,11.1,1.2,0.624,8.2,0.541,11.5,11.4,1.9,0.095,0
9,2010,bellra01,Raja Bell,CHARLOTTE BOBCATS,33,0.06097560975609756,31.4,12.0,2.0,11.0,0.6,4.8,0.4,3.2,1.0,4.8,0.6,1.8,1.0,2.6,0.8,1.0,0.43636363636363634,1.0,0.375,11.3,1.0,2.5,2.0,12.1,0.055,False,0.5,3.9,12.8,1.4,0.436,8.1,0.533,8.2,18.2,0.2,0.113,0
10,2010,billuch01,Chauncey Billups,DENVER NUGGETS,33,0.8902439024390244,34.10958904109589,19.54794520547945,5.602739726027397,13.178082191780822,7.013698630136986,5.575342465753424,0.1232876712328767,2.780821917808219,1.0,5.506849315068493,6.383561643835616,2.1506849315068495,0.3424657534246575,2.095890410958904,1.1232876712328768,2.4246575342465753,0.41787941787941785,0.91015625,0.3857493857493858,26.1,0.3,3.7,-0.8,9.3,0.532,False,4.5,1.2,20.2,1.7,0.423,5.3,0.601,13.0,24.3,3.6,0.182,0
11,2010,bogutan01,Andrew Bogut,MILWAUKEE BUCKS,25,0.8414634146341463,32.30434782608695,15.869565217391305,1.8405797101449275,13.18840579710145,3.4347826086956523,0.028985507246376812,2.536231884057971,7.144927536231884,1.0,6.855072463768116,2.1594202898550723,0.0,3.0144927536231885,3.217391304347826,0.5652173913043478,1.8985507246376812,0.5197802197802198,0.6286919831223627,0.0,10.3,6.2,3.1,2.2,26.4,0.26,False,0.8,10.1,20.7,0.9,0.002,17.9,0.54,11.4,23.3,2.8,0.161,0
12,2010,boozeca01,Carlos Boozer,UTAH JAZZ,28,0.9512195121951219,34.26923076923077,19.474358974358974,3.1666666666666665,14.076923076923077,4.923076923076923,0.0,0.46153846153846156,8.884615384615385,1.0,7.910256410256411,3.6538461538461537,0.0,2.3205128205128207,3.4615384615384617,1.0769230769230769,2.717948717948718,0.5619307832422586,0.7421874999999999,,15.8,1.1,3.4,1.1,29.9,0.35,False,2.4,8.2,21.3,1.6,0.0,19.4,0.599,14.3,24.8,3.7,0.178,0
13,2010,boshch01,Chris Bosh,TORONTO RAPTORS,25,0.8536585365853658,36.08571428571429,23.97142857142857,2.3714285714285714,16.542857142857144,8.428571428571429,0.3142857142857143,0.9714285714285714,7.914285714285715,1.0,8.571428571428571,6.714285714285714,0.11428571428571428,2.9285714285714284,2.4285714285714284,0.6142857142857143,2.414285714285714,0.5181347150259067,0.7966101694915254,0.36363636363636365,11.5,2.1,3.6,-1.2,25.2,0.509,False,4.8,9.9,25.0,0.9,0.019,17.7,0.592,10.7,28.7,3.6,0.182,0
14,2010,brandel01,Elton Brand,PHILADELPHIA 76ERS,30,0.926829268292683,30.223684210526315,13.105263157894736,1.4342105263157894,11.289473684210526,3.0657894736842106,0.013157894736842105,1.0526315789473684,3.710526315789474,0.75,5.421052631578948,2.263157894736842,0.0,2.3552631578947367,3.0526315789473686,1.0789473684210527,1.7236842105263157,0.48018648018648025,0.7381974248927038,0.0,7.9,2.7,-1.8,-0.7,14.7,0.272,False,-1.1,9.0,15.7,1.9,0.001,11.8,0.518,12.0,21.7,0.1,0.073,0
15,2010,breweco01,Corey Brewer,MINNESOTA TIMBERWOLVES,23,1.0,30.26829268292683,13.0,2.3536585365853657,11.573170731707316,3.1219512195121952,2.8902439024390243,0.35365853658536583,2.548780487804878,1.0,4.987804878048781,2.024390243902439,1.0,0.8536585365853658,2.731707317073171,1.4268292682926829,2.0,0.43097997892518447,0.6484375,0.3459915611814346,12.5,0.9,-2.2,-0.1,9.6,0.27,False,-2.1,3.1,12.1,2.4,0.25,6.3,0.502,13.4,21.5,-0.1,0.02,0
16,2010,brewero02,Ronnie Brewer,UTAH JAZZ,24,0.6463414634146342,31.358490566037737,9.452830188679245,2.849056603773585,7.849056603773585,2.4150943396226414,0.5849056603773585,0.2830188679245283,2.5660377358490565,1.0,3.8867924528301887,1.528301886792453,0.1509433962264151,0.8301886792452831,1.509433962264151,1.6037735849056605,0.9622641509433962,0.4951923076923077,0.6328125000000001,0.25806451612903225,13.1,0.7,1.3,1.9,9.4,0.308,False,-0.6,3.2,12.8,2.6,0.075,6.4,0.53,9.7,14.1,1.4,0.108,0
17,2010,brookaa01,Aaron Brooks,HOUSTON ROCKETS,25,1.0,35.59756097560975,19.5609756097561,5.2926829268292686,16.23170731707317,3.6341463414634148,6.402439024390244,0.17073170731707318,1.9634146341463414,1.0,7.012195121951219,2.9878048780487805,2.548780487804878,0.6585365853658537,2.426829268292683,0.8414634146341463,2.8292682926829267,0.4320060105184072,0.8221476510067114,0.3980952380952381,25.6,0.3,0.7,-1.6,6.6,0.224,False,2.3,2.0,16.0,1.2,0.394,4.2,0.549,13.7,25.7,1.9,0.091,0
18,2010,bryanko01,Kobe Bryant,LOS ANGELES LAKERS,31,0.8902439024390244,38.83561643835616,26.986301369863014,5.0,21.493150684931507,7.410958904109589,4.123287671232877,0.273972602739726,4.287671232876712,1.0,9.808219178082192,6.013698630136986,1.356164383561644,1.0684931506849316,2.5616438356164384,1.547945205479452,3.191780821917808,0.45634161886551944,0.8114602587800369,0.3289036544850499,23.8,0.5,4.1,0.2,12.2,0.345,False,3.9,3.1,21.9,2.1,0.192,7.7,0.545,11.4,32.3,4.4,0.16,0
19,2010,butlera01,Rasual Butler,LOS ANGELES CLIPPERS,30,1.0,32.951219512195124,11.939024390243903,1.4146341463414633,10.609756097560975,1.7682926829268293,5.2682926829268295,0.8292682926829268,2.451219512195122,0.7804878048780488,4.341463414634147,1.4878048780487805,1.7682926829268293,0.47560975609756095,1.475609756097561,0.43902439024390244,0.9634146341463414,0.4091954022988506,0.8413793103448276,0.33564814814814814,6.8,1.9,-1.9,-1.1,8.7,0.167,False,-0.8,1.7,10.7,0.7,0.497,5.1,0.524,7.8,17.0,0.1,0.048,0
