,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
239,James Harden,2867,78,2818,HOUSTON ROCKETS,29,586,1909,858,1028,58,452,78,843,754,378,66,244,['POINT GUARD'],hardeja01,158,387
214,Paul George,2841,77,2159,OKLAHOMA CITY THUNDER,28,318,1614,540,757,34,523,77,707,453,292,105,214,['SMALL FORWARD'],georgpa01,170,205
584,Kemba Walker,2863,82,2102,CHARLOTTE HORNETS,28,484,1684,450,731,34,309,82,731,380,260,52,131,['POINT GUARD'],walkeke02,102,211
43,Bradley Beal,3028,82,2099,WASHINGTON WIZARDS,25,448,1609,448,596,58,322,82,764,362,209,89,226,['SHOOTING GUARD'],bealbr01,121,224
354,Damian Lillard,2838,80,2067,PORTLAND TRAIL BLAZERS,28,551,1533,513,643,34,303,80,681,468,237,68,148,['POINT GUARD'],lillada01,88,212
171,Kevin Durant,2702,78,2027,GOLDEN STATE WARRIORS,30,457,1383,506,388,84,464,78,721,448,137,33,155,['SMALL FORWARD'],duranke01,58,225
18,Giannis Antetokounmpo,2358,72,1994,MILWAUKEE BUCKS,24,424,1247,686,203,110,739,72,721,500,52,159,232,['POWER FORWARD'],antetgi01,92,268
142,Stephen Curry,2331,69,1881,GOLDEN STATE WARRIORS,30,361,1340,287,810,25,324,69,632,263,354,45,166,['POINT GUARD'],curryst01,92,192
567,Karl-Anthony Towns,2545,77,1880,MINNESOTA TIMBERWOLVES,23,259,1314,450,355,125,691,77,681,376,142,263,292,['CENTER'],townska01,67,240
234,Blake Griffin,2622,75,1841,DETROIT PISTONS,29,402,1341,550,522,28,465,75,619,414,189,100,199,['POWER FORWARD'],griffbl01,52,253
413,Donovan Mitchell,2598,77,1829,UTAH JAZZ,22,322,1530,396,519,31,257,77,661,319,188,59,208,['SHOOTING GUARD'],mitchdo01,106,218
178,Joel Embiid,2154,64,1761,PHILADELPHIA 76ERS,24,234,1199,649,263,122,711,64,580,522,79,160,211,['CENTER'],embiijo01,46,226
