,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
131,Kevin Durant,2546,66,1850,OKLAHOMA CITY THUNDER,23,231,1297,501,344,77,487,66,643,431,133,40,133,['SMALL FORWARD'],duranke01,88,248
251,LeBron James,2326,62,1683,MIAMI HEAT,27,387,1169,502,149,50,398,62,621,387,54,94,96,['SMALL FORWARD'],jamesle01,115,213
68,Kobe Bryant,2232,58,1616,LOS ANGELES LAKERS,33,264,1336,451,287,18,247,58,574,381,87,66,105,['SHOOTING GUARD'],bryanko01,69,204
487,Russell Westbrook,2331,66,1558,OKLAHOMA CITY THUNDER,23,362,1266,413,196,21,205,66,578,340,62,96,147,['POINT GUARD'],westbru01,112,239
304,Kevin Love,2145,55,1432,MINNESOTA TIMBERWOLVES,23,111,1059,460,282,28,508,55,474,379,105,226,152,['POWER FORWARD'],loveke01,47,128
194,Blake Griffin,2392,66,1368,LOS ANGELES CLIPPERS,22,210,1022,468,16,48,499,66,561,244,2,218,216,['POWER FORWARD'],griffbl01,54,150
355,Dirk Nowitzki,2079,62,1342,DALLAS MAVERICKS,33,136,1034,355,212,30,372,62,473,318,78,46,129,['POWER FORWARD'],nowitdi01,42,117
259,Brandon Jennings,2331,66,1260,MILWAUKEE BUCKS,22,365,1121,239,388,22,177,66,469,193,129,49,114,['POINT GUARD'],jennibr01,104,146
16,Carmelo Anthony,1876,55,1245,NEW YORK KNICKS,27,200,1025,367,203,24,256,55,441,295,68,88,156,['SMALL FORWARD'],anthoca01,62,144
424,Josh Smith,2329,66,1239,ATLANTA HAWKS,26,257,1101,322,109,115,496,66,504,203,28,136,172,['POWER FORWARD'],smithjo03,93,164
174,Rudy Gay,2422,65,1232,MEMPHIS GRIZZLIES,25,147,1067,263,173,55,287,65,485,208,54,130,138,['SMALL FORWARD'],gayru01,95,161
5,LaMarcus Aldridge,1994,55,1191,PORTLAND TRAIL BLAZERS,26,134,943,274,11,45,292,55,483,223,2,150,153,['POWER FORWARD'],aldrila01,51,111
370,Chris Paul,2181,60,1189,LOS ANGELES CLIPPERS,26,543,890,302,213,4,171,60,425,260,79,42,138,['POINT GUARD'],paulch01,152,124
375,Paul Pierce,2075,61,1181,BOSTON CELTICS,34,274,890,344,273,26,280,61,394,293,100,37,147,['SMALL FORWARD'],piercpa01,70,173
254,Al Jefferson,2075,61,1170,UTAH JAZZ,27,134,1048,177,4,101,452,61,516,137,1,133,155,['CENTER'],jeffeal01,47,62
100,DeMarcus Cousins,1950,64,1160,SACRAMENTO KINGS,21,102,999,373,14,75,438,62,448,262,2,265,257,['CENTER'],couside01,93,170
188,Danny Granger,2062,62,1159,INDIANA PACERS,28,109,941,291,323,40,228,62,391,254,123,79,144,['SMALL FORWARD'],grangda01,62,110
492,Deron Williams,1999,55,1154,NEW JERSEY NETS,27,481,961,305,342,20,160,55,391,257,115,23,121,['POINT GUARD'],willide01,67,219
293,David Lee,2121,57,1147,GOLDEN STATE WARRIORS,28,162,922,280,5,22,374,57,464,219,0,171,179,['POWER FORWARD'],leeda02,54,149
173,Pau Gasol,2430,65,1129,LOS ANGELES LAKERS,31,237,917,261,27,88,495,65,459,204,7,183,127,['POWER FORWARD'],gasolpa01,37,142
271,Joe Johnson,2127,60,1129,ATLANTA HAWKS,30,232,931,186,322,13,168,60,423,158,125,53,75,['SHOOTING GUARD'],johnsjo02,48,116
75,Andrew Bynum,2112,60,1123,LOS ANGELES LAKERS,24,85,796,338,5,116,517,60,444,234,1,192,104,['CENTER'],bynuman01,27,152
253,Antawn Jamison,2151,65,1118,CLEVELAND CAVALIERS,35,131,1044,271,267,43,285,65,421,185,91,123,164,['POWER FORWARD'],jamisan01,51,90
234,Dwight Howard,2070,54,1113,ORLANDO MAGIC,26,104,726,572,7,116,585,54,416,281,0,200,159,['CENTER'],howardw01,81,175
367,Tony Parker,1923,60,1095,SAN ANTONIO SPURS,29,463,890,284,61,5,149,60,427,227,14,22,75,['POINT GUARD'],parketo01,57,153
470,Dwyane Wade,1625,49,1082,MIAMI HEAT,30,225,837,297,56,63,164,49,416,235,15,73,110,['SHOOTING GUARD'],wadedw01,82,129
474,John Wall,2386,66,1076,WASHINGTON WIZARDS,21,530,894,402,42,57,252,66,378,317,3,48,137,['POINT GUARD'],walljo01,95,255
334,Paul Millsap,2100,64,1061,UTAH JAZZ,26,150,861,255,31,52,383,62,426,202,7,180,222,['POWER FORWARD'],millspa01,118,112
119,DeMar DeRozan,2206,63,1054,TORONTO RAPTORS,22,128,903,331,92,17,171,63,381,268,24,40,162,['SHOOTING GUARD'],derozde01,48,123
200,James Harden,1946,62,1044,OKLAHOMA CITY THUNDER,22,229,629,369,292,15,222,2,309,312,114,30,150,['SHOOTING GUARD'],hardeja01,62,137
143,Tyreke Evans,2162,63,1037,SACRAMENTO KINGS,22,283,900,258,99,29,225,61,408,201,20,64,136,['SHOOTING GUARD'],evansty01,84,171
402,Luis Scola,2067,66,1025,HOUSTON ROCKETS,31,140,888,198,3,24,306,66,436,153,0,122,214,['POWER FORWARD'],scolalu01,35,153
56,Chris Bosh,2007,57,1025,MIAMI HEAT,27,103,807,279,35,45,358,57,393,229,10,94,128,['POWER FORWARD'],boshch01,51,117
186,Marcin Gortat,2114,66,1017,PHOENIX SUNS,27,59,769,251,2,99,474,66,427,163,0,185,142,['CENTER'],gortama01,48,90
336,Greg Monroe,2082,66,1015,DETROIT PISTONS,21,152,781,272,1,46,398,66,407,201,0,239,180,['CENTER'],monrogr01,83,161
291,Ty Lawson,2124,61,999,DENVER NUGGETS,24,401,767,216,200,6,173,61,374,178,73,54,94,['POINT GUARD'],lawsoty01,82,149
15,Ryan Anderson,1964,61,980,ORLANDO MAGIC,23,54,757,171,422,26,247,61,332,150,166,224,146,['POWER FORWARD'],anderry01,50,57
172,Marc Gasol,2370,65,952,MEMPHIS GRIZZLIES,27,204,740,317,12,121,459,65,357,237,1,120,201,['CENTER'],gasolma01,62,121
451,Marcus Thornton,1780,51,952,SACRAMENTO KINGS,24,98,803,163,310,12,104,51,352,141,107,84,111,['SHOOTING GUARD'],thornma01,71,84
438,Jason Terry,2000,63,950,DALLAS MAVERICKS,34,226,830,111,365,11,133,1,357,98,138,16,69,['SHOOTING GUARD'],terryja01,73,127
171,Kevin Garnett,1864,60,947,BOSTON CELTICS,35,175,777,189,9,61,428,60,391,162,3,66,141,['CENTER'],garneke01,56,107
244,Kyrie Irving,1558,51,944,CLEVELAND CAVALIERS,19,275,747,196,183,20,147,51,350,171,73,44,110,['POINT GUARD'],irvinky01,54,160
1,Arron Afflalo,2086,62,943,DENVER NUGGETS,26,149,699,247,221,13,157,62,329,197,88,40,134,['SHOOTING GUARD'],afflaar01,36,85
317,Wesley Matthews,2228,66,904,PORTLAND TRAIL BLAZERS,25,113,763,171,337,15,168,53,314,147,129,56,148,['SHOOTING GUARD'],matthwe02,96,73
228,Jrue Holiday,2196,65,879,PHILADELPHIA 76ERS,21,290,834,120,171,18,155,65,360,94,65,57,137,['POINT GUARD'],holidjr01,103,135
240,Kris Humphries,2162,62,855,NEW JERSEY NETS,26,90,671,278,0,74,448,62,323,209,0,233,173,['POWER FORWARD'],humphkr01,50,119
394,Derrick Rose,1375,39,852,CHICAGO BULLS,23,307,695,239,173,28,105,39,302,194,54,26,52,['POINT GUARD'],rosede01,35,119
287,Brandon Knight,2129,66,847,DETROIT PISTONS,20,251,769,137,276,10,178,60,319,104,105,33,154,['POINT GUARD'],knighbr03,49,171
436,Jeff Teague,2183,66,831,ATLANTA HAWKS,23,321,672,185,149,37,138,66,320,140,51,21,145,['POINT GUARD'],teaguje01,106,134
214,Gerald Henderson,1831,55,830,CHARLOTTE BOBCATS,24,126,723,204,47,20,161,55,332,155,11,64,128,['SHOOTING GUARD'],hendege02,49,100
116,Luol Deng,2129,54,828,CHICAGO BULLS,26,157,755,165,215,36,273,54,311,127,79,77,81,['SMALL FORWARD'],denglu01,56,96
433,Amar'e Stoudemire,1543,47,823,NEW YORK KNICKS,29,52,654,243,21,45,261,47,316,186,5,106,138,['POWER FORWARD'],stoudam01,38,112
127,Jared Dudley,2020,65,823,PHOENIX SUNS,26,112,643,164,209,19,206,60,312,119,80,95,107,['SHOOTING GUARD'],dudleja01,49,72
36,Nicolas Batum,1791,59,818,PORTLAND TRAIL BLAZERS,23,84,641,159,274,60,190,34,289,133,107,81,105,['SMALL FORWARD'],batumni01,57,90
135,Monta Ellis,1365,37,811,GOLDEN STATE WARRIORS,26,223,704,186,156,12,111,37,305,151,50,16,84,['SHOOTING GUARD'],ellismo01,56,123
381,Tayshaun Prince,2087,63,798,DETROIT PISTONS,31,153,798,115,104,32,209,63,336,89,37,72,77,['SMALL FORWARD'],princta01,27,74
96,Mike Conley,2174,62,788,MEMPHIS GRIZZLIES,24,404,684,158,159,11,134,61,296,136,60,22,133,['POINT GUARD'],conlemi01,136,125
211,Gordon Hayward,2015,66,782,UTAH JAZZ,21,207,586,232,159,41,171,58,267,193,55,59,106,['SMALL FORWARD'],haywago01,53,109
349,Steve Nash,1961,62,772,PHOENIX SUNS,37,664,555,142,141,8,160,62,295,127,55,26,53,['POINT GUARD'],nashst01,38,229
242,Andre Iguodala,2209,62,771,PHILADELPHIA 76ERS,28,339,632,196,193,30,325,62,287,121,76,56,92,['SMALL FORWARD'],iguodan01,107,115
33,Brandon Bass,1868,59,738,BOSTON CELTICS,26,55,632,163,0,54,270,39,303,132,0,95,135,['POWER FORWARD'],bassbr01,34,65
246,Jarrett Jack,1530,45,700,NEW ORLEANS HORNETS,28,285,583,148,112,9,153,39,266,129,39,23,93,['POINT GUARD'],jackja01,31,106
88,Tyson Chandler,2061,62,699,NEW YORK KNICKS,29,56,355,315,2,89,400,62,241,217,0,212,186,['CENTER'],chandty01,56,102
149,Raymond Felton,1906,60,684,PORTLAND TRAIL BLAZERS,27,390,642,124,203,10,122,56,261,100,62,27,122,['POINT GUARD'],feltora01,78,170
315,Kevin Martin,1264,40,682,HOUSTON ROCKETS,28,110,537,179,225,3,93,40,222,160,78,13,70,['SHOOTING GUARD'],martike02,28,70
305,Kyle Lowry,1510,47,670,HOUSTON ROCKETS,25,310,513,198,211,14,176,38,210,171,79,37,133,['POINT GUARD'],lowryky01,73,130
312,Shawn Marion,1919,63,670,DALLAS MAVERICKS,33,132,646,93,68,36,320,63,288,74,20,145,87,['SMALL FORWARD'],mariosh01,67,98
510,Nick Young,1211,40,665,WASHINGTON WIZARDS,26,46,591,130,197,11,77,32,240,112,73,20,90,['SHOOTING GUARD'],youngni01,30,59
292,Courtney Lee,1757,58,660,HOUSTON ROCKETS,26,88,580,86,217,22,133,26,251,71,87,26,106,['SHOOTING GUARD'],leeco01,68,64
7,Ray Allen,1565,46,655,BOSTON CELTICS,36,109,493,106,234,8,128,42,226,97,106,14,83,['SHOOTING GUARD'],allenra02,49,68
352,Joakim Noah,1945,64,652,CHICAGO BULLS,26,160,490,206,1,92,387,64,249,154,0,242,162,['CENTER'],noahjo01,41,92
391,Luke Ridnour,1750,53,639,MINNESOTA TIMBERWOLVES,30,252,550,119,152,16,122,53,242,106,49,19,136,['SHOOTING GUARD'],ridnolu01,56,96
393,Rajon Rondo,1957,53,630,BOSTON CELTICS,25,620,572,181,42,3,195,53,256,108,10,62,99,['POINT GUARD'],rondora01,95,193
169,Danilo Gallinari,1351,43,628,DENVER NUGGETS,23,116,466,209,183,23,174,40,193,182,60,28,86,['SMALL FORWARD'],gallida01,42,68
94,Darren Collison,1878,60,621,INDIANA PACERS,24,287,523,153,94,14,157,56,230,127,34,30,101,['POINT GUARD'],collida01,49,114
30,Andrea Bargnani,1032,31,603,TORONTO RAPTORS,26,61,484,173,115,15,148,31,209,151,34,24,52,['CENTER'],bargnan01,18,69
456,Hedo Türkoğlu,1653,53,576,ORLANDO MAGIC,32,233,504,95,258,17,175,53,209,67,91,24,139,['SMALL FORWARD'],turkohe01,45,142
476,Gerald Wallace,1503,42,557,PORTLAND TRAIL BLAZERS,29,115,430,161,98,25,214,42,203,125,26,63,107,['SMALL FORWARD'],wallage01,62,84
77,José Calderón,1799,53,555,TORONTO RAPTORS,30,468,477,68,159,3,141,53,218,60,59,19,94,['POINT GUARD'],caldejo01,47,104
19,Trevor Ariza,1350,41,444,NEW ORLEANS HORNETS,26,135,403,102,87,25,174,41,168,79,29,41,73,['SMALL FORWARD'],arizatr01,69,76
395,Ricky Rubio,1404,41,436,MINNESOTA TIMBERWOLVES,21,336,389,157,94,8,150,31,139,126,32,21,97,['POINT GUARD'],rubiori01,91,131
136,Monta Ellis,755,21,370,MILWAUKEE BUCKS,26,123,336,89,45,6,69,21,145,68,12,4,52,['SHOOTING GUARD'],ellismo01,29,54
45,Chauncey Billups,607,20,299,LOS ANGELES CLIPPERS,35,80,228,95,125,3,46,20,83,85,48,4,40,['SHOOTING GUARD'],billuch01,9,38
407,Ramon Sessions,701,23,291,LOS ANGELES LAKERS,25,142,211,101,35,2,73,19,101,72,17,14,37,['POINT GUARD'],sessira01,17,59
218,J.J. Hickson,600,19,287,PORTLAND TRAIL BLAZERS,23,23,219,76,1,18,92,10,119,49,0,66,41,['POWER FORWARD'],hicksjj01,12,31
465,Anderson Varejão,785,25,271,CLEVELAND CAVALIERS,29,43,222,64,4,17,178,25,114,43,0,109,62,['CENTER'],varejan01,35,45
477,Gerald Wallace,573,16,243,NEW JERSEY NETS,29,49,202,64,52,11,85,16,84,55,20,24,38,['SMALL FORWARD'],wallage01,23,27
185,Eric Gordon,310,9,185,NEW ORLEANS HORNETS,23,31,140,65,40,4,23,9,63,49,10,2,20,['SHOOTING GUARD'],gordoer01,13,24
232,Al Horford,348,11,136,ATLANTA HAWKS,25,24,103,30,1,14,51,11,57,22,0,26,21,['CENTER'],horfoal01,10,16
52,Andrew Bogut,364,12,136,MILWAUKEE BUCKS,27,31,136,23,1,24,78,12,61,14,0,22,36,['CENTER'],bogutan01,12,24
