,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
160,Kevin Durant,3122,81,2593,OKLAHOMA CITY THUNDER,25,445,1688,805,491,59,540,81,849,703,192,58,174,['SMALL FORWARD'],duranke01,103,285
21,Carmelo Anthony,2982,77,2112,NEW YORK KNICKS,29,242,1643,541,415,51,477,77,743,459,167,145,224,['POWER FORWARD'],anthoca01,95,198
262,LeBron James,2902,77,2089,MIAMI HEAT,29,488,1353,585,306,26,452,77,767,439,116,81,126,['POWER FORWARD'],jamesle01,121,270
316,Kevin Love,2797,77,2010,MINNESOTA TIMBERWOLVES,25,341,1421,633,505,35,739,77,650,520,190,224,136,['POWER FORWARD'],loveke01,59,196
212,Blake Griffin,2863,80,1930,LOS ANGELES CLIPPERS,24,309,1359,674,44,51,565,80,718,482,12,192,265,['POWER FORWARD'],griffbl01,92,224
130,Stephen Curry,2846,78,1873,GOLDEN STATE WARRIORS,25,666,1383,348,615,14,288,78,652,308,261,46,194,['POINT GUARD'],curryst01,128,294
220,James Harden,2777,73,1851,HOUSTON ROCKETS,24,446,1205,665,483,29,283,73,549,576,177,61,177,['SHOOTING GUARD'],hardeja01,115,265
149,DeMar DeRozan,3017,79,1791,TORONTO RAPTORS,24,313,1407,630,210,28,292,79,604,519,64,51,197,['SHOOTING GUARD'],derozde01,86,176
193,Paul George,2898,80,1737,INDIANA PACERS,23,283,1362,464,500,22,478,80,577,401,182,64,198,['SMALL FORWARD'],georgpa01,151,224
380,Dirk Nowitzki,2628,80,1735,DALLAS MAVERICKS,35,216,1273,376,329,45,458,80,633,338,131,40,165,['POWER FORWARD'],nowitdi01,73,117
311,Damian Lillard,2937,82,1695,PORTLAND TRAIL BLAZERS,23,457,1304,426,554,22,253,82,553,371,218,35,197,['POINT GUARD'],lillada01,64,193
118,DeMarcus Cousins,2298,71,1614,SACRAMENTO KINGS,23,207,1191,595,7,91,613,71,591,432,0,218,270,['CENTER'],couside01,109,251
8,LaMarcus Aldridge,2498,69,1603,PORTLAND TRAIL BLAZERS,28,178,1423,360,15,68,599,69,652,296,3,166,147,['POWER FORWARD'],aldrila01,63,123
267,Al Jefferson,2553,73,1594,CHARLOTTE BOBCATS,29,155,1376,277,15,79,636,73,700,191,3,156,176,['CENTER'],jeffeal01,67,124
517,John Wall,2980,82,1583,WASHINGTON WIZARDS,23,721,1337,394,308,40,295,82,579,317,108,38,219,['POINT GUARD'],walljo01,149,295
163,Monta Ellis,3023,82,1560,DALLAS MAVERICKS,28,471,1278,430,209,23,257,82,576,339,69,38,197,['SHOOTING GUARD'],ellismo01,141,264
155,Goran Dragić,2668,76,1542,PHOENIX SUNS,27,447,1093,416,299,22,176,75,552,316,122,69,206,['SHOOTING GUARD'],dragigo01,104,213
488,Klay Thompson,2868,81,1488,GOLDEN STATE WARRIORS,23,181,1259,185,535,37,211,81,559,147,223,38,234,['SHOOTING GUARD'],thompkl01,74,135
255,Kyrie Irving,2496,71,1478,CLEVELAND CAVALIERS,21,433,1237,338,344,23,207,71,532,291,123,52,163,['POINT GUARD'],irvinky01,108,190
482,Isaiah Thomas,2497,72,1465,SACRAMENTO KINGS,24,454,1096,407,364,8,163,54,496,346,127,47,185,['POINT GUARD'],thomais02,93,213
545,Thaddeus Young,2718,79,1417,PHILADELPHIA 76ERS,25,182,1283,229,292,36,310,78,582,163,90,166,213,['POWER FORWARD'],youngth01,167,165
317,Kyle Lowry,2862,79,1417,TORONTO RAPTORS,27,586,1080,385,500,15,281,79,457,313,190,88,267,['POINT GUARD'],lowryky01,121,194
135,Anthony Davis,2358,67,1394,NEW ORLEANS PELICANS,20,105,1005,440,9,189,466,66,522,348,2,207,200,['POWER FORWARD'],davisan02,89,109
210,Jeff Green,2805,82,1382,BOSTON CELTICS,27,138,1171,356,396,47,326,82,482,283,135,54,180,['SMALL FORWARD'],greenje02,57,165
416,Zach Randolph,2705,79,1372,MEMPHIS GRIZZLIES,32,200,1198,337,20,23,530,79,560,250,2,265,210,['POWER FORWARD'],randoza01,54,183
328,Wesley Matthews,2780,82,1343,PORTLAND TRAIL BLAZERS,27,197,1009,301,511,14,238,82,445,252,201,51,176,['SHOOTING GUARD'],matthwe02,76,110
5,Arron Afflalo,2552,73,1330,ORLANDO MAGIC,28,248,1011,336,300,3,230,73,464,274,128,32,136,['SHOOTING GUARD'],afflaar01,35,146
350,Paul Millsap,2482,74,1328,ATLANTA HAWKS,28,232,1047,391,212,78,473,73,483,286,76,154,210,['POWER FORWARD'],millspa01,129,185
473,Jeff Teague,2542,79,1304,ATLANTA HAWKS,25,528,1040,376,225,17,174,79,456,318,74,34,158,['POINT GUARD'],teaguje01,89,232
326,Kevin Martin,2177,68,1298,MINNESOTA TIMBERWOLVES,30,121,1023,340,297,6,169,68,440,303,115,34,123,['SHOOTING GUARD'],martike02,66,106
249,Dwight Howard,2396,71,1297,HOUSTON ROCKETS,28,131,800,638,7,128,635,71,473,349,2,231,240,['CENTER'],howardw01,60,229
291,Brandon Knight,2400,72,1291,MILWAUKEE BUCKS,22,352,1092,323,338,17,209,69,461,259,110,46,146,['POINT GUARD'],knighbr03,69,188
516,Kemba Walker,2614,73,1289,CHARLOTTE BOBCATS,23,447,1143,337,327,32,267,73,449,282,109,39,128,['POINT GUARD'],walkeke02,86,169
121,Jamal Crawford,2094,69,1282,LOS ANGELES CLIPPERS,33,223,1011,322,446,12,124,24,421,279,161,34,120,['SHOOTING GUARD'],crawfja01,59,135
68,Chris Bosh,2531,79,1281,MIAMI HEAT,29,87,953,272,218,78,424,79,492,223,74,98,192,['CENTER'],boshch01,80,125
458,Josh Smith,2730,77,1264,DETROIT PISTONS,28,252,1233,301,265,110,418,76,517,160,70,102,197,['SMALL FORWARD'],smithjo03,105,199
304,David Lee,2288,69,1257,GOLDEN STATE WARRIORS,30,147,981,296,1,26,461,67,513,231,0,182,206,['POWER FORWARD'],leeda02,48,152
116,Mike Conley,2446,73,1256,MEMPHIS GRIZZLIES,26,441,1030,276,291,13,172,73,463,225,105,41,141,['POINT GUARD'],conlemi01,110,150
354,Greg Monroe,2690,82,1249,DETROIT PISTONS,23,171,1015,367,1,47,504,82,504,241,0,256,205,['POWER FORWARD'],monrogr01,91,166
49,Bradley Beal,2530,73,1249,WASHINGTON WIZARDS,20,243,1149,189,343,18,219,73,481,149,138,54,153,['SHOOTING GUARD'],bealbr01,71,128
234,Gordon Hayward,2800,77,1248,UTAH JAZZ,23,400,1032,381,280,40,329,77,426,311,85,62,155,['SMALL FORWARD'],haywago01,110,212
275,Joe Johnson,2575,79,1245,BROOKLYN NETS,32,216,1018,195,404,10,222,79,462,159,162,48,129,['SHOOTING GUARD'],johnsjo02,47,120
270,Brandon Jennings,2728,80,1241,DETROIT PISTONS,24,609,1135,321,457,8,185,79,423,241,154,59,157,['POINT GUARD'],jennibr01,101,215
252,Serge Ibaka,2666,81,1227,OKLAHOMA CITY THUNDER,24,85,978,199,60,219,485,81,524,156,23,224,233,['POWER FORWARD'],ibakase01,39,123
395,Chandler Parsons,2783,74,1226,HOUSTON ROCKETS,25,298,987,221,351,29,340,74,466,164,130,69,168,['SMALL FORWARD'],parsoch01,88,144
340,Jodie Meeks,2556,77,1209,LOS ANGELES LAKERS,26,138,892,258,404,4,164,70,413,221,162,30,119,['SHOOTING GUARD'],meeksjo01,111,111
398,Chris Paul,2171,62,1185,LOS ANGELES CLIPPERS,28,663,870,345,212,4,230,62,406,295,78,38,157,['POINT GUARD'],paulch01,154,145
101,Michael Carter-Williams,2414,70,1167,PHILADELPHIA 76ERS,22,441,1054,367,208,43,336,70,427,258,55,101,213,['POINT GUARD'],cartemi01,130,247
524,David West,2472,80,1118,INDIANA PACERS,33,223,939,251,15,74,422,80,458,198,4,120,186,['POWER FORWARD'],westda01,61,133
25,Trevor Ariza,2723,77,1107,WASHINGTON WIZARDS,28,191,853,193,442,20,376,77,389,149,180,99,179,['SMALL FORWARD'],arizatr01,126,132
191,Rudy Gay,1892,55,1107,SACRAMENTO KINGS,27,169,844,299,138,33,220,55,407,250,43,84,124,['SMALL FORWARD'],gayru01,67,165
386,Victor Oladipo,2487,80,1106,ORLANDO MAGIC,21,327,936,318,226,37,286,44,392,248,74,43,210,['POINT GUARD'],oladivi01,129,256
156,Andre Drummond,2619,81,1095,DETROIT PISTONS,20,35,769,328,2,131,631,81,479,137,0,440,273,['CENTER'],drumman01,101,110
300,Ty Lawson,2222,62,1090,DENVER NUGGETS,26,543,806,406,202,10,175,61,347,324,72,40,113,['POINT GUARD'],lawsoty01,100,200
235,Gerald Henderson,2461,77,1081,CHARLOTTE BOBCATS,26,199,930,309,115,32,279,77,403,235,40,31,159,['SHOOTING GUARD'],hendege02,51,113
465,Lance Stephenson,2752,78,1080,INDIANA PACERS,23,359,870,197,244,7,463,78,427,140,86,95,195,['SHOOTING GUARD'],stephla01,54,210
456,J.R. Smith,2421,74,1071,NEW YORK KNICKS,28,219,955,138,480,20,261,37,396,90,189,35,196,['SMALL FORWARD'],smithjr01,65,108
43,Nicolas Batum,2956,82,1070,PORTLAND TRAIL BLAZERS,25,420,819,203,402,57,495,82,381,163,145,116,156,['SMALL FORWARD'],batumni01,75,208
178,Randy Foye,2485,81,1068,DENVER NUGGETS,30,287,875,185,498,39,196,78,361,157,189,36,205,['SHOOTING GUARD'],foyera01,67,145
202,Marcin Gortat,2655,81,1068,WASHINGTON WIZARDS,29,138,840,229,1,121,565,80,455,157,1,202,201,['CENTER'],gortama01,41,126
189,Pau Gasol,1884,60,1041,LOS ANGELES LAKERS,33,201,885,254,14,92,456,60,425,187,4,124,124,['CENTER'],gasolpa01,27,141
514,Dwyane Wade,1775,54,1028,MIAMI HEAT,32,252,761,258,32,29,181,53,415,189,9,60,106,['SHOOTING GUARD'],wadedw01,79,161
378,Joakim Noah,2820,80,1007,CHICAGO BULLS,28,431,800,335,2,121,618,80,380,247,0,282,245,['CENTER'],noahjo01,99,194
525,Russell Westbrook,1412,46,1002,OKLAHOMA CITY THUNDER,25,319,791,293,214,7,208,46,346,242,68,55,104,['POINT GUARD'],westbru01,88,177
71,Corey Brewer,2609,81,998,MINNESOTA TIMBERWOLVES,27,135,807,227,211,30,144,81,388,163,59,63,210,['SMALL FORWARD'],breweco01,151,105
342,Khris Middleton,2460,82,990,MILWAUKEE BUCKS,22,169,854,137,290,20,250,64,376,118,120,60,243,['SMALL FORWARD'],middlkh01,83,123
201,Eric Gordon,2057,64,988,NEW ORLEANS PELICANS,25,208,817,223,258,12,135,64,356,175,101,30,114,['SHOOTING GUARD'],gordoer01,74,134
172,Derrick Favors,2201,73,970,UTAH JAZZ,22,91,747,284,1,108,438,73,390,190,0,199,236,['POWER FORWARD'],favorde01,75,129
489,Tristan Thompson,2594,82,961,CLEVELAND CAVALIERS,22,72,761,339,1,35,485,82,363,235,0,269,188,['POWER FORWARD'],thomptr01,42,108
399,Nikola Peković,1663,54,944,MINNESOTA TIMBERWOLVES,28,50,701,249,0,23,262,54,379,186,0,206,129,['CENTER'],pekovni01,30,84
