,W,L
HOUSTON ROCKETS,76,23
GOLDEN STATE WARRIORS,74,29
BOSTON CELTICS,66,35
TORONTO RAPTORS,63,29
CLEVELAND CAVALIERS,62,42
PHILADELPHIA 76ERS,57,35
UTAH JAZZ,53,40
NEW ORLEANS PELICANS,53,38
INDIANA PACERS,51,38
OKLAHOMA CITY THUNDER,50,38
PORTLAND TRAIL BLAZERS,49,37
SAN ANTONIO SPURS,48,39
MINNESOTA TIMBERWOLVES,48,39
MILWAUKEE BUCKS,47,42
DENVER NUGGETS,46,36
MIAMI HEAT,45,42
WASHINGTON WIZARDS,45,43
LOS ANGELES CLIPPERS,42,40
DETROIT PISTONS,39,43
CHARLOTTE HORNETS,36,46
LOS ANGELES LAKERS,35,47
NEW YORK KNICKS,29,53
BROOKLYN NETS,28,54
SACRAMENTO KINGS,27,55
CHICAGO BULLS,27,55
ORLANDO MAGIC,25,57
DALLAS MAVERICKS,24,58
ATLANTA HAWKS,24,58
MEMPHIS GRIZZLIES,22,60
PHOENIX SUNS,21,61
