,W,L
GOLDEN STATE WARRIORS,83,20
ATLANTA HAWKS,68,30
CLEVELAND CAVALIERS,67,35
HOUSTON ROCKETS,65,34
LOS ANGELES CLIPPERS,63,33
MEMPHIS GRIZZLIES,61,32
SAN ANTONIO SPURS,58,31
CHICAGO BULLS,56,38
WASHINGTON WIZARDS,52,40
PORTLAND TRAIL BLAZERS,52,35
DALLAS MAVERICKS,51,36
TORONTO RAPTORS,49,37
OKLAHOMA CITY THUNDER,45,37
NEW ORLEANS PELICANS,45,41
MILWAUKEE BUCKS,43,45
BOSTON CELTICS,40,46
BROOKLYN NETS,40,48
PHOENIX SUNS,39,43
UTAH JAZZ,38,44
INDIANA PACERS,38,44
MIAMI HEAT,37,45
CHARLOTTE HORNETS,33,49
DETROIT PISTONS,32,50
DENVER NUGGETS,30,52
SACRAMENTO KINGS,29,53
ORLANDO MAGIC,25,57
LOS ANGELES LAKERS,21,61
PHILADELPHIA 76ERS,18,64
NEW YORK KNICKS,17,65
MINNESOTA TIMBERWOLVES,16,66
