,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
29,Lonzo Ball,1212,35,455,CHICAGO BULLS,24,178,383,28,260,31,155,35,162,21,110,35,85,['POINT GUARD'],balllo01,64,82
247,Tyrese Haliburton,938,26,454,INDIANA PACERS,21,249,323,86,137,15,90,26,162,73,57,22,50,['POINT GUARD'],halibty01,48,84
252,James Harden,792,21,442,PHILADELPHIA 76ERS,32,220,286,186,141,5,136,21,115,166,46,13,48,['POINT GUARD'],hardeja01,26,72
573,Domantas Sabonis,504,15,283,SACRAMENTO KINGS,25,87,202,74,17,5,139,15,112,55,4,46,57,['POWER FORWARD'],sabondo01,13,52
262,Josh Hart,417,13,259,PORTLAND TRAIL BLAZERS,26,56,183,57,83,2,61,13,92,44,31,9,32,['SHOOTING GUARD'],hartjo01,16,33
258,Joe Harris,423,14,158,BROOKLYN NETS,30,14,124,6,88,2,51,14,56,5,41,5,31,['SMALL FORWARD'],harrijo01,7,16
283,Jaylen Hoard,240,7,103,OKLAHOMA CITY THUNDER,22,17,90,14,25,5,54,5,44,6,9,30,14,['SMALL FORWARD'],hoardja01,6,8
358,Georgios Kalaitzakis,166,4,70,OKLAHOMA CITY THUNDER,23,12,56,21,22,1,11,4,26,10,8,2,11,['SMALL FORWARD'],kalaige01,10,16
594,Zavier Simpson,174,4,44,OKLAHOMA CITY THUNDER,24,30,52,5,8,4,19,4,19,5,1,2,15,['POINT GUARD'],simpsza01,5,10
204,Melvin Frazier,120,3,32,OKLAHOMA CITY THUNDER,25,1,48,7,21,0,8,0,13,5,1,5,8,['SHOOTING GUARD'],frazime01,1,3
669,Derrick Walton,108,3,19,DETROIT PISTONS,26,21,26,4,13,4,8,3,6,4,3,2,8,['POINT GUARD'],waltode01,7,11
