,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score,bert_relevance
584,76ers rally to beat Hornets for 13th straight win at home,2018,http://global.nba.com/news/76ers-rally-to-beat-hornets-for-13th-straight-win-at-home/,NBA News,21995.89999999999,84859.0,93866.0,0.0934161713079623,0.0934161713079623,LeBron James,0.0574350190764344,0.6734024286270142
585,Cavaliers may get Kevin Love back sooner than expected,2018,http://global.nba.com/news/cavaliers-may-get-kevin-love-back-sooner-than-expected/,NBA News,21995.89999999999,84859.0,93866.0,0.2338637699748811,0.2338637699748811,LeBron James,0.060136151773424,0.6734024286270142
586,"Timberwolves, coping without Butler, visit Jazz",2018,http://global.nba.com/news/timberwolves-coping-without-butler-visit-jazz/,NBA News,21995.89999999999,84859.0,93866.0,0.0296195652173913,0.0296195652173913,Karl-Anthony Towns,0.092389605277694,0.6758800745010376
587,Bucks’ Antetokounmpo faces Pacers hoping for better month,2018,http://global.nba.com/news/bucks-antetokounmpo-faces-paces-hoping-for-better-month/,NBA News,21995.89999999999,84859.0,93866.0,0.0991259484563056,0.0991259484563056,Giannis Antetokounmpo,0.1829689150880929,0.6605729460716248
588,Wizards face another tough test against Raptors,2018,http://global.nba.com/news/wizards-face-another-tough-test-against-raptors/,NBA News,21995.89999999999,84859.0,93866.0,0.1664959394610557,0.1664959394610557,Bradley Beal,0.0975397385654764,0.671540379524231
589,Washington Wizards hope to build on all-around gains once John Wall returns,2018,http://global.nba.com/news/washington-wizards-hope-to-build-on-all-around-gains-once-john-wall-returns/,NBA News,21995.89999999999,84859.0,93866.0,0.1070453130747248,0.1070453130747248,Bradley Beal,0.1349239979109756,0.671540379524231
590,Kia MVP Ladder: Welcome to the conversation,2018,http://global.nba.com/news/kia-mvp-ladder-welcome-to-the-conversation/,NBA News,21995.89999999999,84859.0,93866.0,0.1620342733939225,0.1620342733939225,James Harden,0.1439579757221727,0.6798150539398193
591,Report: LaMarcus Aldridge day-to-day with ankle injury,2018,http://global.nba.com/news/report-lamarcus-aldridge-day-day-ankle-injury/,NBA News,21995.89999999999,84859.0,93866.0,0.1771026592455163,0.1771026592455163,LaMarcus Aldridge,0.3526509940357454,0.6854403614997864
592,Great Assists: The KFC Deliveries of the Month,2018,http://global.nba.com/news/kfc-deliveries-month/,NBA News,21995.89999999999,84859.0,93866.0,1.0,1.0,LeBron James,0.0,0.6734024286270142
593,Joel Embiid posts photo with LeBron James saying “Summer 2018 goals”,2018,http://global.nba.com/news/joel-embiid-posts-photo-lebron-james-saying-summer-2018-goals/,NBA News,21995.89999999999,84859.0,93866.0,0.225287356321839,0.225287356321839,LeBron James,0.3721041869328697,0.6734024286270142
594,PRO•LINE Where to Watch: March 30,2018,http://global.nba.com/news/pro%e2%80%a2line-where-to-watch-march-30/,NBA News,21995.89999999999,84859.0,93866.0,-0.0361111111111111,-0.0361111111111111,LeBron James,0.1760483523329203,0.6734024286270142
595,Blazers beat Timberwolves 108-99 for fifth straight win,2018,http://global.nba.com/news/blazers-beat-timberwolves-108-99-fifth-straight-win/,NBA News,21995.89999999999,84859.0,93866.0,0.0434640522875817,0.0434640522875817,Damian Lillard,0.1133426532584312,0.6709682941436768
596,Kings outlast Nets 116-111 in overtime,2018,http://global.nba.com/news/kings-outlast-nets-116-111-overtime/,NBA News,21995.89999999999,84859.0,93866.0,0.0281944444444444,0.0281944444444444,LeBron James,0.0,0.6734024286270142
597,"Sixers showcase themselves for LeBron, down Cavs 108-97",2018,http://global.nba.com/news/sixers-showcase-lebron-cavs-108-97/,NBA News,21995.89999999999,84859.0,93866.0,0.122312925170068,0.122312925170068,LeBron James,0.2571081691735824,0.6734024286270142
598,Lakers stay hot with 131-113 win over Heat,2018,http://global.nba.com/news/lakers-stay-hot-131-113-win-heat/,NBA News,21995.89999999999,84859.0,93866.0,0.1367460317460317,0.1367460317460317,Kyle Kuzma,0.0528683194339556,0.6647515892982483
599,Washington’s Brooks and Houston’s D’Antoni named Coaches of the Month,2018,http://global.nba.com/news/washingtons-brooks-houstons-dantoni-named-coaches-month/,NBA News,21995.89999999999,84859.0,93866.0,0.1456112852664577,0.1456112852664577,John Wall,0.0771645330404347,0.6749860048294067
600,LeBron James and Anthony Davis named Kia Players of the Month,2018,http://global.nba.com/news/lebron-anthony-davis-named-kia-players-month/,NBA News,21995.89999999999,84859.0,93866.0,0.1398093841642228,0.1398093841642228,LeBron James,0.2243634439774344,0.6734024286270142
601,Philadelphia’s Simmons and Utah’s Mitchell named Rookies of the Month,2018,http://global.nba.com/news/philadelphias-simmons-utahs-mitchell-named-rookies-month/,NBA News,21995.89999999999,84859.0,93866.0,0.1826048951048951,0.1826048951048951,Donovan Mitchell,0.1589717170386844,0.6903529167175293
602,PRO•LINE Where to Watch: March 29,2018,http://global.nba.com/news/pro%e2%80%a2line-where-to-watch-march-29/,NBA News,21995.89999999999,84859.0,93866.0,-0.0361111111111111,-0.0361111111111111,Russell Westbrook,0.1798579737681997,0.685907244682312
603,Timberwolves have big plans for Trail Blazers,2018,http://global.nba.com/news/timberwolves-big-plans-trail-blazers/,NBA News,21995.89999999999,84859.0,93866.0,0.1078924162257495,0.1078924162257495,Taj Gibson,0.1213155052356476,0.6883814334869385
604,"Sixers to get good look at James, Cavaliers",2018,http://global.nba.com/news/sixers-get-good-look-james-cavaliers/,NBA News,21995.89999999999,84859.0,93866.0,0.070232991940309,0.070232991940309,LeBron James,0.2471529688473112,0.6734024286270142
605,Playoff Breakdown: Next week critical for seeds No. 4-8 in East,2018,http://global.nba.com/news/playoff-race-breakdown-next-week-critical-seeds-no-4-8-eastern-conference/,NBA News,21995.89999999999,84859.0,93866.0,0.1874733131660843,0.1874733131660843,LeBron James,0.0157800012077869,0.6734024286270142
606,Report: Derrick Rose only getting interest in form of 10-day contracts,2018,http://global.nba.com/news/report-derrick-rose-getting-interest-form-10-day-contracts/,NBA News,21995.89999999999,84859.0,93866.0,0.3885304659498207,0.3885304659498207,Blake Griffin,0.0688273993635095,0.6765612363815308
607,"In lieu of White House, Warriors take kids to African American museum",2018,http://global.nba.com/news/lieu-white-house-golden-state-warriors-take-kids-african-american-museum/,NBA News,21995.89999999999,84859.0,93866.0,0.076031746031746,0.076031746031746,Kevin Durant,0.1180978086971109,0.6698825359344482
608,"LaMarcus Aldridge exits with right ankle sprain, does not return",2018,http://global.nba.com/news/lamarcus-aldridge-exits-right-ankle-sprain-not-return/,NBA News,21995.89999999999,84859.0,93866.0,0.008531746031746,0.008531746031746,LaMarcus Aldridge,0.5848435013390033,0.6854403614997864
609,Houston Rockets piling up highlights during 14-game win streak,2018,http://global.nba.com/news/houston-rockets-rolling-piling-highlights-14-game-win-streak/,NBA News,21995.89999999999,84859.0,93866.0,0.2723502304147465,0.2723502304147465,James Harden,0.511325119727374,0.6798150539398193
610,PRO•LINE Where to Watch: April 1,2018,http://global.nba.com/news/pro%e2%80%a2line-where-to-watch-april-1/,NBA News,21995.89999999999,84859.0,93866.0,-0.0361111111111111,-0.0361111111111111,James Harden,0.1779327739559924,0.6798150539398193
611,PRO•LINE Where to Watch: March 31,2018,http://global.nba.com/news/pro%e2%80%a2line-where-to-watch-march-31/,NBA News,21995.89999999999,84859.0,93866.0,-0.0361111111111111,-0.0361111111111111,Bradley Beal,0.1760483523329203,0.671540379524231
612,Jordan Clarkson explains differences in leadership between Kobe and LeBron,2018,http://global.nba.com/news/jordan-clarkson-explains-differences-kobe-bryants-lebron-james-leadership/,NBA News,21995.89999999999,84859.0,93866.0,0.1088235294117646,0.1088235294117646,LeBron James,0.3614135675831973,0.6734024286270142
613,"Rockets start fast, beat Clippers 105-92 for 14th straight",2018,http://global.nba.com/news/rockets-start-fast-beat-clippers-105-92-14th-straight/,NBA News,21995.89999999999,84859.0,93866.0,0.0848913239538239,0.0848913239538239,James Harden,0.1421706091220178,0.6798150539398193
614,Philadelphia 76ers sign forward Ersan Ilyasova,2018,http://global.nba.com/news/philadelphia-76ers-sign-forward-ersan-ilyasova-2/,NBA News,21995.89999999999,84859.0,93866.0,-0.0144791666666666,-0.0144791666666666,LeBron James,0.0,0.6734024286270142
615,"Westbrook scores 30, Thunder beat Mavericks 111-110 in OT",2018,http://global.nba.com/news/westbrook-scores-30-thunder-beat-mavericks-111-110-ot/,NBA News,21995.89999999999,84859.0,93866.0,-0.0161274509803921,-0.0161274509803921,Russell Westbrook,0.1150994964534433,0.685907244682312
616,"Booker, Jackson help Suns end skid with win over Grizzlies",2018,http://global.nba.com/news/booker-jackson-help-suns-end-skid-win-grizzlies/,NBA News,21995.89999999999,84859.0,93866.0,0.0025345622119815,0.0025345622119815,Devin Booker,0.1357834249739427,0.6876299381256104
617,"Durant, Curry, Warriors beat Wiz 109-101 In D.C.",2018,http://global.nba.com/news/durant-curry-warriors-beat-wiz-109-101-d-c/,NBA News,21995.89999999999,84859.0,93866.0,0.1406190476190476,0.1406190476190476,Bradley Beal,0.0942224932133944,0.671540379524231
618,Irving scores 34 for Boston in 134-106 win over Hornets,2018,http://global.nba.com/news/irving-scores-34-boston-134-106-win-hornets/,NBA News,21995.89999999999,84859.0,93866.0,0.1277777777777777,0.1277777777777777,Kemba Walker,0.0992875222445801,0.6867640614509583
619,Schroder helps Hawks hold off late Pacers’ comeback attempt,2018,http://global.nba.com/news/schroder-helps-hawks-hold-off-late-pacers-comeback-attempt/,NBA News,21995.89999999999,84859.0,93866.0,0.0259920634920634,0.0259920634920634,Victor Oladipo,0.0847725194214668,0.6742314100265503
620,Raptors pull away late for 117-104 win over Magic,2018,http://global.nba.com/news/raptors-pull-away-late-117-104-win-magic/,NBA News,21995.89999999999,84859.0,93866.0,0.1093495934959349,0.1093495934959349,DeMar DeRozan,0.0535495616953675,0.674518346786499
621,"Pistons dominate inside, take down Bucks 110-87",2018,http://global.nba.com/news/pistons-dominate-inside-take-bucks-110-87/,NBA News,21995.89999999999,84859.0,93866.0,0.0315100815100815,0.0315100815100815,Giannis Antetokounmpo,0.0718295730720296,0.6605729460716248
622,Jerome Williams and Former NBAers Give Back At Toronto Tournament of Stars,2018,http://global.nba.com/news/jerome-williams-and-former-nbaers-give-back-at-toronto-tournament-of-stars/,NBA News,21995.89999999999,84859.0,93866.0,0.1512254901960784,0.1512254901960784,LeBron James,0.0,0.6734024286270142
623,Celtics host Hornets in battle of streaking teams,2018,http://global.nba.com/news/celtics-host-hornets-battle-streaking-teams/,NBA News,21995.89999999999,84859.0,93866.0,0.1641011443337024,0.1641011443337024,Kemba Walker,0.0557028632333679,0.6867640614509583
624,"RDS to Broadcast the NBA Playoffs, NBA Finals and All Raptors Playoff Games",2018,http://global.nba.com/news/rds-to-broadcast-the-nba-playoffs-nba-finals-and-all-raptors-playoff-games/,NBA News,21995.89999999999,84859.0,93866.0,0.3269696969696969,0.3269696969696969,DeMar DeRozan,0.1715074197778714,0.674518346786499
625,James Harden: ‘This is the year’ for Houston Rockets,2018,http://global.nba.com/news/james-harden-year-houston-rockets/,NBA News,21995.89999999999,84859.0,93866.0,0.2245833333333333,0.2245833333333333,James Harden,0.517248693841471,0.6798150539398193
