Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name
1530,"George, Westbrook lead Thunder past Grizzlies 137-123",2017-18,http://global.nba.com/news/george-westbrook-lead-thunder-past-grizzlies-137-123/,NBA News,Default,Default,Default,0.0454662698412698,0.0454662698412698,Russell Westbrook
1531,"Davis, Rondo power Pelicans past Spurs, 122-98",2017-18,http://global.nba.com/news/davis-rondo-power-pelicans-past-spurs-122-98/,NBA News,Default,Default,Default,0.109028934028934,0.109028934028934,Anthony Davis
1532,"76ers win 16th straight, earn 3 seed in romp over Bucks",2017-18,http://global.nba.com/news/76ers-win-16th-straight-earn-3-seed-in-romp-over-bucks/,NBA News,Default,Default,Default,0.0835539299202089,0.0835539299202089,Giannis Antetokounmpo
1533,Russ ensures averaging a triple-double after grabbing 16 rebounds,2017-18,http://global.nba.com/news/russ-ensures-averaging-a-triple-double-after-grabbing-16-rebounds/,NBA News,Default,Default,Default,-0.05,-0.05,Russell Westbrook
1534,"Jazz, Trail Blazers vie for No. 3 seed in West",2017-18,http://global.nba.com/news/jazz-trail-blazers-vie-for-no-3-seed-in-west/,NBA News,Default,Default,Default,0.1060225885225885,0.1060225885225885,Damian Lillard
1535,Thunder go for important win vs. Grizzlies,2017-18,http://global.nba.com/news/thunder-go-for-important-win-vs-grizzlies/,NBA News,Default,Default,Default,0.1986385836385836,0.1986385836385836,Russell Westbrook
1536,"Spurs, Pelicans jockeying for playoff positioning",2017-18,http://global.nba.com/news/spurs-pelicans-jockeying-for-playoff-positioning/,NBA News,Default,Default,Default,0.2343458718458719,0.2343458718458719,Anthony Davis
1537,"76ers set sights on No. 3 seed, Bucks",2017-18,http://global.nba.com/news/76ers-set-sights-on-no-3-seed-bucks/,NBA News,Default,Default,Default,0.1669066760903495,0.1669066760903495,Giannis Antetokounmpo
1538,Wizards play for playoff positioning against Magic,2017-18,http://global.nba.com/news/wizards-play-for-playoff-positioning-against-magic/,NBA News,Default,Default,Default,0.1671785653141585,0.1671785653141585,John Wall
1539,Raptors-Heat finale could be playoff preview,2017-18,http://global.nba.com/news/raptors-heat-finale-could-be-playoff-preview/,NBA News,Default,Default,Default,0.0307083333333333,0.0307083333333333,Russell Westbrook
1540,Cavaliers face Knicks with No. 3 seed within reach,2017-18,http://global.nba.com/news/cavaliers-face-knicks-with-no-3-seed-within-reach/,NBA News,Default,Default,Default,0.1751716989058761,0.1751716989058761,LeBron James
1541,"Philadelphia 76ers peaking as playoffs approach, but are they too young to be taken seriously?",2017-18,http://global.nba.com/news/philadelphia-76ers-peaking-as-playoffs-approach-but-are-they-too-young-to-be-taken-seriously/,NBA News,Default,Default,Default,0.1213412593847376,0.1213412593847376,LeBron James
1542,New York Knicks dismiss coach Jeff Hornacek,2017-18,http://global.nba.com/news/new-york-knicks-dismiss-coach-jeff-hornacek/,NBA News,Default,Default,Default,-0.0126623376623376,-0.0126623376623376,Carmelo Anthony
1543,How Tuesday’s games affected 2018 NBA playoff chase,2017-18,http://global.nba.com/news/how-tuesdays-games-affected-2018-nba-playoff-chase/,NBA News,Default,Default,Default,0.1060575998075998,0.1060575998075998,Russell Westbrook
1544,"Nuggets, Timberwolves battle for final playoff spot",2017-18,http://global.nba.com/news/nuggets-timberwolves-battle-for-final-playoff-spot/,NBA News,Default,Default,Default,0.1136750067258541,0.1136750067258541,Karl-Anthony Towns
1545,"Paul, Harden pace offense as Rockets defeat Lakers",2017-18,http://global.nba.com/news/paul-harden-pace-offense-as-rockets-defeat-lakers/,NBA News,Default,Default,Default,-0.0140762786596119,-0.0140762786596119,James Harden
1546,Jazz cruise to 119-79 win over Warriors,2017-18,http://global.nba.com/news/jazz-cruise-to-119-79-win-over-warriors/,NBA News,Default,Default,Default,0.1940419501133787,0.1940419501133787,Damian Lillard
1547,Alec Peters scores career-high 36 points to lead Suns over Mavericks,2017-18,http://global.nba.com/news/alec-peters-scores-career-high-36-points-to-lead-suns-over-mavericks/,NBA News,Default,Default,Default,0.0460976523476523,0.0460976523476523,Devin Booker
1548,Wall’s 29 points and 12 assists propel Wizards past Celtics,2017-18,http://global.nba.com/news/walls-29-points-and-12-assists-propel-wizards-past-celtics/,NBA News,Default,Default,Default,-0.0347763347763347,-0.0347763347763347,Kyrie Irving
1549,76ers Set Team Record With 15th Straight Win,2017-18,http://global.nba.com/news/76ers-set-team-record-with-15th-straight-win/,NBA News,Default,Default,Default,-0.0322420634920635,-0.0322420634920635,Russell Westbrook
1550,Hornets take advantage of resting Pacers,2017-18,http://global.nba.com/news/hornets-take-advantage-of-resting-pacers/,NBA News,Default,Default,Default,0.0267142857142857,0.0267142857142857,Nicolas Batum
1551,Pacers finish regular season at home with Hornets,2017-18,http://global.nba.com/news/pacers-finish-regular-season-at-home-with-hornets/,NBA News,Default,Default,Default,0.2524087233521195,0.2524087233521195,Victor Oladipo
1552,Much at stake for Jazz vs. Warriors,2017-18,http://global.nba.com/news/much-at-stake-for-jazz-vs-warriors/,NBA News,Default,Default,Default,0.0539241858359505,0.0539241858359505,Klay Thompson
1553,Wizards hope to improve position vs. Celtics,2017-18,http://global.nba.com/news/wizards-hope-to-improve-position-vs-celtics/,NBA News,Default,Default,Default,0.0523775894538606,0.0523775894538606,Kyrie Irving
1554,NBA Playoff Scenarios Entering Tuesday’s Games,2017-18,http://global.nba.com/news/nba-playoff-scenarios-entering-tuesdays-games/,NBA News,Default,Default,Default,0.1404791154791154,0.1404791154791154,Russell Westbrook
1555,Pat Riley says LeBron James ‘did the right thing’ when he left Miami Heat,2017-18,http://global.nba.com/news/pat-riley-says-lebron-james-did-the-right-thing-when-he-left-miami-heat/,NBA News,Default,Default,Default,0.1306090000534445,0.1306090000534445,LeBron James
1556,Russell Westbrook has chance to average triple-double for second straight season,2017-18,http://global.nba.com/news/russell-westbrook-has-chance-to-average-triple-double-for-second-straight-season/,NBA News,Default,Default,Default,0.0263888888888888,0.0263888888888888,Russell Westbrook
1557,How Monday’s games affected 2018 NBA Playoff chase,2017-18,http://global.nba.com/news/how-mondays-games-affected-2018-nba-playoff-chase/,NBA News,Default,Default,Default,0.1416666666666666,0.1416666666666666,Russell Westbrook
1558,Pelicans beat Clippers 113-100 to clinch playoff berth,2017-18,http://global.nba.com/news/pelicans-beat-clippers-113-100-to-clinch-playoff-berth/,NBA News,Default,Default,Default,0.0325541125541125,0.0325541125541125,Anthony Davis
1559,Nuggets beat Trail Blazers 88-82 for 6th straight win,2017-18,http://global.nba.com/news/nuggets-beat-trail-blazers-88-82-for-6th-straight-win/,NBA News,Default,Default,Default,0.1320372503840245,0.1320372503840245,Gary Harris
1560,"Gay, Ginobili lead Spurs over Kings to clinch playoff berth",2017-18,http://global.nba.com/news/gay-ginobili-lead-spurs-over-kings-to-clinch-playoff-berth/,NBA News,Default,Default,Default,0.1047494172494172,0.1047494172494172,LaMarcus Aldridge
1561,"Towns helps T-wolves top Grizzlies 113-94, closer to clinch",2017-18,http://global.nba.com/news/towns-helps-t-wolves-top-grizzlies-113-94-closer-to-clinch/,NBA News,Default,Default,Default,0.0377503052503052,0.0377503052503052,Karl-Anthony Towns
1562,"James, Love lead Cavs past Knicks to 50th win, Central title",2017-18,http://global.nba.com/news/james-love-lead-cavs-past-knicks-to-50th-win-central-title/,NBA News,Default,Default,Default,0.125523088023088,0.125523088023088,LeBron James
1563,"Thunder clinch: OKC runs past Miami, 115-93",2017-18,http://global.nba.com/news/thunder-clinch-oklahoma-city-runs-past-miami-115-93/,NBA News,Default,Default,Default,0.0172222222222222,0.0172222222222222,Russell Westbrook
1564,Raptors hold off Pistons 108-98,2017-18,http://global.nba.com/news/raptors-hold-off-pistons-108-98/,NBA News,Default,Default,Default,0.0188740079365079,0.0188740079365079,DeMar DeRozan
1565,"Pelicans must win vs. Clippers, who are out of playoffs",2017-18,http://global.nba.com/news/pelicans-must-win-vs-clippers-who-are-out-of-playoffs/,NBA News,Default,Default,Default,0.0333136047979797,0.0333136047979797,Anthony Davis
1566,Spurs look to lock up playoff spot against Kings,2017-18,http://global.nba.com/news/spurs-look-to-lock-up-playoff-spot-against-kings/,NBA News,Default,Default,Default,0.1558097718253968,0.1558097718253968,LaMarcus Aldridge
1567,NBA Playoff scenarios entering Monday’s games,2017-18,http://global.nba.com/news/nba-playoff-scenarios-entering-mondays-games/,NBA News,Default,Default,Default,0.2240804269106155,0.2240804269106155,DeMar DeRozan
1568,"Blazers, Nuggets meet in pivotal game for both teams",2017-18,http://global.nba.com/news/blazers-nuggets-meet-in-pivotal-game-for-both-teams/,NBA News,Default,Default,Default,0.1593597374847374,0.1593597374847374,Damian Lillard
1569,Thunder look to clinch playoff spot with win in Miami,2017-18,http://global.nba.com/news/thunder-look-to-clinch-playoff-spot-with-win-in-miami/,NBA News,Default,Default,Default,0.023543771043771,0.023543771043771,Russell Westbrook
1570,"LeBron, Cavs continue playoff push at MSG",2017-18,http://global.nba.com/news/lebron-cavs-continue-playoff-push-at-msg/,NBA News,Default,Default,Default,0.0737439328348419,0.0737439328348419,Kevin Love
1571,Eight Playoff storylines may silence talk (for a bit) of another Finals rematch,2017-18,http://global.nba.com/news/eight-playoff-storylines-may-silence-talk-for-a-bit-of-another-finals-rematch/,NBA News,Default,Default,Default,0.1374191172811862,0.1374191172811862,James Harden
1572,Stephen Curry on MCL rehab: ‘I haven’t had any setbacks’,2017-18,http://global.nba.com/news/stephen-curry-on-mcl-rehab-i-havent-had-any-setbacks/,NBA News,Default,Default,Default,0.1566761363636363,0.1566761363636363,Stephen Curry
1573,Kerr to Warriors: “We’ve got to defend”,2017-18,http://global.nba.com/news/kerr-to-warriors-weve-got-to-defend/,NBA News,Default,Default,Default,0.0496333333333333,0.0496333333333333,Russell Westbrook
1574,Jazz clinch Playoff spot in crowded Western Conference,2017-18,http://global.nba.com/news/jazz-clinch-playoff-spot-in-crowded-western-conference/,NBA News,Default,Default,Default,0.0108974358974359,0.0108974358974359,Jae Crowder
1575,"Anunoby, Miles power Raptors past Magic 112-101",2017-18,http://global.nba.com/news/anunoby-miles-power-raptors-past-magic-112-101/,NBA News,Default,Default,Default,0.1464133738601823,0.1464133738601823,DeMar DeRozan
1576,Hornets name Mitch Kupchak President of Basketball Operations and General Manager,2017-18,http://global.nba.com/news/report-mitch-kupchak-agrees-to-join-charlotte-hornets-as-general-manager/,NBA News,Default,Default,Default,0.2265977443609022,0.2265977443609022,Russell Westbrook
