,title,date,url,player
59,NBA highlights: Stephen Curry scores 45 points as Golden State Warriors beat LA Clippers,2021-22,https://www.bbc.co.uk/sport/av/basketball/59011747,Stephen Curry
60,NBA: Stephen Curry scores 45 as Golden State Warriors beat Los Angeles Clippers,2021-22,https://www.bbc.co.uk/sport/basketball/59006438,Stephen Curry
61,Stephen Curry: Golden State Warriors star out for three months after hand surgery,2019-20,https://www.bbc.co.uk/sport/basketball/50270341,Stephen Curry
62,Stephen Curry: Golden State star scores 23 points in comeback game v Raptors,2019-20,https://www.bbc.co.uk/sport/basketball/51765452,Stephen Curry
63,Stephen Curry: Golden State Warriors guard suffers broken hand after fall,2019-20,https://www.bbc.co.uk/sport/basketball/50246111,Stephen Curry
67,Stephen Curry makes an amazing buzzer-beater for Golden State against San Antonio,2018-19,https://www.bbc.co.uk/sport/av/mixed-martial-arts/47630050,Stephen Curry
68,Stephen Curry makes an amazing buzzer-beater for Golden State against San Antonio,2018-19,https://www.bbc.co.uk/sport/av/basketball/47654220,Stephen Curry
69,NBA: Golden State Warriors superstar Stephen Curry's worst five seconds of basketball,2018-19,https://www.bbc.co.uk/sport/av/basketball/46961282,Stephen Curry
73,Stephen Curry shoots NBA three-point record in Warriors win,2016-17,https://www.bbc.co.uk/sport/basketball/37906636,Stephen Curry
74,Stephen Curry scores record 13 three-pointers in single game,2016-17,https://www.bbc.co.uk/sport/av/basketball/37914817,Stephen Curry
75,NBA: Watch Stephen Curry's record 128 three-pointers,2015-16,https://www.bbc.co.uk/sport/av/basketball/35668044,Stephen Curry
76,Stephen Curry: NBA three-point record broken by Golden State Warrior,2015-16,https://www.bbc.co.uk/sport/basketball/35681271,Stephen Curry
80,Golden State Warriors: Stephen Curry's side need four wins for NBA history,2015-16,https://www.bbc.co.uk/sport/basketball/35976488,Stephen Curry
81,NBA Plays of the Week: Stephen Curry continues to break NBA records,2015-16,https://www.bbc.co.uk/sport/av/basketball/35722985,Stephen Curry
83,Stephen Curry's Golden State Warriors set new NBA record,2015-16,http://www.bbc.co.uk/sport/basketball/35640891,Stephen Curry
85,NBA: Wins for Bulls & Warriors as Bucks and Nets lose,2021-22,https://www.bbc.co.uk/sport/basketball/59865447,Stephen Curry
86,NBA: Golden State Warriors end Phoenix Suns' 18-match winning streak,2021-22,https://www.bbc.co.uk/sport/basketball/59531498,Stephen Curry
88,NBA: Kyrie Irving & Steph Curry star in best plays of the week,2020-21,https://www.bbc.co.uk/sport/av/basketball/56731681,Stephen Curry
