,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score,bert_relevance
450,Raptors’ Norman Powell Out Indefinitely With Fracture In Left Hand,2020,http://global.nba.com/news/raptors-norman-powell-out-indefinitely-with-fracture-in-left-hand/,Official Release,21996,84859,93866,0.3,0.3,James Harden,0.0,0.5639772415161133
451,Celtics’ Kemba Walker To Miss At Least 2 Games With Sore Left Knee,2020,http://global.nba.com/news/celtics-kemba-walker-to-miss-at-least-2-games-with-sore-left-knee/,NBA Twitter Reports,21996,84859,93866,-0.0391666666666666,-0.0391666666666666,Kemba Walker,0.2595461723059252,0.5580808520317078
452,"Thunder Rally In Final Minutes, Push Past Suns 111-107",2020,http://global.nba.com/news/thunder-rally-in-final-minutes-push-past-suns-111-107/,NBA News,21996,84859,93866,0.1112797619047618,0.1112797619047618,Devin Booker,0.0579617228684175,0.538442075252533
453,"Nuggets Hand Bucks Rare Defeat At Home, 127-115",2020,http://global.nba.com/news/nuggets-hand-bucks-rare-defeat-at-home-127-115/,NBA News,21996,84859,93866,0.10984492481203,0.10984492481203,Giannis Antetokounmpo,0.1259813466182599,0.6147996783256531
454,Eight Pelicans Score In Double-Digits In Win Over Grizzlies,2020,http://global.nba.com/news/eight-pelicans-score-in-double-digits-in-win-over-grizzlies/,NBA News,21996,84859,93866,0.0995438337829642,0.0995438337829642,Brandon Ingram,0.0518554907255533,0.5447436571121216
455,"Irving Scores Season-High 54, Nets Beat Bulls 133-118",2020,http://global.nba.com/news/irving-scores-season-high-54-nets-beat-bulls-133-118/,NBA News,21996,84859,93866,0.1168648440931049,0.1168648440931049,Zach LaVine,0.1106696989227221,0.563624382019043
456,"Harden, Westbrook Combine For 67 PTS In Win Over Mavericks",2020,http://global.nba.com/news/harden-westbrook-combine-for-67-pts-in-win-over-mavericks/,NBA News,21996,84859,93866,0.0575414160154419,0.0575414160154419,James Harden,0.1460194660914237,0.5639772415161133
457,Raptors’ Streak At 10 After 105-92 Win Over Pistons,2020,http://global.nba.com/news/raptors-streak-at-10-after-105-92-win-over-pistons/,NBA News,21996,84859,93866,0.0643343051506316,0.0643343051506316,Pascal Siakam,0.093516458782685,0.5845013856887817
458,Nick Nurse To Coach Team Giannis In 2020 NBA All-Star Game,2020,http://global.nba.com/news/nick-nurse-to-coach-team-giannis-in-2020-nba-all-star-game/,Official release,21996,84859,93866,0.0740981240981241,0.0740981240981241,Giannis Antetokounmpo,0.1313457696420899,0.6147996783256531
459,"NBA, NBPA And Nike To Honor Kobe And Gianna Bryant On NBA All-Star Uniforms",2020,http://global.nba.com/news/nba-nbpa-and-nike-to-honor-kobe-and-gianna-bryant-on-nba-all-star-uniforms/,Official Release,21996,84859,93866,-0.0803030303030303,-0.0803030303030303,James Harden,0.0378205983026257,0.5639772415161133
460,Luka Doncic (Ankle) Out At Least 6 Games,2020,http://global.nba.com/news/report-luka-doncic-ankle-could-miss-2-weeks/,NBA Media Reports,21996,84859,93866,0.2173809523809523,0.2173809523809523,James Harden,0.0641552483242257,0.5639772415161133
461,MVP Ladder: Is It Too Late For Damian Lillard To Surge Into Chase?,2020,http://global.nba.com/news/mvp-ladder-is-it-too-late-for-damian-lillard-to-surge-into-chase/,Sekou Smith,13,91,42,0.1366883116883117,0.1366883116883117,Damian Lillard,0.2231046355355729,0.553528904914856
462,Luka Doncic And Trae Young Headline US vs. World Showdown in 2020 NBA Rising Stars,2020,http://global.nba.com/news/luka-doncic-and-trae-young-headline-us-vs-world-showdown-in-2020-nba-rising-stars/,Official Release,21996,84859,93866,-0.0166999666999667,-0.0166999666999667,Trae Young,0.0942239821103456,0.549218475818634
