Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score
5762,Grizzlies Hope To Repeat Defensive Performance Against Pelicans,2019,http://global.nba.com/news/grizzlies-hope-to-repeat-defensive-performance-against-pelicans/,NBA News,Default,Default,Default,0.126048581048581,0.126048581048581,Julius Randle,0.17094355123067081
5763,Bulls Host Thunder In Boylen’s Home Coaching Debut,2019,http://global.nba.com/news/bulls-host-thunder-in-boylens-home-coaching-debut/,NBA News,Default,Default,Default,0.1022841656987998,0.1022841656987998,Paul George,0.045388654807331535
5764,Kings Look To Stay Above .500 Against Cavaliers,2019,http://global.nba.com/news/kings-look-to-stay-above-500-against-cavaliers/,NBA News,Default,Default,Default,0.1692782738095237,0.1692782738095237,Kevin Durant,0.043385396920935695
5765,Raptors On Roll Heading To Face Nets,2019,http://global.nba.com/news/raptors-on-roll-heading-to-face-nets/,NBA News,Default,Default,Default,0.0930369952109082,0.0930369952109082,Paul George,0.030535284621539267
5766,Pacers Look To Continue Hold On Magic,2019,http://global.nba.com/news/pacers-look-to-continue-hold-on-magic/,NBA News,Default,Default,Default,0.0948586744639376,0.0948586744639376,Jamal Murray,0.03228446394234872
5767,Butler-Led Sixers Ready To Take On Pistons,2019,http://global.nba.com/news/butler-led-sixers-ready-to-take-on-pistons/,NBA News,Default,Default,Default,0.1182401255075673,0.1182401255075673,Jimmy Butler,0.15459842238990368
5768,Surging Nuggets Continue Road Trip In Charlotte,2019,http://global.nba.com/news/surging-nuggets-continue-road-trip-in-charlotte/,NBA News,Default,Default,Default,0.2439393939393939,0.2439393939393939,James Harden,0.02217283266765907
5769,What You May Have Missed: Pacers Move Without Oladipo,2019,http://global.nba.com/news/what-you-may-have-missed-pacers-move-without-oladipo/,NBA News,Default,Default,Default,0.1153584455667789,0.1153584455667789,Zach LaVine,0.0563760926776186
5770,LeBron’s Present May Not Prevent Tough Future For Lakers,2019,http://global.nba.com/news/lebrons-present-may-not-prevent-tough-future-for-lakers/,NBA News,Default,Default,Default,0.1676443950786056,0.1676443950786056,LeBron James,0.3048206685679044
5771,Kia MVP Ladder: Thunder Duo Has Oklahoma City Buzzing,2019,http://global.nba.com/news/kia-mvp-ladder-thunder-duo-has-oklahoma-city-buzzing/,NBA News,Default,Default,Default,0.1330500879329004,0.1330500879329004,Kevin Durant,0.0717904759618985
5772,About Last Night: Jazz Win One For Rudy,2019,http://global.nba.com/news/about-last-night-jazz-win-one-for-rudy/,NBA News,Default,Default,Default,0.0506449631449631,0.0506449631449631,James Harden,0.17663459017590588
5773,Celtics’ Irving Not Fretting Over Shoulder Injury,2019,http://global.nba.com/news/celtics-irving-not-fretting-over-shoulder-injury/,NBA News,Default,Default,Default,0.0278772951186744,0.0278772951186744,Kyrie Irving,0.4266625113048722
5774,Report: LeBron Interested In Carmelo Joining Lakers,2019,http://global.nba.com/news/report-lebron-interested-in-carmelo-joining-lakers/,NBA News,Default,Default,Default,0.1285714285714286,0.1285714285714286,LeBron James,0.3922188202039259
5775,Jazz Shut Down Rockets For 118-91 Victory,2019,http://global.nba.com/news/jazz-shut-down-rockets-for-118-91-victory/,NBA News,Default,Default,Default,0.0405208333333333,0.0405208333333333,James Harden,0.04643577571247998
5776,Lillard And Layman Lead Blazers To 108-86 Win Over The Suns,2019,http://global.nba.com/news/lillard-and-layman-lead-blazers-to-108-86-win-over-the-suns/,NBA News,Default,Default,Default,0.0578111946532999,0.0578111946532999,Damian Lillard,0.08988269474496254
5777,Irving Leads Celtics Past Knicks 128-100,2019,http://global.nba.com/news/irving-leads-celtics-past-knicks-128-100/,NBA News,Default,Default,Default,0.0039208612738024,0.0039208612738024,Kyrie Irving,0.09892841401554785
5778,Ingram To Miss Lakers’ Next Two Games With Sprained Ankle,2019,http://global.nba.com/news/ingram-to-miss-lakers-next-two-games-with-sprained-ankle/,NBA News,Default,Default,Default,-0.0305555555555555,-0.0305555555555555,LaMarcus Aldridge,0.16689386055687433
5779,"Lasting Success In Milwaukee Tied to Bledsoe, Middleton",2019,http://global.nba.com/news/lasting-success-in-milwaukee-tied-to-bledsoe-middleton/,NBA News,Default,Default,Default,0.1559013085928409,0.1559013085928409,Khris Middleton,0.12562929454694224
5780,"Cavs Forward Thompson Receives $15,000 Fine",2019,http://global.nba.com/news/cavs-forward-thompson-receives-15000-fine/,NBA News,Default,Default,Default,-0.0212121212121212,-0.0212121212121212,James Harden,0.0
5781,Jazz Look To Keep Hot Shooting Going Against Rockets,2019,http://global.nba.com/news/jazz-look-to-keep-hot-shooting-going-against-rockets/,NBA News,Default,Default,Default,0.0951663289429246,0.0951663289429246,James Harden,0.06727857986314813
5782,CJ McCollum Out As Trail Blazers Look To Bounce Back vs. Suns,2019,http://global.nba.com/news/trail-blazers-look-to-get-going-against-suns/,NBA News,Default,Default,Default,0.0458445642407906,0.0458445642407906,Damian Lillard,0.047372537963026345
