title,date,url
NBA: LeBron James scores 26 points against his former side as the LA Lakers win again,30 October 2021,https://www.bbc.co.uk/sport/basketball/59101077
LeBron James got coronavirus vaccine after initial scepticism,28 September 2021,https://www.bbc.co.uk/sport/basketball/58728806
Space Jam: LeBron James sequel slam dunks Black Widow at box office,19 July 2021,https://www.bbc.co.uk/news/entertainment-arts-57886661
"New Orleans Pelicans' Josh Hart talks basketball, wine and LeBron James",2 June 2021,https://www.bbc.co.uk/sport/av/57287021
NBA: LeBron James' no-look assist as LA Lakers lose to Phoenix Suns,31 May 2021,https://www.bbc.co.uk/sport/av/basketball/57305811
NBA: LeBron James stars as the Los Angeles Lakers beat the Golden State Warriors in play-ins,20 May 2021,https://www.bbc.co.uk/sport/av/basketball/57183927
LeBron James: Is this the end of an era for one of the NBA's greatest players?,4 June 2021,https://www.bbc.co.uk/sport/basketball/57361225
"Watch: LeBron James, Kevin Durant & Luka Doncic star in NBA plays of the season",18 May 2021,https://www.bbc.co.uk/sport/av/basketball/57156362
NBA: LeBron James guides LA Lakers to play-offs with play-in win over Golden State Warriors,20 May 2021,https://www.bbc.co.uk/sport/basketball/57182387
LeBron James: 'Ultra-rare' NBA trading card sold for $5.2m,27 April 2021,https://www.bbc.co.uk/sport/basketball/56901143
Watch LeBron James' 'circus shot' in NBA plays of the week,23 March 2021,https://www.bbc.co.uk/sport/av/basketball/56483331
NBA: LeBron James returns from 20-game absence but LA Lakers lose to Sacramento Kings,1 May 2021,https://www.bbc.co.uk/sport/basketball/56954626
NBA: LeBron James helps LA Lakers beat Golden State Warriors,16 March 2021,https://www.bbc.co.uk/sport/basketball/56411872
NBA: LeBron James records 98th triple-double as Los Angeles Lakers beat Golden State Warriors,16 March 2021,https://www.bbc.co.uk/sport/av/basketball/56414923
LeBron James: Los Angeles Lakers star injures ankle in defeat by Atlanta Hawks,21 March 2021,https://www.bbc.co.uk/sport/basketball/56474291
LeBron James happy to have fans back despite Atlanta Hawks courtside argument,2 February 2021,https://www.bbc.co.uk/sport/av/basketball/55902150
LeBron James: NBA superstar's evolution from high school prodigy,4 March 2021,https://www.bbc.co.uk/sport/basketball/56186430
NBA: Los Angeles Lakers lose again with LeBron James and Anthony Davis,24 March 2021,https://www.bbc.co.uk/sport/basketball/56494497
LeBron James of Los Angeles Lakers scores 46 points on return to Cleveland Cavaliers,26 January 2021,https://www.bbc.co.uk/sport/av/basketball/55809415
NBA: LeBron James scores season-high 34 points against Bucks,22 January 2021,https://www.bbc.co.uk/sport/av/basketball/55764373
NBA: LeBron James makes 'no-look' three pointer for LA Lakers,13 January 2021,https://www.bbc.co.uk/sport/av/basketball/55648856
NBA: LeBron James stars against Oklahoma City as Los Angeles Lakers win six in a row,11 February 2021,https://www.bbc.co.uk/sport/basketball/56022204
"LeBron James: LA Lakers great marks 1,300th NBA regular-season game with victory",1 March 2021,https://www.bbc.co.uk/sport/basketball/56236587
NBA: LeBron James shines as Los Angeles Lakers beat Oklahoma City Thunder in overtime,9 February 2021,https://www.bbc.co.uk/sport/basketball/55992334
NBA: LeBron James display helps LA Lakers maintain 100% record on the road,22 January 2021,https://www.bbc.co.uk/sport/basketball/55762300
