player,date,url,textblob_Sentiment,key_words_score,sentiment_bert_average_score,sentiment_roberta_average_score,sentiment_xlnet_average_score,sentiment_distilbert_average_score,bert_relevance,nltk_Sentiment,number_of_articles
Kyle Lowry,2015-16,"['https://www.bbc.co.uk/sport/basketball/35666842', 'https://www.bbc.co.uk/sport/basketball/35319985', 'https://www.bbc.co.uk/sport/35210714']",0.19568542568542568,0.9333333333333332,0.6050791405601266,0.5358824726240135,0.6086954165388037,0.5190822103141267,0.6861563324928284,0.8479000000000001,3
LeBron James,2015-16,['https://www.bbc.co.uk/sport/basketball/35132008'],0.1585516418105703,1.0,0.6172867566347122,0.5262610018253326,0.5721141546964645,0.5179344713687897,0.7007326483726501,0.9751,1
Luol Deng,2015-16,"['https://www.bbc.co.uk/sport/basketball/35244842', 'https://www.bbc.co.uk/sport/basketball/35066468']",0.1983703796203796,0.9,0.5865676601727803,0.541856175661087,0.5888892928759257,0.5256220330794652,0.6827898025512695,0.9429,2
Michael Carter-Williams,2015-16,"['https://www.bbc.co.uk/sport/wales/35768306', 'https://www.bbc.co.uk/sport/wales/35702537', 'http://www.bbc.co.uk/sport/snooker/35900137', 'https://www.bbc.co.uk/sport/wales/36031098', 'https://www.bbc.co.uk/sport/snooker/35897144', 'https://www.bbc.co.uk/sport/snooker/35888016', 'https://www.bbc.co.uk/sport/rugby-union/34671255', 'https://www.bbc.co.uk/sport/snooker/35857959', 'https://www.bbc.co.uk/sport/snooker/35848150', 'http://www.bbc.co.uk/sport/0/snooker/35731873', 'https://www.bbc.co.uk/sport/rugby-union/34690701', 'https://www.bbc.co.uk/sport/rugby-union/34877656', 'http://www.bbc.co.uk/sport/0/sports-personality/34868769', 'https://www.bbc.co.uk/sport/snooker/35485492', 'https://www.bbc.co.uk/sport/snooker/35544725', 'http://www.bbc.co.uk/sport/snooker/34735557', 'http://www.bbc.co.uk/sport/snooker/34958918', 'http://www.bbc.co.uk/sport/rugby-union/34690513', 'https://www.bbc.co.uk/sport/35706859', 'https://www.bbc.co.uk/sport/wales/35768306', 'https://www.bbc.co.uk/sport/wales/35702537', 'http://www.bbc.co.uk/sport/snooker/35900137', 'https://www.bbc.co.uk/sport/wales/36031098', 'https://www.bbc.co.uk/sport/snooker/35897144', 'https://www.bbc.co.uk/sport/snooker/35888016', 'https://www.bbc.co.uk/sport/rugby-union/34671255', 'https://www.bbc.co.uk/sport/snooker/35857959', 'https://www.bbc.co.uk/sport/snooker/35848150', 'http://www.bbc.co.uk/sport/0/snooker/35731873', 'https://www.bbc.co.uk/sport/rugby-union/34690701', 'https://www.bbc.co.uk/sport/rugby-union/34877656', 'http://www.bbc.co.uk/sport/0/sports-personality/34868769', 'https://www.bbc.co.uk/sport/snooker/35485492', 'https://www.bbc.co.uk/sport/snooker/35544725', 'http://www.bbc.co.uk/sport/snooker/34735557', 'http://www.bbc.co.uk/sport/snooker/34958918', 'http://www.bbc.co.uk/sport/rugby-union/34690513', 'https://www.bbc.co.uk/sport/35706859']",0.24966009780307316,0.7894736842105268,0.594781928670389,0.5335885674457019,0.5930063055080648,0.527919997339383,0.7013583779335022,0.26780000000000004,38
Mo Williams,2015-16,"['https://www.bbc.co.uk/sport/rugby-union/35836766', 'https://www.bbc.co.uk/sport/rugby-union/35798683', 'https://www.bbc.co.uk/sport/football/35718075', 'https://www.bbc.co.uk/sport/rugby-union/35338317', 'https://www.bbc.co.uk/sport/football/35108664', 'https://www.bbc.co.uk/sport/boxing/34937771', 'https://www.bbc.co.uk/sport/football/34894355']",0.11058505926190233,0.9714285714285714,0.5926102828006355,0.5333136981847334,0.5918737433597344,0.5264661872670764,0.7007362842559814,0.9444142857142858,7
Nikola Vučević,2015-16,['https://www.bbc.co.uk/sport/basketball/35312390'],-0.0209876543209876,0.6000000000000001,0.5411436855792999,0.5309115648269653,0.5131369531154633,0.5135470628738403,0.7019129991531372,0.8381,1
Rajon Rondo,2015-16,['https://www.bbc.co.uk/sport/basketball/35099861'],0.1334866522366522,1.0,0.594233825802803,0.548873171210289,0.6360889971256256,0.5371633470058441,0.7071846723556519,0.9627,1
Reggie Jackson,2015-16,['https://www.bbc.co.uk/sport/american-football/35519220'],0.1363253749617386,0.4,0.5542592629790306,0.5343815609812737,0.5355512499809265,0.5280511453747749,0.6994715929031372,0.9987,1
Rudy Gay,2015-16,['http://www.bbc.co.uk/sport/0/football/35737587'],0.1647849462365591,0.6000000000000001,0.5629056692123413,0.537725493311882,0.5589113533496857,0.5266590118408203,0.6864668130874634,0.9947,1
Stephen Curry,2015-16,"['https://www.bbc.co.uk/sport/basketball/35681271', 'https://www.bbc.co.uk/sport/basketball/35976488', 'http://www.bbc.co.uk/sport/basketball/35640891', 'https://www.bbc.co.uk/sport/basketball/35666842', 'https://www.bbc.co.uk/sport/basketball/35994800', 'https://www.bbc.co.uk/sport/basketball/35855809', 'https://www.bbc.co.uk/sport/basketball/34918642', 'https://www.bbc.co.uk/sport/basketball/35949980', 'https://www.bbc.co.uk/sport/basketball/35666661']",0.27262435250434175,0.9333333333333331,0.5761363602504529,0.5255126912127097,0.5820281213868863,0.5290278055995861,0.6926319599151611,0.8019222222222223,9
Vander Blue,2015-16,"['http://www.bbc.co.uk/sport/0/football/35737587', 'https://www.bbc.co.uk/sport/american-football/35523777']",0.12103058232090486,0.7000000000000001,0.5928301902280914,0.5434935341278713,0.6225359398457739,0.5302379156152408,0.6433662176132202,0.9955,2
Victor Oladipo,2015-16,"['https://www.bbc.co.uk/sport/basketball/35319985', 'https://www.bbc.co.uk/sport/football/35175445']",0.211218487394958,0.9,0.589523845911026,0.5269407868385315,0.5733166128396988,0.5419158905744552,0.7001675367355347,0.83545,2
Wesley Matthews,2015-16,"['https://www.bbc.co.uk/sport/darts/34821484', 'https://www.bbc.co.uk/sport/darts/35226883']",0.35134038115655764,0.7000000000000001,0.5879772021656945,0.5241767537026178,0.607110681278365,0.5224758372420356,0.681757926940918,0.16855000000000003,2
