player,date,url,textblob_Sentiment,key_words_score,sentiment_bert_average_score,sentiment_roberta_average_score,sentiment_xlnet_average_score,sentiment_distilbert_average_score,bert_relevance,nltk_Sentiment,number_of_articles
Anthony Davis,2014-15,"['https://www.bbc.co.uk/sport/wales/31479598', 'https://www.bbc.co.uk/sport/disability-sport/31579294', 'https://www.bbc.co.uk/sport/football/30196434', 'https://www.bbc.co.uk/sport/wales/30771645']",0.13299079859216414,0.65,0.5799541423718135,0.5503290668129921,0.5632464165488879,0.5261451105276743,0.598890483379364,0.6864,4
Brook Lopez,2014-15,['https://www.bbc.co.uk/sport/rugby-union/31932746'],0.176984126984127,0.8,0.5805869698524475,0.5193859457969665,0.6055757761001587,0.5262587428092956,0.5714473128318787,0.9343,1
Chris Paul,2014-15,"['https://www.bbc.co.uk/sport/football/32204159', 'https://www.bbc.co.uk/sport/football/29873833', 'https://www.bbc.co.uk/sport/football/32248021']",0.12510234501161918,0.6666666666666666,0.5463319569826126,0.5373104595475726,0.6174045470025805,0.5281134198109309,0.5868707299232483,0.7136666666666667,3
Damian Lillard,2014-15,['https://www.bbc.co.uk/sport/basketball/31470307'],0.1033057851239669,0.6000000000000001,0.561423271894455,0.516774594783783,0.5207189917564392,0.5368022322654724,0.5896191000938416,0.9694,1
David Lee,2014-15,"['https://www.bbc.co.uk/sport/football/31888718', 'https://www.bbc.co.uk/sport/football/31453660', 'https://www.bbc.co.uk/sport/canoeing/32190124']",0.10025573192239856,0.7333333333333334,0.5886627485354742,0.5394770188464059,0.5712484899494382,0.5252941929631763,0.578113317489624,0.3078666666666667,3
DeAndre Jordan,2014-15,"['https://www.bbc.co.uk/sport/basketball/30882487', 'https://www.bbc.co.uk/sport/american-football/31062512']",0.11907043924089375,0.8,0.5697966760822705,0.5300024385963167,0.5517075551407677,0.5202283869896616,0.5992860198020935,0.9523999999999999,2
Deron Williams,2014-15,['https://www.bbc.co.uk/sport/basketball/30882487'],0.1534722222222222,1.0,0.5703325718641281,0.539036899805069,0.6566181182861328,0.5121732354164124,0.5977617502212524,0.9901,1
Dwyane Wade,2014-15,['https://www.bbc.co.uk/sport/basketball/31470307'],0.1033057851239669,0.6000000000000001,0.5714417695999146,0.5572192668914795,0.6104572713375092,0.5392480492591858,0.6164332032203674,0.9694,1
Evan Turner,2014-15,['https://www.bbc.co.uk/sport/football/32017128'],0.0851851851851851,1.0,0.536286453406016,0.5519620180130005,0.6149320006370544,0.5151595671971639,0.6015520095825195,0.9524,1
George Hill,2014-15,['https://www.bbc.co.uk/sport/horse-racing/29902547'],0.215,0.8,0.6048206388950348,0.5161241292953491,0.5977355539798737,0.5307392776012421,0.5783186554908752,0.9153,1
