title,date,url,player,textblob_sentiment,relevance_score
Inside F1 - Malaysian Grand Prix qualifying,2012,https://www.bbc.co.uk/sport/av/formula1/17498504,David Lee,0.5,0.0
Inside F1 - Australian Grand Prix qualifying,2012,https://www.bbc.co.uk/sport/av/formula1/17414181,David Lee,0.25,0.0
Your Letters,2012,http://www.bbc.co.uk/blogs/magazinemonitor/2012/03/your_letters_1361.shtml,David Lee,0.0,0.0
Barnsley complete signing of Lee Collins from Port Vale,2012,https://www.bbc.co.uk/sport/football/17369649,David Lee,0.1166666666666666,0.0686558424992132
TV and Radio Round up on the BBC iPlayer - In Touch with a new town and more,2012,http://www.bbc.co.uk/blogs/ouch/2012/02/tv_and_radio_round_up_on_the_b.html,David Lee,0.1454545454545454,0.0
Gary Johnson sees potential in Reading's Lawson D'Ath,2012,https://www.bbc.co.uk/sport/football/17049179,Joe Johnson,0.1095588235294117,0.07062924658384966
Worcestershire set to lose Gareth Andrew to injury,2012,https://www.bbc.co.uk/sport/cricket/16414383,Andrew Bynum,0.0549999999999999,0.017275735330562706
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Dwight Howard,0.2387205387205387,0.030002211174910295
London 2012: Olympic sport this week,2012,https://www.bbc.co.uk/sport/olympics/16678808,Dwight Howard,0.2167136034255599,0.006156562875673642
Sportsday Live - Monday 16 January,2012,http://news.bbc.co.uk/sport1/hi/front_page/9678373.stm,Dwight Howard,0.1363636363636363,0.0
Dag and Red 0-1 Northampton,2012,https://www.bbc.co.uk/sport/football/17268059,Tony Parker,0.2126377410468319,0.015890479424760146
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Dwyane Wade,0.2387205387205387,0.03753949444406292
Great Britain's Luol Deng to make NBA history,2012,https://www.bbc.co.uk/sport/basketball/16982141,Dwyane Wade,0.0590402703536184,0.026576951710163256
London 2012: Olympic sport this week,2012,https://www.bbc.co.uk/sport/olympics/16678808,Dwyane Wade,0.2167136034255599,0.006156562875673642
Sportsday Live - Monday 16 January,2012,http://news.bbc.co.uk/sport1/hi/front_page/9678373.stm,Dwyane Wade,0.1363636363636363,0.0
"CBE for Professor John Wallwork, retired Papworth surgeon",2012,https://www.bbc.co.uk/news/uk-england-cambridgeshire-16355355,John Wall,0.0,0.295272774156973
British Soap Awards 2012 - show your support,2012,http://www.bbc.co.uk/blogs/eastenders/2012/02/british-soap-awards-2012---sho.shtml,John Wall,0.0,0.0
Major Peirson painting returns to Jersey for exhibition,2012,http://www.bbc.co.uk/news/world-europe-jersey-17608278,John Wall,0.0625,0.0
Front Row: World Book Night; Mark Ravenhill; Winning Words at Olympic Park,2012,https://www.bbc.co.uk/programmes/b01gf5ww,John Wall,0.5,0.0
Gloucester 19-24 Sale,2012,https://www.bbc.co.uk/sport/rugby-union/17749428,James Harden,0.118491796269574,0.033150325852231446
Gloucester 29-23 Harlequins,2012,https://www.bbc.co.uk/sport/rugby-union/17106624,James Harden,0.1333109152752009,0.03432644132912991
Leicester 36-3 Gloucester,2012,https://www.bbc.co.uk/sport/rugby-union/17196209,James Harden,0.0957981310803891,0.029018035298152903
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Chris Bosh,0.2387205387205387,0.0450915563258458
London 2012: Olympic sport this week,2012,https://www.bbc.co.uk/sport/olympics/16678808,Chris Bosh,0.2167136034255599,0.012323022679668503
Sportsday Live - Monday 16 January,2012,http://news.bbc.co.uk/sport1/hi/front_page/9678373.stm,Chris Bosh,0.1363636363636363,0.0
Hamilton 0-1 Falkirk,2012,https://www.bbc.co.uk/sport/football/17086210,Ryan Anderson,-0.0642857142857143,0.061927046639950044
Morton 1-2 Hamilton,2012,https://www.bbc.co.uk/sport/football/17162133,Ryan Anderson,0.1,0.061496537397725634
Hamilton 2-1 Raith Rovers,2012,https://www.bbc.co.uk/sport/football/17108476,Ryan Anderson,0.2590909090909091,0.0606532297512141
Rawtenstall death: Ryan Anderton window fall theory,2012,https://www.bbc.co.uk/news/uk-england-lancashire-17054534,Ryan Anderson,0.0,0.295272774156973
Hamilton 1-2 Morton,2012,https://www.bbc.co.uk/sport/football/17036143,Ryan Anderson,0.0952777777777778,0.057875450046504864
Clyde 1-2 Queen's Park,2012,https://www.bbc.co.uk/sport/football/16375139,Ryan Anderson,-0.0282738095238095,0.0505932722379449
