title,date,url,player,textblob_sentiment,sentiment_bert_average_score,sentiment_xlnet_average_score,bert_relevance,relevance_score
Golden Globes: winners in full,2012,https://www.bbc.co.uk/news/entertainment-arts-16570820,Paul Pierce,0.3249999999999999,0.5392184853553772,0.6656803488731384,0.5850349068641663,0.0
"A Point of View: Past, present and future",2012,https://www.bbc.co.uk/news/magazine-16347803,Al Jefferson,-0.0833333333333333,0.5627864003181458,0.7195838689804077,0.5845980644226074,0.0
Grand National: Aintree runners and riders,2012,https://www.bbc.co.uk/sport/horse-racing/17371976,Al Jefferson,0.1611691737418482,0.5753698100646337,0.5650675942500433,0.5845980644226074,0.0026750664700915
EastEnders leads British Soap Award nominations,2012,https://www.bbc.co.uk/news/newsbeat-17628076,Danny Granger,0.0,0.5451956987380981,0.5476287603378296,0.5906211137771606,0.0
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Deron Williams,0.2387205387205387,0.5424899458885193,0.5592461377382278,0.6021370887756348,0.0300022111749102
London 2012: Olympic sport this week,2012,https://www.bbc.co.uk/sport/olympics/16678808,Deron Williams,0.2167136034255599,0.5752560604702343,0.5911006060513583,0.6021370887756348,0.0092385541706939
Sportsday Live - Monday 16 January,2012,http://news.bbc.co.uk/sport1/hi/front_page/9678373.stm,Deron Williams,0.1363636363636363,0.5297195911407471,0.6037989854812622,0.6021370887756348,0.0
Ex-Chelmsford mayor David Lee fails in child pornography appeal,2012,https://www.bbc.co.uk/news/uk-england-essex-16661062,David Lee,-0.5,0.7305272221565247,0.5374429821968079,0.5735630393028259,0.5958516310426969
Six Nations: Lee Jones and David Denton start for Scotland,2012,https://www.bbc.co.uk/sport/rugby-union/16812153,David Lee,0.1784611992945326,0.5652868896722794,0.5292732417583466,0.5735630393028259,0.0359820040150191
David Cameron promises missing child Katrice Lee inquiry,2012,https://www.bbc.co.uk/news/uk-england-17767090,David Lee,-0.2,0.6490355134010315,0.6631223559379578,0.5735630393028259,0.5958516310426968
David Leeman denies shooting his Devon wife Jennie Leeman,2012,https://www.bbc.co.uk/news/uk-england-devon-16425416,David Lee,0.0,0.5078637003898621,0.5138577818870544,0.5735630393028259,0.2569828877798966
David Cameron holds Q&A in Leeds,2012,https://www.bbc.co.uk/news/uk-politics-16682190,David Lee,0.0,0.5096299052238464,0.5286630988121033,0.5735630393028259,0.420613857886058
Manager Steve Davis welcomes back experienced Crewe duo,2012,https://www.bbc.co.uk/sport/av/football/17076787,David Lee,0.4,0.5727360844612122,0.6650572419166565,0.5735630393028259,0.0
Inside F1 - Malaysian Grand Prix qualifying,2012,https://www.bbc.co.uk/sport/av/formula1/17498504,David Lee,0.5,0.7192721366882324,0.6799861192703247,0.5735630393028259,0.0
Inside F1 - Australian Grand Prix qualifying,2012,https://www.bbc.co.uk/sport/av/formula1/17414181,David Lee,0.25,0.5183030366897583,0.5327078700065613,0.5735630393028259,0.0
Your Letters,2012,http://www.bbc.co.uk/blogs/magazinemonitor/2012/03/your_letters_1361.shtml,David Lee,0.0,0.5395849347114563,0.7405863404273987,0.5735630393028259,0.0
Barnsley complete signing of Lee Collins from Port Vale,2012,https://www.bbc.co.uk/sport/football/17369649,David Lee,0.1166666666666666,0.5235037803649902,0.5348846912384033,0.5735630393028259,0.0686558424992132
TV and Radio Round up on the BBC iPlayer - In Touch with a new town and more,2012,http://www.bbc.co.uk/blogs/ouch/2012/02/tv_and_radio_round_up_on_the_b.html,David Lee,0.1454545454545454,0.5461463928222656,0.589347779750824,0.5735630393028259,0.0
Gary Johnson sees potential in Reading's Lawson D'Ath,2012,https://www.bbc.co.uk/sport/football/17049179,Joe Johnson,0.1095588235294117,0.5317084789276123,0.5963559548060099,0.5884259343147278,0.0706292465838496
Worcestershire set to lose Gareth Andrew to injury,2012,https://www.bbc.co.uk/sport/cricket/16414383,Andrew Bynum,0.0549999999999999,0.5369302034378052,0.6391513347625732,0.5800080895423889,0.0172757353305627
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Dwight Howard,0.2387205387205387,0.5489899516105652,0.567321166396141,0.5625699758529663,0.0300022111749102
London 2012: Olympic sport this week,2012,https://www.bbc.co.uk/sport/olympics/16678808,Dwight Howard,0.2167136034255599,0.5888709209182046,0.5777850801294501,0.5625699758529663,0.0061565628756736
Sportsday Live - Monday 16 January,2012,http://news.bbc.co.uk/sport1/hi/front_page/9678373.stm,Dwight Howard,0.1363636363636363,0.543326199054718,0.5431708693504333,0.5625699758529663,0.0
Dag and Red 0-1 Northampton,2012,https://www.bbc.co.uk/sport/football/17268059,Tony Parker,0.2126377410468319,0.5930675864219666,0.5442891120910645,0.5841730237007141,0.0158904794247601
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Dwyane Wade,0.2387205387205387,0.5577898770570755,0.5381107032299042,0.5753130316734314,0.0375394944440629
Great Britain's Luol Deng to make NBA history,2012,https://www.bbc.co.uk/sport/basketball/16982141,Dwyane Wade,0.0590402703536184,0.5691293676694235,0.5582027435302734,0.5753130316734314,0.0265769517101632
London 2012: Olympic sport this week,2012,https://www.bbc.co.uk/sport/olympics/16678808,Dwyane Wade,0.2167136034255599,0.5771400061520663,0.582701715556058,0.5753130316734314,0.0061565628756736
Sportsday Live - Monday 16 January,2012,http://news.bbc.co.uk/sport1/hi/front_page/9678373.stm,Dwyane Wade,0.1363636363636363,0.611154317855835,0.5213891863822937,0.5753130316734314,0.0
"CBE for Professor John Wallwork, retired Papworth surgeon",2012,https://www.bbc.co.uk/news/uk-england-cambridgeshire-16355355,John Wall,0.0,0.6264897584915161,0.5701456069946289,0.5764533281326294,0.295272774156973
British Soap Awards 2012 - show your support,2012,http://www.bbc.co.uk/blogs/eastenders/2012/02/british-soap-awards-2012---sho.shtml,John Wall,0.0,0.579257071018219,0.5926761627197266,0.5764533281326294,0.0
Major Peirson painting returns to Jersey for exhibition,2012,http://www.bbc.co.uk/news/world-europe-jersey-17608278,John Wall,0.0625,0.5334894061088562,0.5237398147583008,0.5764533281326294,0.0
Front Row: World Book Night; Mark Ravenhill; Winning Words at Olympic Park,2012,https://www.bbc.co.uk/programmes/b01gf5ww,John Wall,0.5,0.519444465637207,0.5066235661506653,0.5764533281326294,0.0
Gloucester 19-24 Sale,2012,https://www.bbc.co.uk/sport/rugby-union/17749428,James Harden,0.118491796269574,0.5461082220077514,0.5474067211151123,0.5816807746887207,0.0331503258522314
Gloucester 29-23 Harlequins,2012,https://www.bbc.co.uk/sport/rugby-union/17106624,James Harden,0.1333109152752009,0.5893811242921012,0.5801106776509967,0.5816807746887207,0.0343264413291299
Leicester 36-3 Gloucester,2012,https://www.bbc.co.uk/sport/rugby-union/17196209,James Harden,0.0957981310803891,0.564056658744812,0.5491120338439941,0.5816807746887207,0.0290180352981529
London 2012: LeBron James and Kobe Bryant in US Olympic squad,2012,https://www.bbc.co.uk/sport/basketball/16586122,Chris Bosh,0.2387205387205387,0.5659633427858353,0.6163017451763153,0.5798805952072144,0.0450915563258458
London 2012: Olympic sport this week,2012,https://www.bbc.co.uk/sport/olympics/16678808,Chris Bosh,0.2167136034255599,0.5947471802884882,0.5789594379338351,0.5798805952072144,0.0123230226796685
Sportsday Live - Monday 16 January,2012,http://news.bbc.co.uk/sport1/hi/front_page/9678373.stm,Chris Bosh,0.1363636363636363,0.5280417203903198,0.537777841091156,0.5798805952072144,0.0
Hamilton 0-1 Falkirk,2012,https://www.bbc.co.uk/sport/football/17086210,Ryan Anderson,-0.0642857142857143,0.592654675245285,0.5885965824127197,0.5659393072128296,0.06192704663995
Morton 1-2 Hamilton,2012,https://www.bbc.co.uk/sport/football/17162133,Ryan Anderson,0.1,0.5832888782024384,0.5993974804878235,0.5659393072128296,0.0614965373977256
Hamilton 2-1 Raith Rovers,2012,https://www.bbc.co.uk/sport/football/17108476,Ryan Anderson,0.2590909090909091,0.5892834067344666,0.5428500374158224,0.5659393072128296,0.0606532297512141
Rawtenstall death: Ryan Anderton window fall theory,2012,https://www.bbc.co.uk/news/uk-england-lancashire-17054534,Ryan Anderson,0.0,0.5444962382316589,0.501345694065094,0.5659393072128296,0.295272774156973
Hamilton 1-2 Morton,2012,https://www.bbc.co.uk/sport/football/17036143,Ryan Anderson,0.0952777777777778,0.5413208603858948,0.5413219928741455,0.5659393072128296,0.0578754500465048
Clyde 1-2 Queen's Park,2012,https://www.bbc.co.uk/sport/football/16375139,Ryan Anderson,-0.0282738095238095,0.581032395362854,0.5265670716762543,0.5659393072128296,0.0505932722379449
Question Time,2012,http://news.bbc.co.uk/democracylive/hi/northern_ireland/newsid_9681000/9681783.stm,Ryan Anderson,0.0,0.6499050855636597,0.6859827041625977,0.5659393072128296,0.0
Alloa Athletic 1-0 Clyde,2012,https://www.bbc.co.uk/sport/football/17162199,Ryan Anderson,0.1086805555555555,0.5697380701700846,0.5734964807828268,0.5659393072128296,0.0511786865674039
Worcestershire set to lose Gareth Andrew to injury,2012,https://www.bbc.co.uk/sport/cricket/16414383,Marcus Thornton,0.0549999999999999,0.5901605188846588,0.6199195683002472,0.5763582587242126,0.0172757353305627
AFC Wimbledon boss Terry Brown says Jason Prior has suffered broken leg,2012,https://www.bbc.co.uk/sport/av/football/17706601,Jason Terry,-0.2,0.5382584929466248,0.5518388152122498,0.5591647624969482,0.4243509049440167
Calls for John Terry to step down as England captain,2012,https://www.bbc.co.uk/newsround/16849460,Jason Terry,-0.1555555555555555,0.5211457014083862,0.6565213203430176,0.5591647624969482,0.346970637829756
Ex-Wimbledon striker Jason Euell joins AFC Wimbledon on loan,2012,https://www.bbc.co.uk/sport/football/16494258,Jason Terry,0.2987179487179487,0.5579270521799723,0.5707828203837076,0.5591647624969482,0.0553409601823352
Crawley Town 1-1 AFC Wimbledon,2012,https://www.bbc.co.uk/sport/football/17643359,Jason Terry,-0.0330578512396694,0.5401556491851807,0.5436590909957886,0.5591647624969482,0.0444868464987414
John Terry's role as England captain debated by FA bosses,2012,https://www.bbc.co.uk/sport/football/16846990,Jason Terry,0.0840110286538858,0.5713950097560883,0.5614988803863525,0.5591647624969482,0.0765806095283307
AFC Wimbledon sign Byron Harrison from Stevenage,2012,https://www.bbc.co.uk/sport/football/16497505,Jason Terry,0.2,0.5745383203029633,0.5571425259113312,0.5591647624969482,0.0549968984782991
"Pakistan v England, third one-day international, as it happened",2012,https://www.bbc.co.uk/sport/cricket/17080332,Kevin Garnett,0.1266573336489382,0.5746139403312437,0.5650846717819091,0.600888192653656,0.0025768661962709
Linfield and Portadown wait for news of injured strikers,2012,https://www.bbc.co.uk/sport/football/17074135,Wesley Matthews,0.0925407925407925,0.5828008850415548,0.5277674595514933,0.571195125579834,0.0117462387502538
Friday's gossip column,2012,http://news.bbc.co.uk/sport1/hi/football/gossip_and_transfers/9672259.stm,Wesley Matthews,0.1533170995670995,0.5643635392189026,0.6373186707496643,0.571195125579834,0.0125147946401217
