title,date,url,player,textblob_sentiment,relevance_score
Kobe Bryant: LeBron James leads tributes to LA Lakers legend,2020,https://www.bbc.co.uk/sport/basketball/51338764,Giannis Antetokounmpo,0.0533625730994152,0.028037079408389544
Famous sporting siblings: Brothers and sisters in sport,2020,https://www.bbc.co.uk/newsround/27507687,Giannis Antetokounmpo,0.5,0.0
Fight Talk: Who wins Wilder v Fury II? Was John Ryder robbed of world title?,2020,https://www.bbc.co.uk/sport/boxing/50547953,Giannis Antetokounmpo,0.1250969516594516,0.006155822798799797
NBA: Vince Carter becomes first player to play in four different decades,2020,https://www.bbc.co.uk/sport/basketball/50999401,Trae Young,0.1784090909090909,0.07995834975080963
"NBA All-Star Weekend 2020: Slam dunks, emotional tributes and the best players",2020,https://www.bbc.co.uk/sport/basketball/51488762,Trae Young,0.1762665719696969,0.022182341859429102
"NBA: LA rivalry, Zion Williamson & China disputes - the big talking points before new season",2020,https://www.bbc.co.uk/sport/basketball/50132656,Trae Young,0.1554373278236914,0.026977092312169593
World Series 2019: Houston Astros & Washington Nationals set for Fall Classic,2020,https://www.bbc.co.uk/sport/baseball/50122313,Trae Young,0.1344022415940224,0.022187012297421652
Super Bowl 2020: Kansas City beat San Francisco - Patrick Mahomes provides perfect finish,2020,https://www.bbc.co.uk/sport/american-football/51354055,Trae Young,0.1003057988523104,0.017991381466855777
"Super Bowl 2020: Who is playing, who are the favourites and where will the game be won?",2020,https://www.bbc.co.uk/sport/american-football/51334679,Trae Young,0.155262467191601,0.015300971495081268
'Take the next shot' - the new message from Kobe Bryant's final game,2020,https://www.bbc.co.uk/sport/basketball/51385296,Trae Young,0.0144758297258297,0.010740283756782508
Luka Doncic scores 40-point triple-double as Dallas Mavericks beat San Antonio Spurs,2020,https://www.bbc.co.uk/sport/basketball/50471018,Luka Dončić,0.3061224489795919,0.023656298530470483
NBA: Luka Doncic helps hand Golden State Warriors heaviest loss since 1973,2020,https://www.bbc.co.uk/sport/basketball/50499690,Luka Dončić,0.0397130647130647,0.0
NBA: 'Oh baby what a slam!' Zion Williamson and Luka Doncic shine in Rising Stars game,2020,https://www.bbc.co.uk/sport/av/basketball/51515252,Luka Dončić,-0.4,0.20746893161501812
