Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets
5541,"Leonard Returns With 31, Spurs Top Hawks, Tie For No. 1 Seed",2016-17,http://global.nba.com/news/leonard-returns-31-spurs-top-hawks-tie-no-1-seed/,NBA News,Default,Default,Default
5542,Rubio’s career night paces T-Wolves past Wizards,2016-17,http://global.nba.com/news/rubios-career-night-paces-t-wolves-past-wizards/,NBA News,Default,Default,Default
5543,Carter scores season-high 24 to lead Grizzlies past Bucks,2016-17,http://global.nba.com/news/carter-scores-season-high-24-lead-grizzlies-past-bucks/,NBA News,Default,Default,Default
5544,"Rondo provides spark as starter, Bulls top Hornets 115-109",2016-17,http://global.nba.com/news/rondo-provides-spark-starter-bulls-top-hornets-115-109/,NBA News,Default,Default,Default
5545,Jazz-Clippers matchup carries playoff implications,2016-17,http://global.nba.com/news/jazz-clippers-matchup-carries-playoff-implications/,NBA News,Default,Default,Default
5546,"Players Of The Week, Wall and Towns, Face Off Tonight",2016-17,http://global.nba.com/news/players-week-wall-towns-face-off-tonight/,NBA News,Default,Default,Default
5547,"John Wall, Karl-Anthony Towns named Players of the Week",2016-17,http://global.nba.com/news/john-wall-karl-anthony-towns-named-players-of-the-week/,Official release,Default,Default,Default
5548,San Antonio Spurs flex tried-and-true stability as season wanes,2016-17,http://global.nba.com/news/san-antonio-spurs-flex-tried-true-stability-season-wanes/,NBA News,Default,Default,Default
5549,"Power Rankings: No. 1 seeds at risk as schedule gets to Golden State Warriors, Cleveland Cavaliers",2016-17,http://global.nba.com/news/power-rankings-no-1-seeds-at-risk-as-schedule-gets-to-golden-state-warriors-cleveland-cavaliers-2/,John Schuhmann,890,84859,48341
5550,"While Injuries And Fatigue Plague Their Rivals, Houston Gains Confidence With Statement Win Over Cleveland",2016-17,http://global.nba.com/news/injuries-fatigue-plague-rivals-houston-gains-confidence-statement-win-cleveland/,NBA News,Default,Default,Default
5551,Trail Blazers bounce back to kick off crucial road trip,2016-17,http://global.nba.com/news/trail-blazers-bounce-back-kick-off-crucial-road-trip/,NBA News,Default,Default,Default
5552,Cavaliers burned by switching strategy,2016-17,http://global.nba.com/news/cavaliers-burned-switching-strategy/,NBA News,Default,Default,Default
5553,Wade insists Bulls have to turn things around as a unit,2016-17,http://global.nba.com/news/wade-insists-bulls-turn-things-around-unit/,NBA News,Default,Default,Default
5554,Porzingis: Knicks’ confusion spans ‘from top to bottom’,2016-17,http://global.nba.com/news/porzingis-knicks-confusion-spans-top-bottom/,NBA News,Default,Default,Default
5555,Live NBA Games in VR Available in Canada,2016-17,http://global.nba.com/news/live-nba-games-vr-available-canada/,NBA News,Default,Default,Default
5556,"Saric scores career-high 29, Sixers eek past Lakers",2016-17,http://global.nba.com/news/saric-scores-career-high-29-sixers-eek-past-lakers/,NBA News,Default,Default,Default
5557,"Harden records 16th triple-double, Rockets rally from 14 down to beat Cavs",2016-17,http://global.nba.com/news/harden-records-16th-triple-double-rockets-rally-14-beat-cavs/,NBA News,Default,Default,Default
5558,"Blazers withstand big Suns’ rally, pull away late",2016-17,http://global.nba.com/news/blazers-withstand-big-suns-rally-pull-away-late/,NBA News,Default,Default,Default
5559,Pacers cool off hot Heat in Indy behind big night from George,2016-17,http://global.nba.com/news/pacers-cool-off-hot-heat-indy-behind-big-night-george/,NBA News,Default,Default,Default
5560,"Nets snap 16 game home losing streak, beat city rival Knicks",2016-17,http://global.nba.com/news/nets-snap-16-game-home-losing-streak-beat-city-rival-knicks/,NBA News,Default,Default,Default
5561,Celtics hand Bulls fifth straight loss,2016-17,http://global.nba.com/news/celtics-hand-bulls-fifth-straight-loss/,NBA News,Default,Default,Default
5562,No rest for James Harden in MVP-caliber season,2016-17,http://global.nba.com/news/no-rest-james-harden-mvp-caliber-season/,NBA News,Default,Default,Default
5563,Spurs outlast Warriors in battle of reserves in critical game for West standings,2016-17,http://global.nba.com/news/spurs-outlasts-warriors-battle-reserves-critical-game-west-standings/,NBA News,Default,Default,Default
5564,Shootaround (March 12) — Anthony Davis celebrates birthday in style,2016-17,http://global.nba.com/news/shootaround-march-12-anthony-davis-celebrates-birthday-style/,NBA News,Default,Default,Default
5565,"Devin Booker hits winning shot, Suns beat Mavericks",2016-17,http://global.nba.com/news/devin-booker-hits-winning-shot-suns-beat-mavericks/,NBA News,Default,Default,Default
5566,"Down to the wire, Wizards edge Trail Blazers",2016-17,http://global.nba.com/news/wizards-trail-blazers-enter-riding-four-game-winning-streaks/,NBA News,Default,Default,Default
5567,"Davis goes for 46 pts, 21 rebs on his birthday, Pelicans win in OT",2016-17,http://global.nba.com/news/davis-goes-46-pts-21-rebs-birthday-pelicans-win-ot/,NBA News,Default,Default,Default
5568,"James’s triple-double leads Cavaliers over Magic, 116-104",2016-17,http://global.nba.com/news/jamess-triple-leads-cavaliers-magic-116-104/,NBA News,Default,Default,Default
5569,Fast start lifts Pistons to comfortable 112-92 win over Knicks,2016-17,http://global.nba.com/news/fast-start-lifts-pistons-comfortable-112-92-win-knicks/,NBA News,Default,Default,Default
5570,Paul powers Clippers in victory over 76ers,2016-17,http://global.nba.com/news/paul-powers-clippers-victory-76ers/,NBA News,Default,Default,Default
5571,Westbrook’s 32nd triple-double leads Thunder over Jazz,2016-17,http://global.nba.com/news/westbrook-32nd-triple-double-leads-thunder-jazz/,NBA News,Default,Default,Default
5572,Spurs’ Aldridge Out Indefinitely With Irregular Heartbeat,2016-17,http://global.nba.com/news/spurs-aldridge-indefinitely-irregular-heartbeat/,NBA News,Default,Default,Default
5573,"Wizards Rally, Top Kings In OT",2016-17,http://global.nba.com/news/wizards-rally-top-kings-ot/,NBA News,Default,Default,Default
5574,Schroder Shoots Hawks Past Raptors,2016-17,http://global.nba.com/news/schroder-shoots-hawks-past-raptors/,NBA News,Default,Default,Default
5575,Wolves Upset Warriors Behind Wiggins’ Big Second Half,2016-17,http://global.nba.com/news/wiggins-wolves-hand-warriors-4th-loss-6-games/,NBA News,Default,Default,Default
5576,"Bucks Sidestep Pacers, Move Into Playoff Race",2016-17,http://global.nba.com/news/bucks-sidestep-pacers-move-playoff-race/,NBA News,Default,Default,Default
5577,"Walker, Hornets Get First 40-Pt Win Since 2002",2016-17,http://global.nba.com/news/walker-hornets-get-first-40-pt-win-since-2002/,NBA News,Default,Default,Default
5578,Rockets Pull Away From Bulls In Second Half,2016-17,http://global.nba.com/news/rockets-pull-away-bulls-second-half/,NBA News,Default,Default,Default
5579,Celts Prepared for Challenging End to Lengthy Road Trip,2016-17,http://global.nba.com/news/celts-prepared-for-challenging-end-to-lengthy-road-trip/,Marc DAmico,88,None,None
5580,Shootaround (March 10) — Westbrook Gets Thunder Back On Track,2016-17,http://global.nba.com/news/shootaround-march-10-westbrook-gets-thunder-back-track/,NBA News,Default,Default,Default
5581,MVP Ladder: Numbers Alone Can’t Do Westbrook Justice,2016-17,http://global.nba.com/news/kia-race-to-the-mvp-ladder-numbers-alone-cant-do-russell-westbrook-justice/,Sekou Smith,None,None,None
5582,Lakers snap eight-game losing streak in victory at Phoenix,2016-17,http://global.nba.com/news/lakers-snap-eight-game-losing-streak-victory-phoenix/,NBA News,Default,Default,Default
5583,Nurkic posts career highs across the board in Portland’s dramatic win over Philly,2016-17,http://global.nba.com/news/nurkic-posts-career-highs-across-board-portlands-dramatic-win-philly/,NBA News,Default,Default,Default
5584,Clippers dominate Grizzlies on the road,2016-17,http://global.nba.com/news/clippers-dominate-grizzlies-road/,NBA News,Default,Default,Default
5585,Westbrook’s Historic Triple-Double Pushes Thunder Past Spurs,2016-17,http://global.nba.com/news/westbrooks-historic-triple-double-pushes-thunder-past-spurs/,NBA News,Default,Default,Default
5586,Pistons use fourth-quarter spurt to hand Cavs their third straight loss,2016-17,http://global.nba.com/news/pistons-use-fourth-quarter-spurt-hand-cavs-third-straight-loss/,NBA News,Default,Default,Default
5587,Holiday’s game falters since Cousins trade,2016-17,http://global.nba.com/news/holidays-game-falters-since-cousins-trade/,NBA News,Default,Default,Default
5588,Timberwolves’ confidence surging,2016-17,http://global.nba.com/news/timberwolves-confidence-surging/,NBA News,Default,Default,Default
5589,Ultra-confident Waiters fueling Heat’s playoff push,2016-17,http://global.nba.com/news/ultra-confident-waiters-fueling-heats-playoff-push/,NBA News,Default,Default,Default
5590,Fourth-quarter offensive woes return for Golden State Warriors,2016-17,http://global.nba.com/news/fourth-quarter-offensive-woes-return-golden-state-warriors/,NBA News,Default,Default,Default
5591,Spurs Extend League Record For 50-Win Seasons to 18 Straight,2016-17,http://global.nba.com/news/spurs-extend-league-record-50-win-seasons-18-straight/,NBA News,Default,Default,Default
5592,Kelly Olynyk: Posts 17 points on nine shots in Wednesday’s win over Warriors,2016-17,http://global.nba.com/news/kelly-olynyk-posts-17-points-on-nine-shots-in-wednesdays-win-over-warriors/,NBA News,Default,Default,Default
5593,"Raptors Defeat Pelicans, 94-87",2016-17,http://global.nba.com/news/raptors-defeat-pelicans-94-87/,Joel Bartilotta via RotoWire.com,None,None,None
5594,"Celtics Stifle Warriors In 4th, Beat Golden State Back-To-Back Years At Oracle Arena",2016-17,http://global.nba.com/news/celtics-stifle-warriors-4th-beat-golden-state-back-back-years-oracle-arena/,NBA News,Default,Default,Default
5595,Pacers sweep season series with Pistons,2016-17,http://global.nba.com/news/pacers-sweep-season-series-pistons/,NBA News,Default,Default,Default
5596,Raptors beat Pelicans as Davis exits with wrist injury,2016-17,http://global.nba.com/news/postgame-raptors-94-pelicans-87/,Jim Eichenhofer,2565,21361,44563
5597,Jazz beat Rockets for 4th straight win,2016-17,http://global.nba.com/news/jazz-play-rockets-swan-song-112-106-win/,NBA News,Default,Default,Default
5598,"Heat stay hot to beat Hornets, move within 1/2 game of playoff spot",2016-17,http://global.nba.com/news/heat-scorch-hornets/,NBA News,Default,Default,Default
5599,Young Stars Clash In Phoenix As Lakers Visit Suns,2016-17,http://global.nba.com/news/young-stars-clash-phoenix-lakers-visit-suns/,NBA News,Default,Default,Default
5600,"Heat defeat Hornets, 108-101",2016-17,http://global.nba.com/news/heat-defeat-hornets-108-101/,Joel Bartilotta via RotoWire.com,None,None,None
5601,"Payton posts second straight triple-double, Magic rally to best Bulls",2016-17,http://global.nba.com/news/bulls-fall-to-magic-98-91/,Matt Moreno,1636,None,None
5602,MVP Candidates Collide: Spurs Face Thunder,2016-17,http://global.nba.com/news/mvp-candidates-collide-spurs-face-thunder/,NBA News,Default,Default,Default
5603,"Pacers, Pistons Continue To Jostle For Playoff Positioning",2016-17,http://global.nba.com/news/pacers-pistons-continue-jostle-playoff-positioning/,NBA News,Default,Default,Default
5604,"Smith returns to practice, is questionable tonight",2016-17,http://global.nba.com/news/smith-returns-practice-questionable-tonight/,NBA News,Default,Default,Default
5605,Kia Rookie Ladder: Embiid’s injury-induced departure may lead to frantic finish,2016-17,http://global.nba.com/news/kia-rookie-ladder-embiids-injury-induced-departure-may-lead-frantic-finish/,NBA News,Default,Default,Default
5606,"One Team, Three Stats: Close games push Celtics higher in the Eastern Conference",2016-17,http://global.nba.com/news/one-team-three-stats-close-games-push-celtics-higher-eastern-conference/,NBA News,Default,Default,Default
5607,Blogtable: Will Charlotte Hornets or Portland Trail Blazers miss playoffs?,2016-17,http://global.nba.com/news/blogtable-will-charlotte-hornets-portland-trail-blazers-miss-playoffs/,NBA News,Default,Default,Default
5608,Blogtable: Why are New Orleans Pelicans struggling since their big trade?,2016-17,http://global.nba.com/news/blogtable-new-orleans-pelicans-struggling-since-big-trade/,NBA News,Default,Default,Default
5609,"With injury to Kevin Durant, Warriors’ aura of invincibility gone",2016-17,http://global.nba.com/news/injury-kevin-durant-warriors-aura-invincibility-gone/,NBA News,Default,Default,Default
5610,"Shootaround: Dirk Adds to his Dallas lore with 30,000-point moment",2016-17,http://global.nba.com/news/shootaround-dirk-adds-dallas-lore-30000-point-moment/,NBA News,Default,Default,Default
5611,"Bogdanovic, Beal, Wall lead Wizards past pesky Suns, 131-127",2016-17,http://global.nba.com/news/bogdanovic-beal-wall-lead-wizards-past-pesky-suns-131-127/,NBA News,Default,Default,Default
5612,Trail Blazers overcome Westbrook’s career-high 58 to top Thunder,2016-17,http://global.nba.com/news/trail-blazers-overcome-westbrooks-career-high-58-top-thunder/,NBA News,Default,Default,Default
5613,"Nowitzki tops 30,000 career points as Mavs roll past Lakers, 122-111",2016-17,http://global.nba.com/news/nowitzki-tops-30000-career-points-mavs-roll-past-lakers-122-111/,NBA News,Default,Default,Default
5614,NBA LEAGUE PASS Race to the Playoffs Free Trial,2016-17,http://global.nba.com/news/nba-league-pass-race-playoffs-free-trial/,NBA News,Default,Default,Default
5615,Live NBA Games in VR Now Available in Canada,2016-17,http://global.nba.com/news/live-nba-games-vr-now-available-canada/,NBA News,Default,Default,Default
5616,Lowry vague on details for return,2016-17,http://global.nba.com/news/lowry-vague-details-return/,NBA News,Default,Default,Default
5617,Isaiah Thomas not pleased with Celtics recent play,2016-17,http://global.nba.com/news/isaiah-not-pleased-celtics-recent-play/,NBA News,Default,Default,Default
5618,Kawhi making MVP case with clutch performances,2016-17,http://global.nba.com/news/kawhi-making-mvp-case-clutch-performances/,NBA News,Default,Default,Default
5619,"Clippers go on 2nd half blitz, beat Celtics",2016-17,http://global.nba.com/news/%e2%80%a2clippers-go-2nd-half-blitz-beat-celtics/,NBA News,Default,Default,Default
5620,"Kawhi wins duel with Harden, Spurs rally to beat Rockets",2016-17,http://global.nba.com/news/kawhi-wins-duel-harden-spurs-rally-beat-rockets/,NBA News,Default,Default,Default
5621,"Hornets jump out to fast start, hold off Pacers’ comeback bid",2016-17,http://global.nba.com/news/hornets-jump-fast-start-hold-off-pacers-comeback-bid/,NBA News,Default,Default,Default
5622,"Pistons beat Bulls, pull into tie for 7th place in East",2016-17,http://global.nba.com/news/pistons-beat-bulls-pull-tie-7th-place-east/,NBA News,Default,Default,Default
5623,Iguodala scores season-high 24 to lead Warriors past Hawks,2016-17,http://global.nba.com/news/iguodala-scores-season-high-24-lead-warriors-past-hawks/,NBA News,Default,Default,Default
5624,"Bogut breaks leg in debut, Cavs lose 106-98 to Heat",2016-17,http://global.nba.com/news/bogut-breaks-leg-debut-cavs-lose-106-98-heat/,NBA News,Default,Default,Default
5625,Bogut fractures left tibia in first action with Cavs,2016-17,http://global.nba.com/news/bogut-fractures-left-tibia-first-action-cavs/,NBA News,Default,Default,Default
