,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
277,LeBron James,3026,82,2251,CLEVELAND CAVALIERS,33,747,1580,531,406,71,612,82,857,388,149,97,136,['POWER FORWARD'],jamesle01,116,347
214,James Harden,2551,72,2191,HOUSTON ROCKETS,28,630,1449,727,722,50,348,72,651,624,265,41,169,['SHOOTING GUARD'],hardeja01,126,315
135,Anthony Davis,2727,75,2110,NEW ORLEANS PELICANS,24,174,1462,598,162,193,645,75,780,495,55,187,159,['POWER FORWARD'],davisan02,115,162
569,Russell Westbrook,2914,80,2028,OKLAHOMA CITY THUNDER,29,820,1687,566,326,20,652,80,757,417,97,152,200,['POINT GUARD'],westbru01,147,381
15,Giannis Antetokounmpo,2756,75,2014,MILWAUKEE BUCKS,23,361,1402,641,140,106,597,75,742,487,43,156,231,['POWER FORWARD'],antetgi01,109,223
335,Damian Lillard,2670,73,1962,PORTLAND TRAIL BLAZERS,27,481,1415,538,629,27,263,73,621,493,227,62,117,['POINT GUARD'],lillada01,77,206
38,Bradley Beal,2977,82,1857,WASHINGTON WIZARDS,24,373,1484,369,530,36,302,82,683,292,199,61,160,['SHOOTING GUARD'],bealbr01,96,214
143,DeMar DeRozan,2711,80,1840,TORONTO RAPTORS,28,417,1413,559,287,22,256,80,645,461,89,59,151,['SHOOTING GUARD'],derozde01,85,175
157,Kevin Durant,2325,68,1792,GOLDEN STATE WARRIORS,29,366,1222,404,413,119,433,68,630,359,173,31,133,['SMALL FORWARD'],duranke01,50,207
581,Lou Williams,2589,79,1782,LOS ANGELES CLIPPERS,31,417,1337,491,518,19,158,19,582,432,186,40,106,['SHOOTING GUARD'],willilo02,85,234
558,Kemba Walker,2736,80,1770,CHARLOTTE HORNETS,27,444,1363,420,601,24,216,80,588,363,231,32,98,['POINT GUARD'],walkeke02,91,179
540,Karl-Anthony Towns,2918,82,1743,MINNESOTA TIMBERWOLVES,22,199,1172,402,285,115,774,82,639,345,120,238,285,['CENTER'],townska01,64,159
6,LaMarcus Aldridge,2509,75,1735,SAN ANTONIO SPURS,32,152,1347,399,92,90,389,75,687,334,27,246,161,['CENTER'],aldrila01,43,111
429,Victor Oladipo,2552,75,1735,INDIANA PACERS,25,323,1342,368,434,57,343,75,640,294,161,47,175,['SHOOTING GUARD'],oladivi01,177,219
