,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
509,Russell Westbrook,2802,81,2558,OKLAHOMA CITY THUNDER,28,840,1941,840,583,31,727,81,824,710,200,137,190,['POINT GUARD'],westbru01,132,438
192,James Harden,2947,81,2356,HOUSTON ROCKETS,27,907,1533,881,756,38,564,81,674,746,262,95,215,['POINT GUARD'],hardeja01,121,464
472,Isaiah Thomas,2569,76,2199,BOSTON CELTICS,27,448,1473,649,646,13,162,76,682,590,245,43,167,['POINT GUARD'],thomais02,70,210
111,Anthony Davis,2708,75,2099,NEW ORLEANS PELICANS,23,157,1526,647,134,167,712,75,770,519,40,172,168,['CENTER'],davisan02,94,181
483,Karl-Anthony Towns,3030,82,2061,MINNESOTA TIMBERWOLVES,21,220,1480,428,275,103,711,82,802,356,101,296,241,['CENTER'],townska01,56,212
296,Damian Lillard,2694,75,2024,PORTLAND TRAIL BLAZERS,26,440,1488,545,579,20,322,75,661,488,214,46,152,['POINT GUARD'],lillada01,68,197
119,DeMar DeRozan,2620,74,2020,TORONTO RAPTORS,27,290,1545,647,124,13,316,74,721,545,33,70,134,['SHOOTING GUARD'],derozde01,78,180
109,Stephen Curry,2638,79,1999,GOLDEN STATE WARRIORS,28,524,1443,362,789,17,292,79,675,325,324,61,183,['POINT GUARD'],curryst01,142,239
246,LeBron James,2794,74,1954,CLEVELAND CAVALIERS,32,646,1344,531,342,44,542,74,736,358,124,97,134,['SMALL FORWARD'],jamesle01,92,303
513,Andrew Wiggins,3048,82,1933,MINNESOTA TIMBERWOLVES,21,189,1570,542,289,30,226,82,709,412,103,102,183,['SMALL FORWARD'],wiggian01,82,187
290,Kawhi Leonard,2474,74,1888,SAN ANTONIO SPURS,25,260,1312,533,387,55,350,74,636,469,147,80,122,['SMALL FORWARD'],leonaka01,133,154
318,CJ McCollum,2796,80,1837,PORTLAND TRAIL BLAZERS,25,285,1441,294,439,42,229,80,692,268,185,60,202,['SHOOTING GUARD'],mccolcj01,72,172
17,Giannis Antetokounmpo,2845,80,1832,MILWAUKEE BUCKS,22,434,1259,612,180,151,558,80,656,471,49,142,246,['SMALL FORWARD'],antetgi01,131,234
502,Kemba Walker,2739,79,1830,CHARLOTTE HORNETS,26,434,1449,359,602,22,263,79,643,304,240,45,119,['POINT GUARD'],walkeke02,85,168
72,Jimmy Butler,2809,76,1816,CHICAGO BULLS,27,417,1252,676,248,32,341,75,570,585,91,129,112,['SMALL FORWARD'],butleji01,143,159
241,Kyrie Irving,2525,72,1816,CLEVELAND CAVALIERS,24,418,1420,328,441,24,178,72,671,297,177,52,157,['POINT GUARD'],irvinky01,83,180
503,John Wall,2836,78,1805,WASHINGTON WIZARDS,26,831,1435,527,272,49,267,78,647,422,89,59,151,['POINT GUARD'],walljo01,157,322
38,Bradley Beal,2684,77,1779,WASHINGTON WIZARDS,23,267,1322,342,552,21,187,77,637,282,223,53,169,['SHOOTING GUARD'],bealbr01,83,156
167,Paul George,2689,75,1775,INDIANA PACERS,26,251,1348,374,496,27,434,75,622,336,195,58,206,['SMALL FORWARD'],georgpa01,119,220
476,Klay Thompson,2649,78,1742,GOLDEN STATE WARRIORS,26,160,1376,218,647,40,236,78,644,186,268,49,139,['SHOOTING GUARD'],thompkl01,66,128
57,Devin Booker,2730,78,1726,PHOENIX SUNS,20,268,1431,441,405,21,203,78,606,367,147,46,242,['SHOOTING GUARD'],bookede01,72,241
18,Carmelo Anthony,2538,74,1659,NEW YORK KNICKS,32,213,1389,365,421,34,376,74,602,304,151,62,198,['SMALL FORWARD'],anthoca01,60,153
