,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
507,Jayson Tatum,2508,67,2008,BOSTON CELTICS,24,317,1424,568,632,50,524,67,651,488,218,73,144,['POWER FORWARD'],tatumja01,68,198
157,Joel Embiid,2030,58,1946,PHILADELPHIA 76ERS,28,238,1186,691,174,102,490,58,647,591,61,105,186,['CENTER'],embiijo01,62,201
180,Shai Gilgeous-Alexander,2135,60,1884,OKLAHOMA CITY THUNDER,24,330,1222,646,148,60,233,60,624,584,52,54,163,['POINT GUARD'],gilgesh01,102,173
137,Luka Dončić,2068,57,1879,DALLAS MAVERICKS,23,458,1257,629,453,28,443,57,629,463,158,48,148,['POINT GUARD'],doncilu01,83,209
443,Julius Randle,2623,73,1869,NEW YORK KNICKS,28,299,1372,515,612,19,604,73,633,391,212,139,223,['POWER FORWARD'],randlju01,47,208
322,Damian Lillard,2073,57,1836,PORTLAND TRAIL BLAZERS,32,413,1183,544,648,18,227,57,548,498,242,43,108,['POINT GUARD'],lillada01,50,189
153,Anthony Edwards,2558,71,1755,MINNESOTA TIMBERWOLVES,21,315,1380,378,520,51,378,71,636,290,193,39,172,['SHOOTING GUARD'],edwaran01,114,237
11,Giannis Antetokounmpo,1820,56,1750,MILWAUKEE BUCKS,28,312,1142,707,156,45,538,56,623,459,45,126,179,['POWER FORWARD'],antetgi01,41,219
582,Trae Young,2232,64,1711,ATLANTA HAWKS,24,642,1255,541,418,9,146,64,545,480,141,52,94,['POINT GUARD'],youngtr01,72,261
311,Zach LaVine,2439,67,1678,CHICAGO BULLS,27,275,1216,380,490,16,277,67,584,323,187,38,143,['SHOOTING GUARD'],lavinza01,63,171
369,Donovan Mitchell,2165,61,1669,CLEVELAND CAVALIERS,26,281,1236,314,569,23,195,61,590,275,214,58,148,['SHOOTING GUARD'],mitchdo01,93,161
128,DeMar DeRozan,2389,65,1653,CHICAGO BULLS,33,330,1167,483,115,33,277,65,597,420,39,31,172,['SMALL FORWARD'],derozde01,72,140
169,De'Aaron Fox,2179,64,1630,SACRAMENTO KINGS,25,395,1178,398,317,20,240,64,608,306,108,33,158,['POINT GUARD'],foxde01,77,167
73,Jaylen Brown,2170,60,1604,BOSTON CELTICS,26,203,1228,324,441,26,339,60,602,250,150,74,161,['SMALL FORWARD'],brownja02,71,176
339,Lauri Markkanen,2169,63,1603,UTAH JAZZ,25,116,1079,372,481,38,416,63,543,324,193,124,131,['SMALL FORWARD'],markkla01,40,120
274,Nikola Jokić,2172,64,1583,DENVER NUGGETS,27,634,957,385,137,42,606,64,607,315,54,156,165,['CENTER'],jokicni01,79,227
78,Jalen Brunson,2234,64,1521,NEW YORK KNICKS,26,395,1116,373,298,15,189,64,543,312,123,37,144,['POINT GUARD'],brunsja01,57,127
485,Pascal Siakam,2324,62,1493,TORONTO RAPTORS,28,368,1153,420,255,32,367,62,543,321,86,115,202,['CENTER'],siakapa01,53,154
427,Jordan Poole,2225,73,1475,GOLDEN STATE WARRIORS,23,336,1147,356,569,18,169,42,488,311,188,30,191,['POINT GUARD'],poolejo01,58,235
194,Jalen Green,2251,66,1447,HOUSTON ROCKETS,20,234,1186,386,494,18,219,66,488,305,166,38,118,['SHOOTING GUARD'],greenja05,51,183
376,Ja Morant,1721,53,1436,MEMPHIS GRIZZLIES,23,434,1094,453,269,13,257,53,507,337,85,60,88,['POINT GUARD'],moranja01,59,180
2,Bam Adebayo,2389,68,1432,MIAMI HEAT,25,223,1037,380,12,59,471,68,563,305,1,165,195,['CENTER'],adebaba01,81,176
118,Stephen Curry,1633,47,1401,GOLDEN STATE WARRIORS,34,291,946,246,541,17,259,47,471,225,234,33,104,['POINT GUARD'],curryst01,45,157
263,LeBron James,1695,47,1388,LOS ANGELES LAKERS,38,326,1061,295,325,26,339,47,532,224,100,57,79,['POWER FORWARD'],jamesle01,44,147
432,Kristaps Porziņģis,1963,60,1369,WASHINGTON WIZARDS,27,156,930,398,331,94,400,60,454,337,124,109,187,['CENTER'],porzikr01,54,130
173,Darius Garland,2182,62,1360,CLEVELAND CAVALIERS,23,486,1007,299,382,7,143,62,473,255,159,26,132,['POINT GUARD'],garlada01,79,179
306,Kyle Kuzma,2239,64,1357,WASHINGTON WIZARDS,27,239,1142,237,481,29,408,64,512,173,160,55,145,['POWER FORWARD'],kuzmaky01,36,190
382,Dejounte Murray,2403,66,1352,ATLANTA HAWKS,26,398,1188,162,358,18,310,66,546,134,126,48,96,['SHOOTING GUARD'],murrade01,101,145
351,CJ McCollum,2251,64,1349,NEW ORLEANS PELICANS,31,381,1157,207,472,34,230,64,503,162,181,52,128,['SHOOTING GUARD'],mccolcj01,57,165
514,Klay Thompson,2009,61,1342,GOLDEN STATE WARRIORS,32,148,1114,124,643,25,217,61,486,109,261,38,113,['SHOOTING GUARD'],thompkl01,44,110
537,Franz Wagner,2337,71,1330,ORLANDO MAGIC,21,249,1003,282,330,14,221,71,488,235,119,63,163,['SMALL FORWARD'],wagnefr01,63,149
466,Terry Rozier,2211,62,1324,CHARLOTTE HORNETS,28,317,1184,220,502,16,204,62,491,178,164,51,117,['SHOOTING GUARD'],roziete01,73,133
472,Domantas Sabonis,2399,69,1317,SACRAMENTO KINGS,26,496,818,383,76,36,644,69,498,294,27,218,250,['CENTER'],sabondo01,57,201
85,Jimmy Butler,1932,58,1315,MIAMI HEAT,33,294,806,504,93,21,215,58,427,430,31,138,74,['SMALL FORWARD'],butleji01,108,96
177,Paul George,1904,55,1314,LOS ANGELES CLIPPERS,32,283,987,292,421,19,291,55,450,256,158,44,157,['SHOOTING GUARD'],georgpa01,80,174
271,Keldon Johnson,1969,60,1309,SAN ANTONIO SPURS,23,171,1055,308,387,11,250,60,475,232,127,52,121,['SMALL FORWARD'],johnske04,44,130
489,Anfernee Simons,2171,62,1306,PORTLAND TRAIL BLAZERS,23,253,1045,179,562,14,143,62,467,160,212,18,142,['SHOOTING GUARD'],simonan01,42,128
31,RJ Barrett,2244,66,1304,NEW YORK KNICKS,22,178,1068,352,353,13,281,66,465,262,112,55,164,['SHOOTING GUARD'],barrerj01,29,146
25,Paolo Banchero,2200,65,1299,ORLANDO MAGIC,20,235,1023,481,262,33,358,65,434,357,74,73,146,['POWER FORWARD'],banchpa01,56,178
189,Jerami Grant,2246,63,1290,PORTLAND TRAIL BLAZERS,28,150,913,342,359,53,230,63,434,278,144,53,152,['POWER FORWARD'],grantje01,51,116
54,Bojan Bogdanović,1893,59,1273,DETROIT PISTONS,33,152,882,303,353,8,187,59,430,268,145,36,113,['POWER FORWARD'],bogdabo02,34,135
103,Jordan Clarkson,1988,61,1271,UTAH JAZZ,30,270,1031,245,459,13,174,61,458,200,155,72,120,['SHOOTING GUARD'],clarkjo01,33,186
535,Nikola Vučević,2433,71,1261,CHICAGO BULLS,32,234,1011,139,320,56,661,71,517,115,112,144,163,['CENTER'],vucevni01,53,123
228,Buddy Hield,2283,72,1234,INDIANA PACERS,30,195,958,113,624,22,298,72,438,93,265,62,142,['SMALL FORWARD'],hieldbu01,84,126
57,Devin Booker,1518,44,1233,PHOENIX SUNS,26,241,913,271,269,16,159,44,453,228,99,39,131,['SHOOTING GUARD'],bookede01,40,112
227,Tyler Herro,2085,59,1192,MIAMI HEAT,23,253,991,165,478,16,308,59,430,153,179,26,96,['SHOOTING GUARD'],herroty01,46,147
120,Anthony Davis,1546,46,1188,LOS ANGELES LAKERS,29,116,792,356,68,96,420,44,443,284,18,155,124,['CENTER'],davisan02,47,108
531,Fred VanVleet,2218,60,1175,TORONTO RAPTORS,28,422,972,239,525,34,226,60,389,213,184,27,169,['POINT GUARD'],vanvlfr01,103,118
383,Jamal Murray,1916,58,1167,DENVER NUGGETS,25,352,944,202,381,12,185,58,425,167,150,44,87,['POINT GUARD'],murraja01,60,128
149,Kevin Durant,1403,39,1158,BROOKLYN NETS,34,207,734,286,189,57,248,39,410,267,71,14,92,['POWER FORWARD'],duranke01,32,136
370,Evan Mobley,2432,71,1147,CLEVELAND CAVALIERS,21,194,850,283,95,100,468,71,467,193,20,166,203,['POWER FORWARD'],mobleev01,55,139
39,Bradley Beal,1641,49,1144,WASHINGTON WIZARDS,29,264,863,218,215,33,152,49,440,184,80,39,101,['SHOOTING GUARD'],bealbr01,45,143
234,Jrue Holiday,1948,59,1135,MILWAUKEE BUCKS,32,431,910,159,371,24,232,57,429,137,140,68,106,['POINT GUARD'],holidjr01,69,173
