,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
192,James Harden,3125,82,2376,HOUSTON ROCKETS,26,612,1617,837,657,51,438,82,710,720,236,63,229,['SHOOTING GUARD'],hardeja01,139,374
110,Stephen Curry,2700,79,2375,GOLDEN STATE WARRIORS,27,527,1598,400,886,15,362,79,805,363,402,68,161,['POINT GUARD'],curryst01,169,262
131,Kevin Durant,2578,72,2029,OKLAHOMA CITY THUNDER,27,361,1381,498,481,85,544,72,698,447,186,45,137,['SMALL FORWARD'],duranke01,69,250
244,LeBron James,2709,76,1920,CLEVELAND CAVALIERS,31,514,1416,491,282,49,454,76,737,359,87,111,143,['SMALL FORWARD'],jamesle01,104,249
296,Damian Lillard,2676,75,1879,PORTLAND TRAIL BLAZERS,25,512,1474,464,610,28,257,75,618,414,229,45,165,['POINT GUARD'],lillada01,65,242
503,Russell Westbrook,2750,80,1878,OKLAHOMA CITY THUNDER,27,834,1444,573,341,20,481,80,656,465,101,145,200,['POINT GUARD'],westbru01,163,342
165,Paul George,2819,81,1874,INDIANA PACERS,25,329,1449,528,566,29,484,81,605,454,210,79,230,['SMALL FORWARD'],georgpa01,152,265
120,DeMar DeRozan,2804,78,1830,TORONTO RAPTORS,26,315,1377,653,139,21,285,78,614,555,47,64,167,['SHOOTING GUARD'],derozde01,81,175
466,Isaiah Thomas,2644,82,1823,BOSTON CELTICS,26,509,1382,544,465,9,197,79,591,474,167,46,167,['POINT GUARD'],thomais02,91,220
471,Klay Thompson,2666,80,1771,GOLDEN STATE WARRIORS,25,166,1386,221,650,49,271,80,651,193,276,35,152,['SHOOTING GUARD'],thompkl01,60,138
101,DeMarcus Cousins,2246,65,1748,SACRAMENTO KINGS,25,214,1332,663,210,92,589,65,601,476,70,158,236,['CENTER'],couside01,101,249
494,Kemba Walker,2885,81,1689,CHARLOTTE HORNETS,25,421,1331,438,490,39,301,81,568,371,182,56,111,['POINT GUARD'],walkeke02,126,171
506,Andrew Wiggins,2845,81,1675,MINNESOTA TIMBERWOLVES,20,164,1294,565,190,46,186,81,594,430,57,105,165,['SMALL FORWARD'],wiggian01,78,182
320,CJ McCollum,2780,80,1666,PORTLAND TRAIL BLAZERS,24,341,1431,226,472,23,212,80,641,187,197,47,187,['SHOOTING GUARD'],mccolcj01,97,196
303,Kyle Lowry,2851,77,1634,TORONTO RAPTORS,29,494,1198,491,547,34,310,77,512,398,212,55,211,['POINT GUARD'],lowryky01,158,225
205,Gordon Hayward,2893,80,1578,UTAH JAZZ,25,296,1202,477,410,27,336,80,521,393,143,61,183,['SMALL FORWARD'],haywago01,95,202
21,Carmelo Anthony,2530,72,1573,NEW YORK KNICKS,31,299,1307,403,310,38,458,72,567,334,105,98,180,['SMALL FORWARD'],anthoca01,62,176
495,John Wall,2784,77,1531,WASHINGTON WIZARDS,25,789,1349,344,328,59,337,77,572,272,115,42,159,['POINT GUARD'],walljo01,145,318
293,Kawhi Leonard,2380,72,1523,SAN ANTONIO SPURS,24,186,1090,334,291,71,398,72,551,292,129,95,133,['SMALL FORWARD'],leonaka01,128,105
477,Karl-Anthony Towns,2627,82,1503,MINNESOTA TIMBERWOLVES,20,161,1153,275,88,138,629,82,625,223,30,229,245,['CENTER'],townska01,58,183
300,Brook Lopez,2457,73,1501,BROOKLYN NETS,27,147,1157,403,14,124,369,73,591,317,2,204,215,['CENTER'],lopezbr01,58,175
243,Reggie Jackson,2424,79,1489,DETROIT PISTONS,25,492,1244,337,334,11,195,79,540,291,118,58,187,['POINT GUARD'],jacksre01,59,223
