,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
156,Kevin Durant,3038,78,2161,OKLAHOMA CITY THUNDER,22,214,1538,675,414,76,476,78,711,594,145,57,159,['SMALL FORWARD'],duranke01,88,218
270,LeBron James,3063,79,2111,MIAMI HEAT,26,554,1485,663,279,50,510,79,758,503,92,80,163,['SMALL FORWARD'],jamesle01,124,284
84,Kobe Bryant,2779,82,2078,LOS ANGELES LAKERS,32,388,1639,583,356,12,336,82,740,483,115,83,172,['SHOOTING GUARD'],bryanko01,99,243
425,Derrick Rose,3026,81,2026,CHICAGO BULLS,22,623,1597,555,385,51,249,81,711,476,128,81,136,['POINT GUARD'],rosede01,85,278
458,Amar'e Stoudemire,2870,78,1971,NEW YORK KNICKS,28,202,1482,597,23,150,438,78,744,473,10,198,274,['CENTER'],stoudam01,71,250
494,Dwyane Wade,2823,76,1941,MIAMI HEAT,29,346,1384,652,206,87,362,76,692,494,63,123,197,['SHOOTING GUARD'],wadedw01,111,237
159,Monta Ellis,3227,80,1929,GOLDEN STATE WARRIORS,25,450,1611,431,379,23,237,80,726,340,137,44,203,['SHOOTING GUARD'],ellismo01,168,252
330,Kevin Martin,2603,80,1876,HOUSTON ROCKETS,27,198,1267,669,459,15,230,80,553,594,176,28,155,['SHOOTING GUARD'],martike02,80,184
221,Blake Griffin,3112,82,1845,LOS ANGELES CLIPPERS,21,312,1376,695,24,45,719,82,696,446,7,270,252,['POWER FORWARD'],griffbl01,63,223
512,Russell Westbrook,2847,82,1793,OKLAHOMA CITY THUNDER,22,670,1390,631,103,30,258,82,614,531,34,121,207,['POINT GUARD'],westbru01,155,316
254,Dwight Howard,2935,78,1784,ORLANDO MAGIC,25,107,1044,916,7,186,789,78,619,546,0,309,258,['CENTER'],howardw01,107,279
7,LaMarcus Aldridge,3211,81,1769,PORTLAND TRAIL BLAZERS,25,170,1415,444,23,94,431,81,707,351,4,278,220,['POWER FORWARD'],aldrila01,82,153
372,Dirk Nowitzki,2504,73,1681,DALLAS MAVERICKS,32,190,1179,443,168,47,463,73,610,395,66,50,172,['POWER FORWARD'],nowitdi01,38,137
318,Brook Lopez,2889,82,1673,NEW JERSEY NETS,22,129,1309,489,1,120,291,82,644,385,0,197,240,['CENTER'],lopezbr01,47,176
213,Danny Granger,2763,79,1622,INDIANA PACERS,27,203,1260,466,407,62,338,79,535,395,157,87,213,['SMALL FORWARD'],grangda01,89,206
196,Pau Gasol,3037,82,1541,LOS ANGELES LAKERS,30,273,1120,430,3,130,568,82,593,354,1,268,203,['CENTER'],gasolpa01,48,142
274,Al Jefferson,2940,82,1528,UTAH JAZZ,26,149,1319,289,0,153,559,82,654,220,0,235,238,['CENTER'],jeffeal01,46,105
395,Paul Pierce,2774,80,1511,BOSTON CELTICS,33,260,1021,449,297,51,396,80,507,386,111,34,231,['SMALL FORWARD'],piercpa01,80,171
413,Zach Randolph,2724,75,1504,MEMPHIS GRIZZLIES,29,163,1188,396,43,25,588,74,598,300,8,326,175,['POWER FORWARD'],randoza01,63,151
320,Kevin Love,2611,73,1476,MINNESOTA TIMBERWOLVES,22,184,1026,499,211,28,782,73,482,424,88,330,148,['POWER FORWARD'],loveke01,45,155
69,Chris Bosh,2795,77,1438,MIAMI HEAT,26,144,1056,471,25,49,500,77,524,384,6,141,172,['POWER FORWARD'],boshch01,59,138
139,Luol Deng,3208,82,1430,CHICAGO BULLS,25,230,1155,336,333,48,360,82,531,253,115,116,162,['SMALL FORWARD'],denglu01,78,156
37,Andrea Bargnani,2353,66,1414,TORONTO RAPTORS,25,119,1173,350,223,46,269,66,525,287,77,74,160,['CENTER'],bargnan01,34,152
140,DeMar DeRozan,2851,82,1410,TORONTO RAPTORS,21,148,1154,402,52,31,240,82,539,327,5,75,217,['SHOOTING GUARD'],derozde01,85,144
49,Michael Beasley,2361,73,1401,MINNESOTA TIMBERWOLVES,22,158,1246,291,164,52,291,73,561,219,60,118,222,['SMALL FORWARD'],beaslmi01,54,195
204,Manu Ginóbili,2426,80,1393,SAN ANTONIO SPURS,33,393,1018,410,441,28,253,79,441,357,154,42,163,['SHOOTING GUARD'],ginobma01,123,174
128,Stephen Curry,2489,74,1373,GOLDEN STATE WARRIORS,22,432,1053,227,342,20,234,74,505,212,151,52,233,['POINT GUARD'],curryst01,109,226
384,Tony Parker,2528,78,1368,SAN ANTONIO SPURS,28,513,1069,303,70,3,208,78,555,233,25,30,135,['POINT GUARD'],parketo01,90,200
433,Luis Scola,2412,74,1352,HOUSTON ROCKETS,30,185,1129,290,3,44,459,74,569,214,0,147,227,['POWER FORWARD'],scolalu01,48,147
537,Dorell Wright,3147,82,1344,GOLDEN STATE WARRIORS,25,242,1146,228,516,63,343,82,485,180,194,88,171,['SMALL FORWARD'],wrighdo01,124,133
509,David West,2451,70,1322,NEW ORLEANS HORNETS,30,164,1040,327,9,62,374,70,528,264,2,155,202,['POWER FORWARD'],westda01,67,142
9,Ray Allen,2890,80,1321,BOSTON CELTICS,35,219,978,219,378,16,223,80,480,193,168,51,147,['SHOOTING GUARD'],allenra02,77,117
350,Paul Millsap,2605,76,1315,UTAH JAZZ,25,187,988,338,23,69,415,76,525,256,9,164,272,['POWER FORWARD'],millspa01,103,145
287,Joe Johnson,2554,72,1312,ATLANTA HAWKS,29,338,1161,243,300,7,232,72,514,195,89,59,131,['SHOOTING GUARD'],johnsjo02,47,146
332,Wesley Matthews,2758,82,1300,PORTLAND TRAIL BLAZERS,24,164,979,315,378,9,210,69,440,266,154,48,195,['SHOOTING GUARD'],matthwe02,102,138
469,Jason Terry,2564,82,1293,DALLAS MAVERICKS,33,334,1091,214,351,13,129,10,492,182,127,24,140,['SHOOTING GUARD'],terryja01,93,167
448,Josh Smith,2645,77,1274,ATLANTA HAWKS,25,255,1041,316,154,120,523,77,497,229,51,134,217,['POWER FORWARD'],smithjo03,99,197
386,Chris Paul,2880,80,1268,NEW ORLEANS HORNETS,25,782,928,384,183,5,289,80,430,337,71,38,196,['POINT GUARD'],paulch01,188,177
18,Carmelo Anthony,1774,50,1259,DENVER NUGGETS,26,140,967,417,126,31,305,50,437,343,42,77,134,['SMALL FORWARD'],anthoca01,43,142
208,Eric Gordon,2112,56,1247,LOS ANGELES CLIPPERS,22,244,949,348,291,18,119,56,427,287,106,45,115,['SHOOTING GUARD'],gordoer01,71,151
268,Stephen Jackson,2405,67,1240,CHARLOTTE BOBCATS,32,241,1059,305,359,28,251,67,435,249,121,53,161,['SHOOTING GUARD'],jacksst02,80,209
73,Elton Brand,2809,81,1217,PHILADELPHIA 76ERS,31,120,981,273,1,106,439,81,502,213,0,237,244,['POWER FORWARD'],brandel01,92,101
313,David Lee,2634,73,1203,GOLDEN STATE WARRIORS,27,233,978,267,3,31,497,73,496,210,1,217,211,['POWER FORWARD'],leeda02,74,170
376,Lamar Odom,2639,82,1180,LOS ANGELES LAKERS,31,249,893,246,178,61,535,35,473,166,68,175,200,['POWER FORWARD'],odomla01,47,139
