,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
311,Wesley Matthews,2403,69,1022,PORTLAND TRAIL BLAZERS,26,174,808,187,425,18,156,69,352,149,169,35,172,['SHOOTING GUARD'],matthwe02,90,109
375,Nikola Peković,1959,62,1011,MINNESOTA TIMBERWOLVES,27,53,741,324,0,50,315,62,385,241,0,230,143,['CENTER'],pekovni01,43,101
485,Nikola Vučević,2559,77,1008,ORLANDO MAGIC,22,143,889,126,3,79,644,77,461,86,0,273,218,['CENTER'],vucevni01,61,141
272,Brandon Knight,2365,75,999,DETROIT PISTONS,21,303,878,225,327,8,193,75,357,165,120,54,157,['POINT GUARD'],knighbr03,58,205
142,Tyreke Evans,2016,65,987,SACRAMENTO KINGS,23,229,765,271,133,27,231,61,366,210,45,56,133,['SHOOTING GUARD'],evansty01,90,128
465,Tristan Thompson,2564,82,957,CLEVELAND CAVALIERS,21,108,799,291,3,71,467,82,390,177,0,306,234,['POWER FORWARD'],thomptr01,60,123
146,Raymond Felton,2313,68,948,NEW YORK KNICKS,28,372,882,128,258,14,143,68,377,101,93,51,130,['POINT GUARD'],feltora01,94,155
399,Luke Ridnour,2474,82,939,MINNESOTA TIMBERWOLVES,31,311,811,164,212,15,165,82,367,139,66,41,187,['SHOOTING GUARD'],ridnolu01,82,130
513,Metta World Peace,2530,75,929,LOS ANGELES LAKERS,33,112,824,169,412,42,271,66,332,124,141,101,198,['SMALL FORWARD'],artesro01,122,98
355,Dirk Nowitzki,1661,53,917,DALLAS MAVERICKS,34,132,728,193,157,37,326,47,343,166,65,37,93,['POWER FORWARD'],nowitdi01,38,70
489,John Wall,1602,49,906,WASHINGTON WIZARDS,22,373,735,306,45,37,161,42,324,246,12,35,117,['POINT GUARD'],walljo01,65,157
164,Alonzo Gee,2541,82,842,CLEVELAND CAVALIERS,25,133,744,205,219,29,245,82,305,163,69,75,199,['SMALL FORWARD'],geeal01,107,132
23,Ömer Aşık,2464,82,832,HOUSTON ROCKETS,26,75,614,299,1,87,681,82,332,168,0,275,223,['CENTER'],asikom01,46,173
351,Jameer Nelson,1977,56,822,ORLANDO MAGIC,30,413,780,102,355,6,186,56,306,89,121,23,161,['POINT GUARD'],nelsoja01,71,154
305,Shawn Marion,2010,67,812,DALLAS MAVERICKS,34,163,690,101,73,47,379,67,355,79,23,146,111,['POWER FORWARD'],mariosh01,75,103
273,Kyle Korver,2259,74,810,ATLANTA HAWKS,31,146,601,78,414,37,270,60,277,67,189,23,170,['SMALL FORWARD'],korveky01,70,70
270,Andrei Kirilenko,2034,64,791,MINNESOTA TIMBERWOLVES,31,177,560,250,120,62,260,64,284,188,35,102,82,['SMALL FORWARD'],kirilan01,96,119
353,Joakim Noah,2426,66,784,CHICAGO BULLS,27,262,630,237,5,141,473,64,303,178,0,260,185,['CENTER'],noahjo01,78,176
43,Bradley Beal,1745,56,780,WASHINGTON WIZARDS,19,137,687,159,236,29,168,46,282,125,91,43,113,['SHOOTING GUARD'],bealbr01,50,90
395,J.J. Redick,1575,50,756,ORLANDO MAGIC,28,220,582,129,300,5,110,11,262,115,117,9,70,['SHOOTING GUARD'],redicjj01,29,105
162,Rudy Gay,1541,42,723,MEMPHIS GRIZZLIES,26,108,688,156,129,31,193,42,281,121,40,56,87,['SMALL FORWARD'],gayru01,56,104
172,Eric Gordon,1264,42,713,NEW ORLEANS HORNETS,24,137,584,222,173,8,67,40,235,187,56,10,75,['SHOOTING GUARD'],gordoer01,45,117
284,Kawhi Leonard,1810,58,689,SAN ANTONIO SPURS,21,93,526,126,174,32,283,57,260,104,65,63,99,['SMALL FORWARD'],leonaka01,97,62
85,Tyson Chandler,2164,66,689,NEW YORK KNICKS,30,62,400,258,0,75,434,66,255,179,0,269,188,['CENTER'],chandty01,42,87
173,Marcin Gortat,1876,61,680,PHOENIX SUNS,28,75,566,138,3,98,388,61,295,90,0,128,127,['CENTER'],gortama01,40,99
161,Pau Gasol,1655,49,673,LOS ANGELES LAKERS,32,200,579,178,28,61,310,42,270,125,8,111,93,['POWER FORWARD'],gasolpa01,24,104
163,Rudy Gay,1146,33,643,TORONTO RAPTORS,26,94,565,139,131,22,169,32,240,119,44,43,95,['SMALL FORWARD'],gayru01,57,94
349,Steve Nash,1627,50,636,LOS ANGELES LAKERS,38,333,475,116,130,5,116,50,236,107,57,26,70,['POINT GUARD'],nashst01,30,126
510,Mo Williams,1418,46,592,UTAH JAZZ,30,285,533,85,154,9,86,46,229,75,59,24,105,['POINT GUARD'],willima01,46,125
490,Gerald Wallace,2076,69,531,BROOKLYN NETS,30,181,458,190,163,46,250,68,182,121,46,69,118,['SMALL FORWARD'],wallage01,97,110
387,Tayshaun Prince,1457,45,527,DETROIT PISTONS,32,111,484,93,53,13,166,45,215,74,23,43,45,['SMALL FORWARD'],princta01,21,54
405,Rajon Rondo,1423,38,522,BOSTON CELTICS,26,420,465,93,50,9,169,38,225,60,12,43,96,['POINT GUARD'],rondora01,70,148
114,Glen Davis,1064,34,512,ORLANDO MAGIC,27,70,478,117,2,21,191,33,214,84,0,55,88,['POWER FORWARD'],davisgl01,32,64
197,Tobias Harris,974,27,467,ORLANDO MAGIC,20,56,397,111,87,37,174,20,180,80,27,56,89,['POWER FORWARD'],harrito02,24,48
479,Anderson Varejão,901,25,353,CLEVELAND CAVALIERS,30,84,289,102,5,14,223,25,138,77,0,138,68,['CENTER'],varejan01,37,44
296,Kevin Love,618,18,330,MINNESOTA TIMBERWOLVES,24,42,298,142,92,9,188,18,105,100,20,64,34,['POWER FORWARD'],loveke01,13,39
78,José Calderón,887,28,326,DETROIT PISTONS,31,185,237,28,98,2,64,28,125,25,51,6,41,['POINT GUARD'],caldejo01,30,51
388,Tayshaun Prince,1174,37,325,MEMPHIS GRIZZLIES,32,85,336,37,41,12,126,36,144,22,15,29,41,['SMALL FORWARD'],princta01,27,35
322,Josh McRoberts,802,26,242,CHARLOTTE BOBCATS,25,71,190,55,29,15,136,19,96,43,7,52,66,['POWER FORWARD'],mcrobjo01,22,38
35,Earl Barron,37,1,11,NEW YORK KNICKS,31,2,14,2,0,1,12,1,5,1,0,6,1,['CENTER'],barroea01,0,1
