,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
225,James Harden,2981,81,2217,HOUSTON ROCKETS,25,565,1470,824,555,60,384,81,647,715,208,75,208,['SHOOTING GUARD'],hardeja01,154,321
123,Stephen Curry,2613,80,1900,GOLDEN STATE WARRIORS,26,619,1341,337,646,16,285,80,653,308,286,56,158,['POINT GUARD'],curryst01,163,249
545,Russell Westbrook,2302,67,1886,OKLAHOMA CITY THUNDER,26,574,1471,654,288,14,364,67,627,546,86,124,184,['POINT GUARD'],westbru01,140,293
264,LeBron James,2493,69,1743,CLEVELAND CAVALIERS,30,511,1279,528,339,49,365,69,624,375,120,51,135,['SMALL FORWARD'],jamesle01,109,272
317,Damian Lillard,2925,82,1720,PORTLAND TRAIL BLAZERS,24,507,1360,398,572,21,329,82,590,344,196,49,164,['POINT GUARD'],lillada01,97,222
514,Klay Thompson,2455,77,1668,GOLDEN STATE WARRIORS,24,222,1299,256,545,60,220,77,602,225,239,27,122,['SHOOTING GUARD'],thompkl01,87,149
9,LaMarcus Aldridge,2512,71,1661,PORTLAND TRAIL BLAZERS,29,124,1415,362,105,68,549,71,659,306,37,177,125,['POWER FORWARD'],aldrila01,48,122
132,Anthony Davis,2455,68,1656,NEW ORLEANS PELICANS,21,149,1199,461,12,200,523,68,642,371,1,173,141,['POWER FORWARD'],davisan02,100,95
259,Kyrie Irving,2730,75,1628,CLEVELAND CAVALIERS,22,389,1235,365,378,20,182,75,578,315,157,55,146,['POINT GUARD'],irvinky01,114,186
405,Chris Paul,2857,82,1564,LOS ANGELES CLIPPERS,29,838,1170,321,349,15,324,82,568,289,139,52,203,['POINT GUARD'],paulch01,156,190
160,Monta Ellis,2699,80,1513,DALLAS MAVERICKS,29,329,1354,303,284,25,156,80,602,228,81,34,197,['SHOOTING GUARD'],ellismo01,148,198
216,Blake Griffin,2356,67,1469,LOS ANGELES CLIPPERS,25,354,1144,427,25,35,382,67,574,311,10,126,196,['POWER FORWARD'],griffbl01,63,152
234,Gordon Hayward,2618,76,1463,UTAH JAZZ,24,313,1087,462,330,30,319,76,484,375,120,54,131,['SMALL FORWARD'],haywago01,108,206
190,Pau Gasol,2681,78,1446,CHICAGO BULLS,34,210,1153,366,26,147,699,78,570,294,12,220,147,['POWER FORWARD'],gasolpa01,25,158
191,Rudy Gay,2408,68,1432,SACRAMENTO KINGS,28,250,1116,393,220,41,301,67,508,337,79,98,157,['SMALL FORWARD'],gayru01,71,183
531,Nikola Vučević,2529,74,1428,ORLANDO MAGIC,24,147,1206,218,6,54,572,74,631,164,2,238,220,['CENTER'],vucevni01,54,148
114,DeMarcus Cousins,2013,59,1421,SACRAMENTO KINGS,24,210,1066,541,8,103,562,59,498,423,2,185,241,['CENTER'],couside01,90,254
189,Marc Gasol,2687,81,1413,MEMPHIS GRIZZLIES,30,307,1072,440,17,131,515,81,530,350,3,115,208,['CENTER'],gasolma01,70,176
537,John Wall,2837,79,1387,WASHINGTON WIZARDS,24,792,1166,362,217,45,330,79,519,284,65,36,180,['POINT GUARD'],walljo01,138,304
548,Andrew Wiggins,2969,82,1387,MINNESOTA TIMBERWOLVES,19,170,1137,466,126,50,240,82,497,354,39,134,190,['SMALL FORWARD'],wiggian01,86,177
56,Eric Bledsoe,2800,81,1377,PHOENIX SUNS,25,493,1046,441,272,45,351,81,468,353,88,72,189,['POINT GUARD'],bledser01,127,274
532,Dwyane Wade,1971,62,1331,MIAMI HEAT,33,299,1084,370,102,21,161,62,509,284,29,58,105,['SHOOTING GUARD'],wadedw01,73,209
166,Tyreke Evans,2690,79,1313,NEW ORLEANS PELICANS,25,521,1165,291,227,37,334,76,521,202,69,82,198,['SHOOTING GUARD'],evansty01,100,246
80,Jimmy Butler,2513,65,1301,CHICAGO BULLS,25,212,912,463,193,36,265,65,421,386,73,114,108,['SHOOTING GUARD'],butleji01,114,93
395,Victor Oladipo,2573,72,1292,ORLANDO MAGIC,22,295,1086,320,248,19,251,71,473,262,84,51,187,['SHOOTING GUARD'],oladivi01,120,204
436,J.J. Redick,2409,78,1277,LOS ANGELES CLIPPERS,30,137,938,203,458,8,145,78,447,183,200,22,134,['SHOOTING GUARD'],redicjj01,39,95
370,Markieff Morris,2581,82,1258,PHOENIX SUNS,25,192,1100,232,179,39,396,82,512,177,57,110,245,['POWER FORWARD'],morrima02,101,170
