Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score
2114,76ers rally to beat Hornets for 13th straight win at home,2018,http://global.nba.com/news/76ers-rally-to-beat-hornets-for-13th-straight-win-at-home/,NBA News,Default,Default,Default,0.0934161713079623,0.0934161713079623,LeBron James,0.05743501907643442
2115,Cavaliers may get Kevin Love back sooner than expected,2018,http://global.nba.com/news/cavaliers-may-get-kevin-love-back-sooner-than-expected/,NBA News,Default,Default,Default,0.2338637699748811,0.2338637699748811,LeBron James,0.06013615177342409
2116,"Timberwolves, coping without Butler, visit Jazz",2018,http://global.nba.com/news/timberwolves-coping-without-butler-visit-jazz/,NBA News,Default,Default,Default,0.0296195652173913,0.0296195652173913,Karl-Anthony Towns,0.09238960527769406
2117,Bucks’ Antetokounmpo faces Pacers hoping for better month,2018,http://global.nba.com/news/bucks-antetokounmpo-faces-paces-hoping-for-better-month/,NBA News,Default,Default,Default,0.0991259484563056,0.0991259484563056,Giannis Antetokounmpo,0.18296891508809293
2118,Wizards face another tough test against Raptors,2018,http://global.nba.com/news/wizards-face-another-tough-test-against-raptors/,NBA News,Default,Default,Default,0.1664959394610557,0.1664959394610557,Bradley Beal,0.09753973856547647
2119,Washington Wizards hope to build on all-around gains once John Wall returns,2018,http://global.nba.com/news/washington-wizards-hope-to-build-on-all-around-gains-once-john-wall-returns/,NBA News,Default,Default,Default,0.1070453130747248,0.1070453130747248,Bradley Beal,0.13492399791097565
2120,Kia MVP Ladder: Welcome to the conversation,2018,http://global.nba.com/news/kia-mvp-ladder-welcome-to-the-conversation/,NBA News,Default,Default,Default,0.1620342733939225,0.1620342733939225,James Harden,0.1439579757221727
2121,Report: LaMarcus Aldridge day-to-day with ankle injury,2018,http://global.nba.com/news/report-lamarcus-aldridge-day-day-ankle-injury/,NBA News,Default,Default,Default,0.1771026592455163,0.1771026592455163,LaMarcus Aldridge,0.35265099403574546
2122,Great Assists: The KFC Deliveries of the Month,2018,http://global.nba.com/news/kfc-deliveries-month/,NBA News,Default,Default,Default,1.0,1.0,LeBron James,0.0
2123,Joel Embiid posts photo with LeBron James saying “Summer 2018 goals”,2018,http://global.nba.com/news/joel-embiid-posts-photo-lebron-james-saying-summer-2018-goals/,NBA News,Default,Default,Default,0.225287356321839,0.225287356321839,LeBron James,0.37210418693286973
2124,PRO•LINE Where to Watch: March 30,2018,http://global.nba.com/news/pro%e2%80%a2line-where-to-watch-march-30/,NBA News,Default,Default,Default,-0.0361111111111111,-0.0361111111111111,LeBron James,0.17604835233292035
2125,Blazers beat Timberwolves 108-99 for fifth straight win,2018,http://global.nba.com/news/blazers-beat-timberwolves-108-99-fifth-straight-win/,NBA News,Default,Default,Default,0.0434640522875817,0.0434640522875817,Damian Lillard,0.11334265325843122
2126,Kings outlast Nets 116-111 in overtime,2018,http://global.nba.com/news/kings-outlast-nets-116-111-overtime/,NBA News,Default,Default,Default,0.0281944444444444,0.0281944444444444,LeBron James,0.0
2127,"Sixers showcase themselves for LeBron, down Cavs 108-97",2018,http://global.nba.com/news/sixers-showcase-lebron-cavs-108-97/,NBA News,Default,Default,Default,0.122312925170068,0.122312925170068,LeBron James,0.2571081691735824
2128,Lakers stay hot with 131-113 win over Heat,2018,http://global.nba.com/news/lakers-stay-hot-131-113-win-heat/,NBA News,Default,Default,Default,0.1367460317460317,0.1367460317460317,Kyle Kuzma,0.052868319433955674
2129,Washington’s Brooks and Houston’s D’Antoni named Coaches of the Month,2018,http://global.nba.com/news/washingtons-brooks-houstons-dantoni-named-coaches-month/,NBA News,Default,Default,Default,0.1456112852664577,0.1456112852664577,John Wall,0.07716453304043475
2130,LeBron James and Anthony Davis named Kia Players of the Month,2018,http://global.nba.com/news/lebron-anthony-davis-named-kia-players-month/,NBA News,Default,Default,Default,0.1398093841642228,0.1398093841642228,LeBron James,0.22436344397743446
2131,Philadelphia’s Simmons and Utah’s Mitchell named Rookies of the Month,2018,http://global.nba.com/news/philadelphias-simmons-utahs-mitchell-named-rookies-month/,NBA News,Default,Default,Default,0.1826048951048951,0.1826048951048951,Donovan Mitchell,0.1589717170386844
2132,PRO•LINE Where to Watch: March 29,2018,http://global.nba.com/news/pro%e2%80%a2line-where-to-watch-march-29/,NBA News,Default,Default,Default,-0.0361111111111111,-0.0361111111111111,Russell Westbrook,0.1798579737681997
2133,Timberwolves have big plans for Trail Blazers,2018,http://global.nba.com/news/timberwolves-big-plans-trail-blazers/,NBA News,Default,Default,Default,0.1078924162257495,0.1078924162257495,Taj Gibson,0.12131550523564762
2134,"Sixers to get good look at James, Cavaliers",2018,http://global.nba.com/news/sixers-get-good-look-james-cavaliers/,NBA News,Default,Default,Default,0.070232991940309,0.070232991940309,LeBron James,0.24715296884731125
