Unnamed: 0,title,date,url,player,textblob_Sentiment,key_words_score,sentiment_bert_average_score,sentiment_roberta_average_score,sentiment_xlnet_average_score,sentiment_distilbert_average_score,bert_relevance
352,Kobe Bryant drops Â£3.71m to stay at LA Lakers for 20th year,2013-14,https://www.bbc.co.uk/sport/basketball/25095610,Kobe Bryant,0.0076704545454545,1.0,0.6216699779033661,0.5516737997531891,0.6392982602119446,0.544914573431015,0.5421082973480225
790,LeBron James in talks on David Beckham Miami MLS team,2013-14,https://www.bbc.co.uk/sport/football/24995887,LeBron James,0.2220588235294117,1.0,0.5795749624570211,0.5135978658994039,0.5846729874610901,0.5552509228388468,0.5148277282714844
1072,LV=Cup: Scarlets 13-7 Gloucester,2013-14,https://www.bbc.co.uk/sport/rugby-union/25885845,James Harden,0.06,1.0,0.671197255452474,0.519675095876058,0.5518385767936707,0.514421820640564,0.5328095555305481
1250,Glasgow 2014: The Jamaican university that changed athletics,2013-14,https://www.bbc.co.uk/sport/commonwealth-games/26986280,Carmelo Anthony,0.1588937145105976,1.0,0.6026120980580648,0.5355945865313212,0.5863606174786885,0.5165701031684875,0.519756555557251
1741,Coach Stephen Keshi proud of Nigeria's CHAN campaign,2013-14,https://www.bbc.co.uk/sport/football/26007595,Stephen Curry,0.3156565656565657,0.8,0.6046076714992523,0.5370009243488312,0.5754451602697372,0.524125412106514,0.5490627884864807
1748,Irish Premiership: Dungannon Swifts 0-4 Warrenpoint Town,2013-14,https://www.bbc.co.uk/sport/football/26995097,Stephen Curry,0.0249999999999999,0.6000000000000001,0.5537561575571696,0.5388983090718588,0.6750934720039368,0.5380116899808248,0.5490627884864807
1883,Jamaica faces serious questions in the fight against doping,2013-14,https://www.bbc.co.uk/sport/athletics/24906369,DeMar DeRozan,0.047257313393677,0.8,0.608011392029849,0.5406492623415861,0.5853317759253762,0.5256583365527067,0.525087296962738
1940,Glasgow 2014: The Jamaican university that changed athletics,2013-14,https://www.bbc.co.uk/sport/commonwealth-games/26986280,Deron Williams,0.1588937145105976,1.0,0.5668041427930196,0.536725389957428,0.5558292826016744,0.5239320278167725,0.503265380859375
2202,Leeds United: Managing director David Haigh resigns,2013-14,https://www.bbc.co.uk/sport/football/26995315,David Lee,0.0846074380165289,0.8,0.5784195065498352,0.5236523985862732,0.5949214220046997,0.5371172070503235,0.5489562153816223
2203,Leeds United: David Haigh-led takeover bid falls through,2013-14,https://www.bbc.co.uk/sport/football/25830046,David Lee,0.0782967032967033,1.0,0.608461320400238,0.5248788744211197,0.5717175751924515,0.5250976085662842,0.5489562153816223
2205,Leeds United boosted by new investment from David Haigh,2013-14,https://www.bbc.co.uk/sport/football/25103010,David Lee,0.09,0.6000000000000001,0.5969058275222778,0.5279155671596527,0.6477619409561157,0.5468666851520538,0.5489562153816223
2461,BBL Cup final: Leicester overcome Newcastle in tense finish,2013-14,https://www.bbc.co.uk/sport/basketball/25706951,J.R. Smith,0.1090130568356375,0.8,0.5844780462128776,0.5492082749094281,0.5656767572675433,0.526405760220119,0.5487175583839417
2518,Challenge Cup: Batley Bulldogs 10-48 Castleford Tigers,2013-14,http://www.bbc.co.uk/sport/rugby-league/26855154,Blake Griffin,0.1423765432098765,0.6000000000000001,0.5470893581708273,0.5273948907852173,0.5268233815828959,0.5136494040489197,0.5385785102844238
2523,Glasgow 2014: The Jamaican university that changed athletics,2013-14,https://www.bbc.co.uk/sport/commonwealth-games/26986280,Blake Griffin,0.1588937145105976,1.0,0.5934263507525126,0.5421339551607768,0.6043120423952738,0.527944819132487,0.5385785102844238
2623,World Taekwondo Grand Prix: Lutalo Muhammad wins gold,2013-14,https://www.bbc.co.uk/sport/taekwondo/25379517,Brook Lopez,0.1367753623188406,0.8,0.6042030368532453,0.5192391446658543,0.5899768727166312,0.5263014691216605,0.5771297216415405
2694,Boxing schedule and results 2013,2013-14,https://www.bbc.co.uk/sport/boxing/25622907,Brook Lopez,0.0431818181818181,1.0,0.600383538624336,0.5385501549161714,0.5900208066249716,0.5322402551256377,0.5771297216415405
2869,Jersey Premiership: St Paul's edge closer to title with Scottish draw,2013-14,https://www.bbc.co.uk/sport/football/26856524,Paul Pierce,0.1170951943679216,0.8,0.6257053136825561,0.5677790522575379,0.6220255494117737,0.5184020757675171,0.537528932094574
3130,World Cup 2014: Guide to Switzerland's Group E,2013-14,https://www.bbc.co.uk/sport/football/25180409,Al Jefferson,0.1095268337783307,1.0,0.5963912124817188,0.5297624881450946,0.5684926165984228,0.5271192834927485,0.5454137921333313
3235,Celtic midfielder Paul George moves to Hamilton on loan,2013-14,https://www.bbc.co.uk/sport/football/25736730,Paul George,-0.0166666666666666,1.0,0.5911806225776672,0.5505723357200623,0.5382283926010132,0.5469199419021606,0.5301638841629028
4040,East Fife 1-2 Stenhousemuir,2013-14,https://www.bbc.co.uk/sport/football/26898862,Josh Smith,0.1505952380952381,0.8,0.6745335608720779,0.5290233492851257,0.5968444347381592,0.5341427773237228,0.5186728239059448
4041,Kidderminster Harriers 2-2 Braintree Town,2013-14,https://www.bbc.co.uk/sport/football/26202826,Josh Smith,0.1365646258503401,0.8,0.6198321580886841,0.5467103481292724,0.5747933626174927,0.5166953206062317,0.5186728239059448
4165,Stenhousemuir 4-2 Brechin City,2013-14,https://www.bbc.co.uk/sport/football/26493557,Josh Smith,0.1741496598639455,0.6000000000000001,0.6000066101551056,0.5284625738859177,0.549827441573143,0.539865180850029,0.5186728239059448
