Unnamed: 0,title,date,url,player,textblob_Sentiment,key_words_score,sentiment_bert_average_score,sentiment_roberta_average_score,sentiment_xlnet_average_score,sentiment_distilbert_average_score,bert_relevance
1136,Plymouth Raiders: Jeremy Bell leaves Devon club,2012-13,https://www.bbc.co.uk/sport/basketball/20945466,Kevin Love,0.1655442176870748,0.8,0.560091570019722,0.5496843904256821,0.628044381737709,0.5164246261119843,0.5750598907470703
1277,Queen of the South 4-1 Stranraer,2012-13,https://www.bbc.co.uk/sport/football/20828892,Kevin Love,0.0333333333333333,0.6000000000000001,0.5969150364398956,0.5444220304489136,0.5366931259632111,0.5225412845611572,0.5750598907470703
1375,Hull KR 6-84 Wigan,2012-13,https://www.bbc.co.uk/sport/rugby-league/21957133,Blake Griffin,0.0810221928277483,0.8,0.5958738582474845,0.5285309978893825,0.596841037273407,0.5224206021853856,0.5138536095619202
1409,Super League 2013: Club-by-club season preview,2012-13,https://www.bbc.co.uk/sport/rugby-league/21164401,Blake Griffin,0.1754957016476624,1.0,0.5821135709452074,0.5371759298235871,0.5737188347550326,0.5293998648953993,0.5138536095619202
1580,Sloane Stephens enters the big time with win over Serena Williams,2012-13,https://www.bbc.co.uk/sport/tennis/21166123,Dirk Nowitzki,0.1392622841076449,1.2,0.6071893356063149,0.52683809670535,0.607765875079415,0.5216357491233132,0.5630936026573181
1643,NBA London: New York Knicks beat Detroit Pistons at O2,2012-13,https://www.bbc.co.uk/sport/basketball/21069222,Carmelo Anthony,0.0148989898989898,1.2,0.5275499075651169,0.533746674656868,0.5576496720314026,0.53116275370121,0.5101965665817261
1733,BBL Cup Final: Leicester Riders beat Newcastle Eagles,2012-13,https://www.bbc.co.uk/sport/basketball/20973834,Carmelo Anthony,0.1471153846153846,0.8,0.5884880920251211,0.53586678703626,0.5699108938376108,0.5486010511716207,0.5101965665817261
1834,Josh Cobb one of five to sign new Leicestershire deals,2012-13,https://www.bbc.co.uk/sport/cricket/22094741,Josh Smith,0.2613636363636363,0.8,0.6169462502002716,0.5059635937213898,0.5716366171836853,0.5369786620140076,0.5094208717346191
1915,BBL Cup Final: Leicester Riders beat Newcastle Eagles,2012-13,https://www.bbc.co.uk/sport/basketball/20973834,Josh Smith,0.1471153846153846,0.8,0.58964271346728,0.5582932432492574,0.607822040716807,0.5161454975605011,0.5094208717346191
1985,Kidderminster Harriers sign defender Sam Smith,2012-13,https://www.bbc.co.uk/sport/football/20837589,Josh Smith,0.0122222222222222,0.8,0.6155200600624084,0.535128653049469,0.5580132007598877,0.5411805212497711,0.5094208717346191
2034,Raith Rovers 2-0 Airdrie United,2012-13,https://www.bbc.co.uk/sport/football/20920624,Josh Smith,0.2357142857142857,1.0,0.5764445662498474,0.5538706481456757,0.5530127882957458,0.5278894603252411,0.5094208717346191
