player,date,url,textblob_Sentiment,key_words_score,sentiment_bert_average_score,sentiment_roberta_average_score,sentiment_xlnet_average_score,sentiment_distilbert_average_score,bert_relevance,nltk_Sentiment,number_of_articles
Al Horford,2015-16,['https://www.bbc.co.uk/sport/football/35012676'],0.097836858041776,0.6000000000000001,0.5821697142991152,0.530918842012232,0.5714431215416301,0.5202477818185632,0.5821897983551025,0.999,1
Al Jefferson,2015-16,['https://www.bbc.co.uk/sport/football/35012676'],0.097836858041776,0.6000000000000001,0.5967078452760523,0.536966548724608,0.5866213847290386,0.521548330783844,0.5651247501373291,-0.5076,1
Avery Bradley,2015-16,"['https://www.bbc.co.uk/sport/wales/34764145', 'https://www.bbc.co.uk/sport/athletics/34766516', 'https://www.bbc.co.uk/sport/football/35012676']",0.10450028363721703,0.8666666666666667,0.6231121240240155,0.5311098957395219,0.5864852966962161,0.5267383822333285,0.5934475064277649,0.8823,3
Bradley Beal,2015-16,['https://www.bbc.co.uk/sport/football/35012676'],0.097836858041776,0.6000000000000001,0.5800725411285054,0.5446611615744504,0.5676735070618716,0.5279429175636985,0.5873369574546814,0.8095,1
Chris Bosh,2015-16,"['https://www.bbc.co.uk/sport/american-football/35519220', 'https://www.bbc.co.uk/sport/basketball/35966833']",0.15366002193653705,0.4,0.5799698933959008,0.5420895628631115,0.5752801552414895,0.5291762597858906,0.5747102499008179,0.9270499999999999,2
Chris Paul,2015-16,['https://www.bbc.co.uk/sport/football/34869127'],0.1470238095238095,0.6000000000000001,0.7201914588610331,0.5408337116241455,0.512832522392273,0.5447984139124552,0.569281816482544,0.8625,1
Courtney Lee,2015-16,['https://www.bbc.co.uk/sport/rugby-union/35355000'],0.1295482295482295,1.0,0.5810873111089071,0.5264718532562256,0.5895823339621226,0.521499494711558,0.5749678015708923,0.8777,1
DeAndre Jordan,2015-16,"['https://www.bbc.co.uk/sport/basketball/35666842', 'https://www.bbc.co.uk/sport/35769888']",0.2266975308641975,0.8,0.5792535990476608,0.5308859811888801,0.6181166072686513,0.53020469016499,0.5868940353393555,0.99245,2
DeMar DeRozan,2015-16,['https://www.bbc.co.uk/sport/basketball/35319985'],0.2285714285714286,1.0,0.653194934129715,0.5624204277992249,0.5966897904872894,0.5391274988651276,0.5757578611373901,0.9758,1
DeMarcus Cousins,2015-16,['https://www.bbc.co.uk/sport/american-football/35519220'],0.1363253749617386,0.6000000000000001,0.5642393305897713,0.5189409181475639,0.5905982181429863,0.5166824460029602,0.5997127890586853,0.9972,1
