,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
154,Jimmer Fredette,26,0.0,0.0,22.6,3.5,0.0,0.0,5.0,2,False,5,19.1,0.0,0.1,47.4,['SHOOTING GUARD'],fredeji01,0.0,NEW YORK KNICKS,1.0,0.0,1.094,23.8,38.0,0.0,0.1,0.514
499,Briante Weber,23,72.3,0.0,12.9,7.9,36.6,0.0,0.0,1,False,3,5.0,0.0,0.0,39.3,['POINT GUARD'],weberbr01,0.0,MIAMI HEAT,0.0,18.9,1.0,0.0,15.2,0.0,0.0,0.634
20,Thanasis Antetokounmpo,23,0.0,0.0,5.9,2.2,17.9,0.0,0.0,2,False,6,3.7,0.0,0.0,32.9,['SMALL FORWARD'],antetth01,0.0,NEW YORK KNICKS,0.25,9.1,0.75,0.0,30.2,0.0,0.0,0.291
89,Rakeem Christmas,24,0.0,0.0,6.5,0.9,0.0,0.0,0.0,1,False,6,5.6,18.3,0.0,32.0,['POWER FORWARD'],chrisra01,0.0,INDIANA PACERS,0.0,9.1,1.0,0.0,14.7,0.0,0.0,0.343
110,Stephen Curry,27,33.7,0.4,11.9,1.6,13.6,4.1,0.25,79,False,2700,10.3,2.9,13.8,31.5,['POINT GUARD'],curryst01,3.0,GOLDEN STATE WARRIORS,0.554,8.6,0.669,12.9,32.6,9.5,17.9,0.318
100,Bryce Cotton,23,0.0,0.0,5.8,0.2,0.0,0.0,0.0,5,False,6,5.7,0.0,0.0,29.1,['POINT GUARD'],cottobr01,0.0,MEMPHIS GRIZZLIES,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.221
131,Kevin Durant,27,24.2,2.5,9.9,1.6,21.8,3.5,0.361,72,False,2578,8.4,2.0,11.0,28.2,['SMALL FORWARD'],duranke01,1.3,OKLAHOMA CITY THUNDER,0.348,12.4,0.634,13.5,30.6,7.8,14.5,0.27
309,Boban Marjanović,27,6.6,3.5,4.3,0.4,26.2,1.2,0.655,54,False,508,3.9,16.9,2.3,27.7,['CENTER'],marjabo01,1.2,SAN ANTONIO SPURS,0.0,21.7,0.662,11.5,22.8,0.8,3.4,0.325
503,Russell Westbrook,27,49.6,0.6,7.8,1.4,18.1,4.0,0.397,80,False,2750,6.4,6.1,10.0,27.6,['POINT GUARD'],westbru01,2.9,OKLAHOMA CITY THUNDER,0.236,12.4,0.554,16.8,31.6,6.8,14.0,0.245
244,LeBron James,31,36.0,1.5,9.0,2.0,18.8,4.0,0.347,76,False,2709,7.0,4.7,9.6,27.5,['SMALL FORWARD'],jamesle01,2.0,CLEVELAND CAVALIERS,0.199,11.8,0.588,13.2,31.4,7.5,13.6,0.242
385,Chris Paul,30,52.7,0.4,7.9,2.0,12.0,3.5,0.294,74,False,2420,5.9,1.8,9.2,26.2,['POINT GUARD'],paulch01,3.1,LOS ANGELES CLIPPERS,0.295,7.0,0.575,13.4,27.1,6.0,12.7,0.253
293,Kawhi Leonard,24,13.0,2.3,9.1,3.0,18.4,5.5,0.306,72,False,2380,6.1,4.7,8.3,26.0,['SMALL FORWARD'],leonaka01,2.8,SAN ANTONIO SPURS,0.267,11.8,0.616,7.8,25.8,6.7,13.7,0.277
504,Hassan Whiteside,26,2.4,9.7,4.1,2.4,32.4,5.3,0.482,73,False,2125,1.7,13.1,5.0,25.6,['CENTER'],whiteha01,1.1,MIAMI HEAT,0.0,23.1,0.629,14.2,20.7,3.3,10.3,0.233
192,James Harden,26,35.4,1.4,6.6,0.2,15.6,2.6,0.518,82,False,3125,6.4,2.2,10.7,25.3,['SHOOTING GUARD'],hardeja01,2.2,HOUSTON ROCKETS,0.406,8.8,0.598,15.9,32.5,6.8,13.3,0.204
112,Anthony Davis,22,10.0,4.7,3.9,0.4,26.4,2.8,0.379,61,False,2164,3.6,6.4,4.4,25.0,['CENTER'],davisan02,1.8,NEW ORLEANS PELICANS,0.095,16.1,0.559,8.4,29.6,3.2,7.2,0.16
155,Enes Freedom,23,3.1,1.5,1.2,-2.1,24.9,2.1,0.349,82,False,1721,3.3,16.7,6.0,24.0,['CENTER'],kanteen01,0.7,OKLAHOMA CITY THUNDER,0.029,21.0,0.626,12.2,23.4,1.4,8.1,0.226
291,David Lee,32,12.5,2.9,2.8,0.6,29.1,0.7,0.294,25,False,433,2.3,15.2,1.5,24.0,['POWER FORWARD'],leeda02,1.2,DALLAS MAVERICKS,0.0,22.2,0.66,14.8,20.0,0.5,2.1,0.237
