,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
505,Ish Smith,31,27.1,1.5,-1.3,-1.0,12.0,0.6,0.125,68,False,1787,-0.3,1.8,1.3,13.9,['POINT GUARD'],smithis01,1.5,WASHINGTON WIZARDS,0.245,6.7,0.509,11.6,19.1,0.3,1.9,0.051
144,Terence Davis,22,14.2,1.1,0.8,0.7,16.0,1.9,0.135,72,False,1209,0.1,4.5,1.2,13.8,['SHOOTING GUARD'],daviste02,1.5,TORONTO RAPTORS,0.555,10.3,0.588,14.1,19.0,0.8,3.1,0.122
503,Marcus Smart,25,21.1,1.4,1.4,1.4,10.1,2.8,0.223,60,False,1919,0.0,2.4,1.7,13.8,['SHOOTING GUARD'],smartma01,2.5,BOSTON CELTICS,0.579,6.3,0.518,12.1,18.9,1.6,4.5,0.112
427,KZ Okpala,20,5.5,3.8,2.4,3.7,16.6,0.0,0.4,5,False,26,-1.3,4.5,0.0,13.7,['POWER FORWARD'],okpalkz01,3.8,MIAMI HEAT,0.2,10.8,0.595,14.5,11.7,0.0,0.1,0.118
349,Thon Maker,22,8.0,4.2,-1.4,0.7,16.7,0.8,0.57,60,False,776,-2.1,7.8,0.7,13.7,['CENTER'],makerth01,1.6,DETROIT PISTONS,0.332,12.2,0.582,15.7,16.1,0.1,1.5,0.096
81,Troy Brown Jr.,20,14.1,0.3,-1.2,-0.4,19.6,1.2,0.223,69,False,1782,-0.8,4.5,1.3,13.7,['SMALL FORWARD'],browntr01,2.2,WASHINGTON WIZARDS,0.288,11.7,0.524,10.4,17.8,0.3,2.4,0.065
408,Shabazz Napier,28,21.7,0.7,-1.6,-0.7,9.1,0.3,0.376,20,False,488,-0.9,1.9,0.1,13.6,['POINT GUARD'],napiesh01,2.8,WASHINGTON WIZARDS,0.468,5.4,0.573,20.5,21.6,0.0,0.4,0.039
311,Maxi Kleber,28,6.3,3.8,0.4,0.0,15.1,1.7,0.181,74,False,1890,0.4,6.3,3.2,13.6,['POWER FORWARD'],klebima01,0.6,DALLAS MAVERICKS,0.621,10.8,0.605,9.5,13.9,1.1,4.8,0.123
375,De'Anthony Melton,21,20.1,1.5,-0.2,2.0,15.7,1.7,0.302,60,False,1167,-2.2,4.0,0.1,13.5,['POINT GUARD'],meltode01,3.1,MEMPHIS GRIZZLIES,0.349,9.9,0.501,15.6,19.2,0.5,1.7,0.072
129,Robert Covington,29,5.9,2.6,0.0,1.2,19.5,1.8,0.19,48,False,1411,-1.2,2.6,0.5,13.5,['POWER FORWARD'],covinro01,2.6,MINNESOTA TIMBERWOLVES,0.629,10.7,0.572,12.0,17.8,0.7,2.3,0.078
222,Rui Hachimura,21,8.8,0.5,-3.2,-2.0,17.0,0.5,0.257,48,False,1444,-1.2,5.7,1.3,13.5,['POWER FORWARD'],hachiru01,1.2,WASHINGTON WIZARDS,0.16,11.1,0.535,8.0,19.0,-0.4,1.8,0.06
489,Tomáš Satoranský,28,27.1,0.4,-1.2,-0.2,11.0,1.7,0.22,65,False,1878,-1.1,4.3,1.8,13.5,['SHOOTING GUARD'],satorto01,2.1,CHICAGO BULLS,0.361,7.5,0.533,17.7,16.7,0.4,3.5,0.09
550,Dion Waiters,28,12.5,4.7,1.8,-0.5,28.2,0.1,0.038,3,False,42,2.4,0.0,-0.1,13.4,['SHOOTING GUARD'],waitedi01,0.0,MIAMI HEAT,0.654,14.7,0.53,10.2,30.9,0.0,0.0,-0.003
289,Alize Johnson,23,7.7,1.5,-1.6,0.2,29.4,0.2,0.345,17,False,118,-1.8,15.0,0.1,13.3,['POWER FORWARD'],johnsal02,1.2,INDIANA PACERS,0.276,22.3,0.509,17.3,15.0,0.0,0.3,0.111
27,Harrison Barnes,27,9.2,0.5,-1.3,-1.3,12.9,1.1,0.337,72,False,2482,0.0,3.4,3.4,13.3,['POWER FORWARD'],barneha02,0.8,SACRAMENTO KINGS,0.338,8.1,0.574,8.8,17.4,0.5,4.6,0.088
234,Joe Harris,28,10.4,0.7,-0.2,-0.6,11.2,1.8,0.114,69,False,2123,0.4,3.2,2.5,13.3,['SMALL FORWARD'],harrijo01,0.9,BROOKLYN NETS,0.518,7.3,0.606,11.2,18.3,1.0,4.3,0.097
522,Matt Thomas,25,7.5,0.2,1.1,0.1,12.2,0.6,0.08,41,False,440,1.0,2.2,0.7,13.3,['SHOOTING GUARD'],thomama02,1.1,TORONTO RAPTORS,0.66,7.3,0.65,9.3,16.6,0.3,1.2,0.133
585,Thaddeus Young,31,11.3,1.4,-1.2,0.2,16.1,2.1,0.12,64,False,1591,-1.4,6.2,-0.2,13.3,['POWER FORWARD'],youngth01,2.8,CHICAGO BULLS,0.369,10.9,0.521,13.9,19.7,0.3,1.9,0.058
16,OG Anunoby,22,7.5,2.1,1.2,2.0,14.2,3.7,0.18,69,False,2066,-0.8,4.2,2.1,13.2,['SMALL FORWARD'],anunoog01,2.2,TORONTO RAPTORS,0.403,9.3,0.6,11.5,14.3,1.7,5.7,0.134
111,Chris Chiozza,24,29.5,0.6,-1.1,-0.3,10.6,0.3,0.047,18,False,278,-0.8,3.4,0.2,13.2,['POINT GUARD'],chiozch01,1.9,BROOKLYN NETS,0.528,7.1,0.531,17.5,19.7,0.1,0.5,0.08
73,Ryan Broekhoff,29,8.3,1.9,0.8,0.3,21.9,0.2,0.136,17,False,180,0.5,3.0,0.2,13.1,['SMALL FORWARD'],broekry01,1.3,DALLAS MAVERICKS,0.864,12.5,0.568,8.8,16.3,0.1,0.4,0.109
470,Duncan Robinson,25,7.1,0.9,0.5,-1.0,11.0,1.6,0.105,73,False,2166,1.5,0.5,3.7,13.1,['SHOOTING GUARD'],robindu01,0.8,MIAMI HEAT,0.882,6.0,0.684,8.9,16.0,1.3,5.3,0.118
130,Robert Covington,29,6.1,5.7,0.2,1.4,21.7,1.2,0.132,22,False,726,-1.2,3.9,0.2,13.1,['CENTER'],covinro01,2.2,HOUSTON ROCKETS,0.74,12.7,0.531,11.1,15.4,0.4,1.4,0.094
216,Javonte Green,26,7.7,1.6,-0.7,1.4,15.6,0.8,0.333,48,False,468,-2.1,5.6,0.4,13.1,['SHOOTING GUARD'],greenja02,2.5,BOSTON CELTICS,0.262,10.6,0.564,13.7,15.3,0.2,1.1,0.113
