,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
50,Sim Bhullar,22,78.5,26.3,32.5,17.5,36.5,0.0,0.0,3,False,3,14.9,0.0,0.0,44.3,['CENTER'],bhullsi01,0.0,SACRAMENTO KINGS,0.0,18.9,0.5,0.0,29.4,0.0,0.0,0.389
367,Eric Moreland,23,0.0,0.0,17.2,8.5,54.8,0.0,0.0,3,False,2,8.7,0.0,0.0,40.8,['POWER FORWARD'],moreler01,0.0,SACRAMENTO KINGS,0.0,28.4,1.0,0.0,22.0,0.0,0.0,0.431
419,Dwight Powell,23,0.0,0.0,12.9,8.9,12.3,0.0,0.4,5,False,9,4.0,0.0,0.0,34.9,['POWER FORWARD'],poweldw01,11.1,BOSTON CELTICS,0.0,6.1,0.765,25.4,38.3,0.0,0.0,0.138
511,Tyrus Thomas,28,22.5,0.0,18.5,7.3,0.0,0.0,2.0,2,False,7,11.2,0.0,0.1,31.4,['POWER FORWARD'],thomaty01,0.0,MEMPHIS GRIZZLIES,0.0,0.0,1.064,0.0,12.3,0.0,0.1,0.477
132,Anthony Davis,21,11.6,6.2,8.9,2.3,24.1,4.2,0.384,68,False,2455,6.6,8.0,9.9,30.8,['POWER FORWARD'],davisan02,2.1,NEW ORLEANS PELICANS,0.01,16.1,0.591,6.3,27.8,6.7,14.0,0.274
545,Russell Westbrook,26,47.0,0.5,8.1,1.2,16.7,3.2,0.445,67,False,2302,6.9,5.9,7.5,29.1,['POINT GUARD'],westbru01,3.0,OKLAHOMA CITY THUNDER,0.196,11.4,0.536,14.3,38.4,5.8,10.6,0.222
123,Stephen Curry,26,38.6,0.5,9.9,1.7,11.4,4.1,0.251,80,False,2613,8.2,2.4,11.5,28.0,['POINT GUARD'],curryst01,3.0,GOLDEN STATE WARRIORS,0.482,7.0,0.638,14.3,28.9,7.9,15.7,0.288
157,Kevin Durant,26,22.2,2.2,10.0,1.4,18.7,1.0,0.366,27,False,913,8.6,1.9,3.8,27.6,['SMALL FORWARD'],duranke01,1.3,OKLAHOMA CITY THUNDER,0.34,10.4,0.633,12.0,29.1,2.8,4.8,0.252
225,James Harden,25,34.6,1.6,8.8,1.8,14.2,4.2,0.561,81,False,2981,7.0,2.8,12.2,26.7,['SHOOTING GUARD'],hardeja01,2.6,HOUSTON ROCKETS,0.378,8.5,0.605,14.9,31.3,8.1,16.4,0.265
546,Hassan Whiteside,25,1.0,9.2,4.1,1.6,34.7,2.4,0.403,48,False,1142,2.5,15.6,2.8,26.2,['CENTER'],whiteha01,1.2,MIAMI HEAT,0.0,25.4,0.619,11.3,21.1,1.8,5.3,0.221
