,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
310,DeAndre Liggins,25,0.0,0.0,41.5,-0.6,0.0,0.0,0.0,1,False,1,42.1,100.0,0.0,129.1,['SHOOTING GUARD'],liggide01,0.0,MIAMI HEAT,0.0,62.8,1.0,0.0,47.8,0.0,0.0,2.123
352,Tony Mitchell,24,22.6,0.0,10.6,1.7,0.0,0.0,0.0,3,False,10,9.0,11.1,0.0,30.9,['SMALL FORWARD'],mitchto03,5.2,MILWAUKEE BUCKS,0.2,5.7,0.6,0.0,22.6,0.0,0.1,0.242
160,Kevin Durant,25,26.7,1.5,10.2,1.4,18.6,4.4,0.477,81,False,3122,8.8,2.2,14.8,29.8,['SMALL FORWARD'],duranke01,1.7,OKLAHOMA CITY THUNDER,0.291,10.8,0.635,12.2,33.0,9.6,19.2,0.295
262,LeBron James,29,32.0,0.8,8.8,1.1,18.9,3.7,0.432,77,False,2902,7.8,3.6,12.3,29.3,['POWER FORWARD'],jamesle01,2.2,MIAMI HEAT,0.226,11.5,0.649,14.4,31.0,7.9,15.9,0.264
316,Kevin Love,25,21.4,1.0,8.9,0.6,29.5,3.7,0.445,77,False,2797,8.3,8.5,10.6,26.9,['POWER FORWARD'],loveke01,1.0,MINNESOTA TIMBERWOLVES,0.355,18.7,0.591,10.3,28.8,7.7,14.3,0.245
135,Anthony Davis,20,8.0,6.7,4.8,0.8,23.3,3.2,0.438,67,False,2358,4.0,10.0,7.2,26.5,['POWER FORWARD'],davisan02,2.0,NEW ORLEANS PELICANS,0.009,16.6,0.582,8.3,25.2,4.0,10.4,0.212
118,DeMarcus Cousins,23,17.8,3.2,5.2,1.6,30.5,3.8,0.5,71,False,2298,3.6,10.6,4.1,26.1,['CENTER'],couside01,2.4,SACRAMENTO KINGS,0.006,20.4,0.555,14.7,32.7,4.2,7.9,0.166
398,Chris Paul,28,48.9,0.1,8.6,2.6,11.4,3.2,0.397,62,False,2171,6.0,2.0,9.0,25.9,['POINT GUARD'],paulch01,3.5,LOS ANGELES CLIPPERS,0.244,6.9,0.58,12.4,23.7,5.8,12.2,0.27
314,Brook Lopez,25,6.1,4.8,3.7,-0.3,14.1,0.5,0.502,17,False,533,4.0,8.8,1.9,25.4,['CENTER'],lopezbr01,0.9,BROOKLYN NETS,0.004,11.5,0.629,9.1,27.1,0.8,2.3,0.211
525,Russell Westbrook,25,40.2,0.4,5.5,0.7,15.9,2.3,0.37,46,False,1412,4.8,4.6,3.0,24.7,['POINT GUARD'],westbru01,3.1,OKLAHOMA CITY THUNDER,0.271,10.5,0.545,16.1,34.4,2.7,5.2,0.178
21,Carmelo Anthony,29,15.8,1.5,5.0,-0.8,19.4,2.5,0.329,77,False,2982,5.8,5.6,8.1,24.4,['POWER FORWARD'],anthoca01,1.7,NEW YORK KNICKS,0.253,12.3,0.561,9.5,32.4,5.3,10.7,0.172
77,MarShon Brooks,25,0.0,0.0,-1.6,0.3,28.6,0.0,0.308,7,False,15,-2.0,7.4,0.0,24.3,['SHOOTING GUARD'],brookma01,3.3,GOLDEN STATE WARRIORS,0.154,18.2,0.44,0.0,43.3,0.0,0.0,0.087
130,Stephen Curry,25,39.9,0.4,7.4,1.1,10.9,4.0,0.252,78,False,2846,6.3,1.8,9.3,24.1,['POINT GUARD'],curryst01,2.2,GOLDEN STATE WARRIORS,0.445,6.4,0.61,16.1,28.3,6.7,13.4,0.225
212,Blake Griffin,24,19.2,1.4,4.5,0.7,21.2,4.1,0.496,80,False,2863,3.8,7.7,8.1,23.9,['POWER FORWARD'],griffbl01,1.6,LOS ANGELES CLIPPERS,0.032,14.7,0.583,11.9,29.0,4.7,12.2,0.205
380,Dirk Nowitzki,35,14.2,1.4,5.0,0.0,20.0,2.3,0.295,80,False,2628,5.0,1.8,8.6,23.6,['POWER FORWARD'],nowitdi01,1.4,DALLAS MAVERICKS,0.258,10.9,0.603,7.5,26.9,4.7,10.9,0.199
220,James Harden,24,27.3,0.8,5.6,0.2,10.7,2.7,0.552,73,False,2777,5.4,2.6,10.1,23.5,['SHOOTING GUARD'],hardeja01,2.1,HOUSTON ROCKETS,0.401,6.9,0.618,15.0,27.8,5.3,12.8,0.221
540,Brandan Wright,26,4.7,4.2,3.4,0.0,15.1,1.0,0.32,58,False,1077,3.4,11.0,4.1,23.5,['CENTER'],wrighbr03,1.5,DALLAS MAVERICKS,0.0,13.1,0.695,8.5,17.4,1.5,5.1,0.227
267,Al Jefferson,29,12.8,2.4,2.7,0.5,28.3,4.7,0.201,73,False,2553,2.2,6.9,3.1,22.7,['CENTER'],jeffeal01,1.4,CHARLOTTE BOBCATS,0.011,17.5,0.532,7.6,29.3,3.0,7.8,0.146
156,Andre Drummond,20,2.2,4.0,1.4,-0.6,27.7,3.5,0.427,81,False,2619,2.0,17.5,6.4,22.6,['CENTER'],drumman01,2.0,DETROIT PISTONS,0.003,22.3,0.599,10.7,16.7,2.3,9.9,0.182
514,Dwyane Wade,32,25.5,1.4,2.9,0.0,12.3,2.0,0.339,54,False,1775,2.9,4.4,3.5,22.0,['SHOOTING GUARD'],wadedw01,2.3,MIAMI HEAT,0.042,8.5,0.588,15.5,27.9,2.2,5.5,0.149
248,Al Horford,27,15.2,3.6,3.0,0.8,21.4,1.3,0.202,29,False,958,2.2,8.0,1.5,22.0,['CENTER'],horfoal01,1.4,ATLANTA HAWKS,0.026,14.8,0.588,12.3,24.7,1.2,2.8,0.141
8,LaMarcus Aldridge,28,13.0,1.9,2.3,0.1,25.5,3.5,0.253,69,False,2498,2.3,7.2,4.0,21.8,['POWER FORWARD'],aldrila01,1.3,PORTLAND TRAIL BLAZERS,0.011,16.5,0.507,7.2,29.8,2.7,7.5,0.144
