,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
527,Stanley Umude,23,0.0,43.8,48.5,32.7,0.0,0.0,2.0,1,False,2,15.8,0.0,0.0,65.6,['SHOOTING GUARD'],umudest01,24.2,DETROIT PISTONS,1.0,0.0,0.532,0.0,39.9,0.0,0.0,0.629
138,Tyler Dorsey,26,0.0,0.0,18.2,1.6,14.9,0.0,0.0,3,False,8,16.6,14.4,0.1,45.9,['SHOOTING GUARD'],dorsety01,0.0,DALLAS MAVERICKS,0.4,14.7,0.9,0.0,28.3,0.0,0.1,0.37
312,A.J. Lawson,22,0.0,0.0,5.2,7.6,55.1,0.0,0.0,1,False,2,-2.3,0.0,0.0,34.6,['SHOOTING GUARD'],lawsoaj01,0.0,MINNESOTA TIMBERWOLVES,0.0,28.1,1.0,0.0,21.4,0.0,0.0,0.377
274,Nikola Jokić,27,46.3,1.7,13.0,4.4,31.5,3.4,0.402,64,False,2172,8.6,8.6,10.8,31.6,['CENTER'],jokicni01,1.8,DENVER NUGGETS,0.143,20.4,0.703,16.8,27.1,8.2,14.1,0.312
157,Joel Embiid,28,22.5,4.7,9.0,2.3,28.0,3.6,0.583,58,False,2030,6.7,6.2,7.5,31.5,['CENTER'],embiijo01,1.5,PHILADELPHIA 76ERS,0.147,17.3,0.653,11.9,37.2,5.6,11.1,0.262
150,Kevin Durant,34,19.6,3.7,12.4,2.8,24.3,0.1,0.405,3,False,98,9.6,1.1,0.5,30.1,['SMALL FORWARD'],duranke01,0.5,PHOENIX SUNS,0.31,12.5,0.808,10.8,24.1,0.4,0.6,0.295
137,Luka Dončić,23,43.4,1.2,9.5,1.6,25.6,2.6,0.5,57,False,2068,7.9,2.7,6.7,29.5,['POINT GUARD'],doncilu01,2.0,DALLAS MAVERICKS,0.36,13.9,0.613,12.0,38.2,6.0,9.3,0.215
98,Justin Champagnie,21,15.4,0.0,7.9,1.8,33.4,0.0,0.0,3,False,11,6.1,9.6,0.1,29.0,['SMALL FORWARD'],champju01,0.0,TORONTO RAPTORS,0.0,20.6,1.0,0.0,11.6,0.0,0.1,0.33
11,Giannis Antetokounmpo,28,32.3,2.0,8.2,2.6,29.5,3.4,0.619,56,False,1820,5.6,7.5,4.4,28.6,['POWER FORWARD'],antetgi01,1.1,MILWAUKEE BUCKS,0.137,18.9,0.602,13.1,38.7,4.7,7.7,0.204
120,Anthony Davis,29,12.7,5.3,6.2,1.8,28.0,2.8,0.449,46,False,1546,4.4,11.1,4.2,27.6,['CENTER'],davisan02,1.4,LOS ANGELES LAKERS,0.086,19.8,0.626,10.2,28.8,3.2,7.0,0.216
180,Shai Gilgeous-Alexander,24,25.7,2.6,7.2,1.5,11.9,2.7,0.529,60,False,2135,5.7,2.7,7.4,27.3,['POINT GUARD'],gilgesh01,2.3,OKLAHOMA CITY THUNDER,0.121,7.2,0.625,10.3,32.8,4.9,10.1,0.227
