,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
461,Jarnell Stokes,23,40.1,0.0,16.8,11.9,15.6,0.0,2.0,2,False,7,4.9,15.9,0.1,31.5,['CENTER'],stokeja01,7.0,DENVER NUGGETS,0.0,15.8,0.798,0.0,11.4,0.0,0.1,0.48
243,Demetrius Jackson,22,28.2,0.0,9.8,0.1,13.0,0.0,1.5,5,False,17,9.7,13.2,0.1,30.8,['POINT GUARD'],jacksde01,0.0,BOSTON CELTICS,0.25,13.1,0.753,0.0,17.3,0.1,0.1,0.386
509,Russell Westbrook,28,57.3,0.9,11.1,2.4,28.8,4.6,0.433,81,False,2802,8.7,5.4,8.5,30.6,['POINT GUARD'],westbru01,2.3,OKLAHOMA CITY THUNDER,0.3,17.1,0.554,15.9,41.7,9.3,13.1,0.224
312,Boban Marjanović,28,5.3,3.4,5.5,0.1,32.5,0.5,0.439,35,False,293,5.4,16.5,1.2,29.6,['CENTER'],marjabo01,1.0,DETROIT PISTONS,0.0,24.2,0.606,6.0,25.3,0.6,1.7,0.28
290,Kawhi Leonard,25,18.9,1.8,9.4,2.2,15.7,4.7,0.406,74,False,2474,7.1,3.7,8.9,27.6,['SMALL FORWARD'],leonaka01,2.7,SAN ANTONIO SPURS,0.295,9.8,0.61,9.1,31.1,7.1,13.6,0.264
131,Kevin Durant,28,23.1,3.8,8.9,2.2,23.6,4.0,0.374,62,False,2070,6.7,2.2,8.0,27.6,['POWER FORWARD'],duranke01,1.5,GOLDEN STATE WARRIORS,0.304,13.6,0.651,10.4,27.8,5.7,12.0,0.278
111,Anthony Davis,23,11.1,5.1,5.9,1.4,27.9,5.1,0.424,75,False,2708,4.4,6.7,5.9,27.5,['CENTER'],davisan02,1.7,NEW ORLEANS PELICANS,0.088,17.2,0.58,9.1,32.6,5.4,11.0,0.195
192,James Harden,27,50.7,1.0,8.7,1.2,20.9,3.6,0.575,81,False,2947,7.5,3.5,11.5,27.4,['POINT GUARD'],hardeja01,2.0,HOUSTON ROCKETS,0.493,12.2,0.613,19.5,34.2,8.0,15.0,0.245
246,LeBron James,32,41.3,1.3,7.6,1.2,20.7,3.0,0.395,74,False,2794,6.4,4.0,9.8,27.0,['SMALL FORWARD'],jamesle01,1.6,CLEVELAND CAVALIERS,0.254,12.6,0.619,16.1,30.0,6.7,12.9,0.221
472,Isaiah Thomas,27,32.5,0.4,6.7,-1.1,7.0,1.6,0.441,76,False,2569,7.8,1.9,10.9,26.5,['POINT GUARD'],thomais02,1.4,BOSTON CELTICS,0.439,4.4,0.625,10.7,34.0,5.6,12.5,0.234
100,DeMarcus Cousins,26,27.4,3.6,7.2,1.6,28.3,2.6,0.491,55,False,1891,5.6,7.1,3.4,26.5,['CENTER'],couside01,2.0,SACRAMENTO KINGS,0.239,17.8,0.562,13.2,37.5,4.4,6.0,0.153
260,Nikola Jokić,21,28.8,2.1,7.3,1.4,27.2,2.0,0.267,73,False,2038,5.9,11.6,7.7,26.3,['CENTER'],jokicni01,1.5,DENVER NUGGETS,0.163,19.5,0.64,15.2,23.5,4.8,9.7,0.228
389,Chris Paul,31,46.8,0.3,8.7,2.5,15.0,2.6,0.331,61,False,1921,6.3,2.4,7.9,26.2,['POINT GUARD'],paulch01,3.1,LOS ANGELES CLIPPERS,0.385,8.8,0.614,14.0,24.4,5.2,10.6,0.264
230,Josh Huestis,25,15.5,7.7,8.8,1.2,17.9,0.0,0.091,2,False,31,7.6,14.3,0.1,26.1,['POWER FORWARD'],huestjo01,0.0,OKLAHOMA CITY THUNDER,0.364,16.1,0.612,0.0,15.7,0.1,0.2,0.265
17,Giannis Antetokounmpo,22,26.6,4.7,7.3,2.4,22.6,4.5,0.486,80,False,2845,4.9,5.9,7.9,26.1,['SMALL FORWARD'],antetgi01,2.3,MILWAUKEE BUCKS,0.143,14.3,0.599,13.3,28.3,6.7,12.4,0.21
483,Karl-Anthony Towns,21,13.2,2.9,4.7,-0.7,27.8,2.8,0.289,82,False,3030,5.5,11.2,9.9,25.9,['CENTER'],townska01,0.9,MINNESOTA TIMBERWOLVES,0.186,19.4,0.618,11.3,27.5,5.2,12.7,0.201
326,JaVale McGee,29,3.8,7.1,1.2,0.2,20.1,1.5,0.348,77,False,739,1.0,15.9,2.0,25.2,['CENTER'],mcgeeja01,1.2,GOLDEN STATE WARRIORS,0.009,18.1,0.642,9.8,23.8,0.6,3.5,0.225
72,Jimmy Butler,27,24.8,0.9,7.3,1.7,13.2,3.8,0.54,76,False,2809,5.6,4.9,10.1,25.1,['SMALL FORWARD'],butleji01,2.6,CHICAGO BULLS,0.198,9.0,0.586,9.3,26.5,6.6,13.8,0.236
109,Stephen Curry,28,31.2,0.5,6.9,0.3,11.4,3.9,0.251,79,False,2638,6.7,2.7,8.7,24.6,['POINT GUARD'],curryst01,2.6,GOLDEN STATE WARRIORS,0.547,7.3,0.624,13.0,30.1,5.9,12.6,0.229
136,Joel Embiid,22,16.0,7.7,4.5,2.7,25.6,1.5,0.569,31,False,786,1.9,8.5,0.5,24.1,['CENTER'],embiijo01,1.7,PHILADELPHIA 76ERS,0.228,17.0,0.584,17.9,36.0,1.3,1.9,0.117
299,Shawn Long,24,10.7,3.1,1.2,-1.1,20.8,0.3,0.321,18,False,234,2.3,19.3,0.6,24.1,['CENTER'],longsh01,1.9,PHILADELPHIA 76ERS,0.174,20.0,0.595,9.5,25.4,0.2,0.9,0.195
296,Damian Lillard,26,28.7,0.6,5.0,-1.1,13.3,1.5,0.366,75,False,2694,6.1,1.9,8.8,24.1,['POINT GUARD'],lillada01,1.3,PORTLAND TRAIL BLAZERS,0.389,7.6,0.586,10.2,31.5,4.8,10.4,0.185
119,DeMar DeRozan,27,20.6,0.4,3.0,-1.0,13.6,2.4,0.419,74,False,2620,4.1,3.0,6.7,24.0,['SHOOTING GUARD'],derozde01,1.5,TORONTO RAPTORS,0.08,8.3,0.552,9.0,34.3,3.3,9.0,0.166
520,Lou Williams,30,22.3,0.6,5.8,-0.4,9.5,0.6,0.469,58,False,1403,6.2,1.1,4.3,23.9,['SHOOTING GUARD'],willilo02,2.3,LOS ANGELES LAKERS,0.432,5.1,0.609,11.9,30.6,2.8,4.9,0.169
156,Enes Freedom,24,7.9,2.0,1.7,-1.3,20.8,1.8,0.387,72,False,1533,3.0,14.1,4.0,23.7,['CENTER'],kanteen01,1.0,OKLAHOMA CITY THUNDER,0.052,17.4,0.599,12.5,27.3,1.4,5.8,0.183
