,Unnamed: 0,title,time,url
40,40,Lakers Quickly Move On From Green’s Missed 3 In Game 5,off-season news,http://global.nba.com/news/lakers-quickly-move-on-from-greens-missed-3-in-game-5/
41,41,"Jimmy Butler ‘Left It All Out There’ In Sublime Performance, Outdueling LeBron James",off-season news,http://global.nba.com/news/jimmy-butler-left-it-all-out-there-in-sublime-performance-outdueling-lebron-james/
42,42,"The Finals Stat, Game 5: Jimmy Butler To The Line, Heat To Game 6",off-season news,http://global.nba.com/news/the-finals-stat-game-5-jimmy-butler-to-the-line-heat-to-game-6/
43,43,Anthony Davis Injury Scare Derails Lakers As Game 6 Looms,off-season news,http://global.nba.com/news/anthony-davis-injury-scare-derails-lakers-as-game-6-looms/
44,44,2020 NBA Finals Complete Schedule & Playoffs Results,off-season news,http://global.nba.com/news/2020-nba-playoffs-schedule-results/
45,45,Mavericks’ Kristaps Porzingis Undergoes Right Knee Surgery,off-season news,http://global.nba.com/news/mavericks-kristaps-porzingis-undergoes-right-knee-surgery/
46,46,NBA And NBPA Announce First-Ever NBA Foundation Board Of Directors,off-season news,http://global.nba.com/news/nba-and-nbpa-announce-first-ever-nba-foundation-board-of-directors/
47,47,Rajon Rondo On Cusp Of Making Some NBA History,off-season news,http://global.nba.com/news/rajon-rondo-on-cusp-of-making-some-nba-history/
48,48,Men In The Arena: Heat Believe This Is ‘Where They’re Meant To Be’,off-season news,http://global.nba.com/news/men-in-the-arena-heat-believe-this-is-where-theyre-meant-to-be/
49,49,Lakers Look To Seal Deal In Game 5 vs. Heat,off-season news,http://global.nba.com/news/lakers-look-to-seal-deal-in-game-5-vs-heat/
50,50,"Ahead Of Game 5, LeBron James Leaves Legacy Chatter Aside",off-season news,http://global.nba.com/news/ahead-of-game-5-lebron-james-leaves-legacy-chatter-aside/
51,51,Goran Dragic (Foot) Remains Doubtful For Game 5 Of The Finals,off-season news,http://global.nba.com/news/goran-dragic-foot-remains-doubtful-for-game-5-of-the-finals/
52,52,LA Clippers’ Lawrence Frank Wins 2019-20 NBA Basketball Executive Of The Year Award,off-season news,http://global.nba.com/news/la-clippers-lawrence-frank-wins-2019-20-nba-basketball-executive-of-the-year-award/
53,53,Giannis Antetokounmpo To Appear In Madden 21,off-season news,http://global.nba.com/news/giannis-antetokounmpo-to-appear-in-madden-21/
54,54,Film Study: 5 Plays That Tell The Biggest Story Of Lakers’ Game 4 Win,off-season news,http://global.nba.com/news/film-study-5-plays-that-tell-the-biggest-story-of-lakers-game-4-win/
55,55,"As Election Draws Closer, The NBA Continues Calls To Vote",off-season news,http://global.nba.com/news/as-election-draws-closer-the-nba-continues-calls-to-vote/
56,56,Lakers To Don ‘Black Mamba’ Jerseys For Game 5,off-season news,http://global.nba.com/news/lakers-to-don-black-mamba-jerseys-for-game-5/
57,57,A Moment Of Rest Finally Arrives At The NBA Finals,off-season news,http://global.nba.com/news/a-moment-of-rest-finally-arrives-at-the-nba-finals/
58,58,Montrezl Harrell Wins 2019-20 NBA Hustle Award,off-season news,http://global.nba.com/news/montrezl-harrell-wins-2019-20-nba-hustle-award/
59,59,Kings Name Alvin Gentry Associate Head Coach,off-season news,http://global.nba.com/news/kings-name-alvin-gentry-associate-head-coach/
60,60,24 Thoughts On Game 4 Of The Finals,off-season news,http://global.nba.com/news/24-thoughts-on-game-4-of-the-finals/
61,61,Kentavious Caldwell-Pope Steps Up To Support Lakers’ Superstars In Game 4,off-season news,http://global.nba.com/news/kentavious-caldwell-pope-steps-up-to-support-lakers-superstars-in-game-4/
62,62,"Inside The Box Score: 2020 NBA Finals, Game 4",off-season news,http://global.nba.com/news/inside-the-box-score-2020-nba-finals-game-4/
63,63,"Lakers Top Heat 102-96, Take 3-1 Lead In NBA Finals",off-season news,http://global.nba.com/news/lakers-top-heat-102-96-take-3-1-lead-in-nba-finals/
64,64,"Adebayo Plays, Dragic Sits In Game 4",off-season news,http://global.nba.com/news/goran-dragic-bam-adebayo-unsure-of-status-for-game-4/
65,65,"Milwaukee Scraps Early Voting Plans At Fiserv, Miller Park",off-season news,http://global.nba.com/news/milwaukee-scraps-early-voting-plans-at-fiserv-miller-park/
66,66,NBA 2K League Announces New Tryout Process For Season 4,off-season news,http://global.nba.com/news/nba-2k-league-announces-new-tryout-process-for-season-4/
67,67,New Orleans’ Jrue Holiday Wins 2019-20 Twyman-Stokes Teammate Of The Year Award,off-season news,http://global.nba.com/news/new-orleans-jrue-holiday-wins-2019-20-twyman-stokes-teammate-of-the-year-award/
68,68,Butler Confident Heat Will Level NBA Finals In Game 4,off-season news,http://global.nba.com/news/butler-confident-heat-will-level-nba-finals-in-game-4/
69,69,Miami Heat’s Jimmy Butler Ready To Do The Extraordinary Again In Game 4,off-season news,http://global.nba.com/news/miami-heats-jimmy-butler-ready-to-do-the-extraordinary-again-in-game-4/
70,70,Isaiah Thomas Says Right Hip Is Pain Free After Resurfacing Surgery,off-season news,http://global.nba.com/news/isaiah-thomas-says-right-hip-is-pain-free-after-resurfacing-surgery/
71,71,"Barnes, Brown, Hill, Paul And Powell Named Recipients Of 2019-20 End-Of-Season NBA Cares Community Assist Award",off-season news,http://global.nba.com/news/barnes-brown-hill-paul-and-powell-named-recipients-of-2019-20-end-of-season-nba-cares-community-assist-award/
72,72,5 Things We Learned From Game 3 Of 2020 Finals,off-season news,http://global.nba.com/news/5-things-we-learned-from-game-3-of-2020-finals/
73,73,"Jimmy Butler Has A Capital-G ‘Game’, Gives Heat New Life",off-season news,http://global.nba.com/news/jimmy-butler-has-a-capital-g-game-gives-heat-new-life/
74,74,"Inside The Box Score: 2020 NBA Finals, Game 3",off-season news,http://global.nba.com/news/inside-the-box-score-2020-nba-finals-game-3/
75,75,"The Finals Stat, Game 3: Jimmy Butler Controls The Ball",off-season news,http://global.nba.com/news/the-finals-stat-game-3-jimmy-butler-controls-the-ball/
76,76,Jimmy Butler Logs 3rd 40-Point Triple-Double In NBA Finals History,off-season news,http://global.nba.com/news/jimmy-butler-logs-3rd-40-point-triple-double-in-nba-finals-history/
77,77,NBPA Announces 90 Percent Of Eligible Players Registered To Vote,off-season news,http://global.nba.com/news/nbpa-announces-90-percent-of-eligible-players-registered-to-vote/
